step,sampled_train_batch_nll,inner_dev_nll
0,,0.40923047065734863
1,0.392098069190979,0.4034501612186432
2,0.355658620595932,0.40031197667121887
3,0.34614771604537964,0.3983216881752014
4,0.4426598846912384,0.3977149724960327
5,0.3678620159626007,0.39760810136795044
6,0.26235753297805786,0.39900314807891846
7,0.31837254762649536,0.4003337621688843
8,0.38416290283203125,0.4011659622192383
9,0.17846935987472534,0.40368276834487915
10,0.44570744037628174,0.40530866384506226
11,0.31845352053642273,0.4067777991294861
12,0.35207754373550415,0.40660494565963745
13,0.43121665716171265,0.40608227252960205
14,0.2883244752883911,0.406530499458313
15,0.3341835141181946,0.4058159589767456
16,0.361007958650589,0.40517595410346985
17,0.2993665635585785,0.4046936333179474
18,0.3976399600505829,0.4030078947544098
19,0.40711918473243713,0.40110403299331665
20,0.21824099123477936,0.4002124071121216
21,0.3755537271499634,0.3986959457397461
22,0.2800615131855011,0.3971656858921051
23,0.32922202348709106,0.3958995044231415
24,0.3802715837955475,0.3946315348148346
25,0.3139759302139282,0.39385923743247986
26,0.4518226683139801,0.3934117257595062
27,0.2720907926559448,0.39342549443244934
28,0.29422733187675476,0.393647164106369
29,0.3582039773464203,0.3940466046333313
30,0.337354838848114,0.39406976103782654
31,0.35986775159835815,0.3939686119556427
32,0.43705514073371887,0.39410001039505005
33,0.35072290897369385,0.39407676458358765
34,0.30022260546684265,0.39400219917297363
35,0.36406373977661133,0.3939732611179352
36,0.21604013442993164,0.39416155219078064
37,0.26031649112701416,0.39477601647377014
38,0.3503422737121582,0.3957578241825104
39,0.3229924440383911,0.3968677520751953
40,0.20338280498981476,0.3983229398727417
41,0.25402286648750305,0.399270623922348
42,0.24456730484962463,0.4003026783466339
43,0.3992113769054413,0.4010155200958252
44,0.2565045952796936,0.40153422951698303
45,0.38334742188453674,0.4018650949001312
46,0.2741997241973877,0.4018282890319824
47,0.2504509687423706,0.40141671895980835
48,0.2796819806098938,0.4009014964103699
49,0.3933162987232208,0.39991432428359985
50,0.38347697257995605,0.3985276520252228
51,0.30946776270866394,0.39743804931640625
52,0.2066715806722641,0.3964524567127228
53,0.30280888080596924,0.3955818712711334
54,0.31191688776016235,0.3950413167476654
55,0.34111976623535156,0.39463257789611816
56,0.3585103750228882,0.39439454674720764
57,0.4017272889614105,0.39446941018104553
58,0.33863136172294617,0.3947201669216156
59,0.2878154516220093,0.3947766125202179
60,0.2884029150009155,0.3945930600166321
61,0.2965167462825775,0.3944917321205139
62,0.3405366539955139,0.39457327127456665
63,0.3576003909111023,0.394628643989563
64,0.31273919343948364,0.3944520950317383
65,0.47269412875175476,0.39430105686187744
66,0.35053128004074097,0.39404332637786865
67,0.24549998342990875,0.39363473653793335
68,0.3420279920101166,0.3934158980846405
69,0.3769650161266327,0.39331644773483276
70,0.27702170610427856,0.3933452069759369
71,0.30679163336753845,0.39353546500205994
72,0.31336793303489685,0.39369356632232666
73,0.3078877031803131,0.39398735761642456
74,0.42220810055732727,0.39449435472488403
75,0.2255384922027588,0.39485815167427063
76,0.22577711939811707,0.3953344225883484
77,0.22521431744098663,0.3962135314941406
78,0.24411754310131073,0.3973942995071411
79,0.3614828288555145,0.3980722427368164
80,0.26563867926597595,0.39831241965293884
81,0.37306496500968933,0.3979940712451935
82,0.38735103607177734,0.39749160408973694
83,0.37849658727645874,0.39623987674713135
84,0.40399232506752014,0.3952261507511139
85,0.30275726318359375,0.39445093274116516
86,0.3059874176979065,0.39393073320388794
87,0.3750457763671875,0.39350733160972595
88,0.39480164647102356,0.39321187138557434
89,0.269854336977005,0.3930656313896179
90,0.28341904282569885,0.3929855227470398
91,0.2023596167564392,0.39279136061668396
92,0.28816545009613037,0.3926648795604706
93,0.380703866481781,0.39266327023506165
94,0.17418305575847626,0.39249056577682495
95,0.2888001799583435,0.3922487497329712
96,0.27034810185432434,0.3919987082481384
97,0.2966311275959015,0.3917931616306305
98,0.23992134630680084,0.3916841149330139
99,0.26965782046318054,0.3917543888092041
100,0.4031928479671478,0.39187419414520264
101,0.3507844805717468,0.392060250043869
102,0.38339632749557495,0.39213865995407104
103,0.3444352149963379,0.3922927975654602
104,0.31360509991645813,0.39214685559272766
105,0.3022097051143646,0.3921203911304474
106,0.32221901416778564,0.39215758442878723
107,0.3713245093822479,0.3923276364803314
108,0.273821085691452,0.392764687538147
109,0.24757836759090424,0.3931158185005188
110,0.2928368151187897,0.3933956027030945
111,0.2954895794391632,0.3938518166542053
112,0.19105491042137146,0.39451390504837036
113,0.24368658661842346,0.39513877034187317
114,0.3241717517375946,0.3955981433391571
115,0.3542589545249939,0.39594677090644836
116,0.2950578033924103,0.3963067829608917
117,0.25353506207466125,0.39651253819465637
118,0.2806781530380249,0.3967110812664032
119,0.317594051361084,0.39647743105888367
120,0.29674413800239563,0.3961052894592285
121,0.40851643681526184,0.3952904939651489
122,0.2739216387271881,0.3946429491043091
123,0.3430218994617462,0.3941079378128052
124,0.3114464581012726,0.39363163709640503
125,0.3476831018924713,0.39320114254951477
126,0.30987513065338135,0.3930369019508362
127,0.3016241788864136,0.3928203880786896
128,0.26234230399131775,0.39255380630493164
129,0.3352431654930115,0.39253708720207214
130,0.3570738434791565,0.3925369381904602
131,0.30427196621894836,0.3926975131034851
132,0.23950983583927155,0.39280861616134644
133,0.3498721122741699,0.39277344942092896
134,0.315457284450531,0.3925609886646271
135,0.23622186481952667,0.3921017348766327
136,0.3521261215209961,0.3913957476615906
137,0.2678147852420807,0.3908117711544037
138,0.22568975389003754,0.3902058005332947
139,0.20679587125778198,0.3894157111644745
140,0.3195470869541168,0.38853999972343445
141,0.2905292809009552,0.3878747820854187
142,0.30833035707473755,0.3871183693408966
143,0.33706068992614746,0.3863059878349304
144,0.36314404010772705,0.3857034742832184
145,0.26369526982307434,0.3850995898246765
146,0.31178799271583557,0.3846145272254944
147,0.27935802936553955,0.38410550355911255
148,0.2844294011592865,0.3836783468723297
149,0.2128540575504303,0.38332268595695496
150,0.2136150449514389,0.38300445675849915
151,0.30886536836624146,0.3828044533729553
152,0.4375549554824829,0.3827251195907593
153,0.30722007155418396,0.3826928436756134
154,0.3545195162296295,0.3826885521411896
155,0.39299798011779785,0.3827553689479828
156,0.29362109303474426,0.3829227089881897
157,0.3262730538845062,0.38311243057250977
158,0.40248993039131165,0.3834053575992584
159,0.40564683079719543,0.38363364338874817
160,0.3374982178211212,0.38383543491363525
161,0.29899320006370544,0.3839047849178314
162,0.2789779305458069,0.3838616907596588
163,0.30858901143074036,0.3838459253311157
164,0.25668588280677795,0.3839149475097656
165,0.24406372010707855,0.383928120136261
166,0.34277254343032837,0.3840208053588867
167,0.23399212956428528,0.3840864598751068
168,0.2176591157913208,0.38432997465133667
169,0.3188529312610626,0.3847006857395172
170,0.3067299425601959,0.3851689398288727
171,0.2830996811389923,0.38559383153915405
172,0.3182034194469452,0.3859289288520813
173,0.22185063362121582,0.3861273229122162
174,0.3181167542934418,0.386202871799469
175,0.2357373833656311,0.3861711323261261
176,0.2587186396121979,0.3862651586532593
177,0.3198992908000946,0.3863368332386017
178,0.40743547677993774,0.3866671919822693
179,0.2450639307498932,0.3871684968471527
180,0.21921251714229584,0.3877274692058563
181,0.1945553719997406,0.3880743682384491
182,0.2331967055797577,0.38825926184654236
183,0.40112289786338806,0.3884580433368683
184,0.30900174379348755,0.38864853978157043
185,0.30160579085350037,0.38889002799987793
186,0.23594631254673004,0.3889616131782532
187,0.24450251460075378,0.38905659317970276
188,0.2575964629650116,0.3890916109085083
189,0.3509058654308319,0.3894588351249695
190,0.2738747000694275,0.38988372683525085
191,0.25662097334861755,0.3901057839393616
192,0.3468913435935974,0.39034098386764526
193,0.2919773757457733,0.3905821740627289
194,0.30521437525749207,0.390832781791687
195,0.36046770215034485,0.3912087082862854
196,0.26144176721572876,0.39118629693984985
197,0.20632347464561462,0.3910655379295349
198,0.4220043420791626,0.39100658893585205
199,0.29715174436569214,0.39095520973205566
200,0.43343114852905273,0.3910873830318451
201,0.3086704909801483,0.39136144518852234
202,0.3144807517528534,0.39186087250709534
203,0.2683154344558716,0.3924034833908081
204,0.23543833196163177,0.3929488956928253
205,0.28592079877853394,0.3937723636627197
206,0.3165246546268463,0.394633024930954
207,0.2262376993894577,0.3947104215621948
208,0.3190394937992096,0.3944278657436371
209,0.29049691557884216,0.3938685357570648
210,0.259079247713089,0.39309167861938477
211,0.3667544424533844,0.3925095200538635
212,0.3793445825576782,0.3918178379535675
213,0.3477746844291687,0.3911116123199463
214,0.290667325258255,0.390295147895813
215,0.2954750955104828,0.3894557058811188
216,0.28267666697502136,0.3887615203857422
217,0.3815474808216095,0.3883928656578064
218,0.33167779445648193,0.38794630765914917
219,0.33132198452949524,0.3875886797904968
220,0.28934717178344727,0.38723698258399963
221,0.2733687460422516,0.3868834376335144
222,0.4209054112434387,0.3867381513118744
223,0.2958875596523285,0.3865930140018463
224,0.26250582933425903,0.38644763827323914
225,0.2513207793235779,0.38621994853019714
226,0.3015172779560089,0.3860614597797394
227,0.2624543011188507,0.3858657777309418
228,0.31138503551483154,0.3857661187648773
229,0.25761690735816956,0.3855384588241577
230,0.284085214138031,0.38517850637435913
231,0.3383219540119171,0.3849601745605469
232,0.32705065608024597,0.3848421275615692
233,0.26629960536956787,0.3849070966243744
234,0.36503252387046814,0.38505247235298157
235,0.2751372158527374,0.38535481691360474
236,0.2973220944404602,0.3857259154319763
237,0.32778510451316833,0.386116623878479
238,0.2273072600364685,0.386686772108078
239,0.35124802589416504,0.3872491121292114
240,0.26357826590538025,0.38784223794937134
241,0.16370518505573273,0.3881756663322449
242,0.33583444356918335,0.38865014910697937
243,0.20610295236110687,0.3890601694583893
244,0.40416380763053894,0.38967034220695496
245,0.3092704117298126,0.3900544345378876
246,0.2317149043083191,0.3903577923774719
247,0.33736616373062134,0.3905508518218994
248,0.3231009840965271,0.39057475328445435
249,0.2376733422279358,0.3906339406967163
250,0.3228070139884949,0.39080291986465454
251,0.23378440737724304,0.3908255100250244
252,0.25797486305236816,0.3908344507217407
253,0.2571960985660553,0.39054298400878906
254,0.2761063873767853,0.3903356194496155
255,0.22613824903964996,0.38979050517082214
256,0.2529398500919342,0.3891015946865082
257,0.28050145506858826,0.38826778531074524
258,0.2778836786746979,0.38758987188339233
259,0.39561399817466736,0.3870088458061218
260,0.2174670249223709,0.38647595047950745
261,0.28399866819381714,0.3860929310321808
262,0.2542859613895416,0.3857799172401428
263,0.4197435975074768,0.38541796803474426
264,0.24217760562896729,0.3850725591182709
265,0.34415358304977417,0.3847522437572479
266,0.3247239887714386,0.3843754827976227
267,0.2971038520336151,0.3842516839504242
268,0.47362998127937317,0.38446447253227234
269,0.18850374221801758,0.38458192348480225
270,0.3638390600681305,0.38490206003189087
271,0.3235938847064972,0.3853451609611511
272,0.31731781363487244,0.3859310746192932
273,0.31564420461654663,0.3863773047924042
274,0.23059982061386108,0.3865455389022827
275,0.3073115348815918,0.38667771220207214
276,0.30067792534828186,0.38683342933654785
277,0.3963315188884735,0.3870968520641327
278,0.36717045307159424,0.38754189014434814
279,0.22228464484214783,0.38800305128097534
280,0.2832314074039459,0.3884206712245941
281,0.3123585879802704,0.38882532715797424
282,0.2039041817188263,0.3891039192676544
283,0.3235861361026764,0.3894748091697693
284,0.3360384702682495,0.3896542191505432
285,0.21817488968372345,0.3897159695625305
286,0.28047600388526917,0.3898620903491974
287,0.30386555194854736,0.3899393081665039
288,0.32053452730178833,0.3896501362323761
289,0.27381399273872375,0.38957688212394714
290,0.257438600063324,0.38940322399139404
291,0.30845406651496887,0.3891388177871704
292,0.3029812276363373,0.38896444439888
293,0.2948065996170044,0.38885223865509033
294,0.2867449223995209,0.38877472281455994
295,0.4230343997478485,0.38887032866477966
296,0.3030700385570526,0.3889577388763428
297,0.3222745656967163,0.3890306055545807
298,0.31936362385749817,0.3891369104385376
299,0.22059166431427002,0.38881343603134155
300,0.383320689201355,0.38870182633399963
301,0.32737264037132263,0.3886258602142334
302,0.35510900616645813,0.38859331607818604
303,0.3218199610710144,0.388773113489151
304,0.2792453169822693,0.38871341943740845
305,0.26194462180137634,0.38859960436820984
306,0.33160412311553955,0.3885892331600189
307,0.25850433111190796,0.38847553730010986
308,0.3747656047344208,0.38800787925720215
309,0.245527982711792,0.3874269425868988
310,0.36830076575279236,0.38699352741241455
311,0.2682109475135803,0.3865644335746765
312,0.3173833191394806,0.3862248659133911
313,0.11800510436296463,0.3858029544353485
314,0.261192262172699,0.3853418231010437
315,0.19944658875465393,0.38485997915267944
316,0.2615145444869995,0.3844224810600281
317,0.26849856972694397,0.38402900099754333
318,0.28205057978630066,0.3836173713207245
319,0.3393927812576294,0.3833326995372772
320,0.3085143268108368,0.38308727741241455
321,0.34454429149627686,0.3828052878379822
322,0.30052104592323303,0.3824842870235443
323,0.2885627746582031,0.3823515474796295
324,0.24852421879768372,0.3822228014469147
