split,cell_id,group,comparator,E,overlap_mass,low_bins,high_bins,low_overlap_fraction,high_overlap_fraction,retained_strata,residual_U_difference,residual_M_difference,residual_C_difference
development,67#4,PC_OFF,LN,-0.0658142132535173,49,84,84,0.5833333333333334,0.5833333333333334,16,0.4970019719196624,0.6122957956938441,0.10560391447710582
development,67#4,PC_OFF,CNN,-0.045498985767532064,49,84,84,0.5833333333333334,0.5833333333333334,16,0.4970019719196624,0.6122957956938441,0.10560391447710582
development,67#6,MC_OFF,LN,-0.005858902795402599,273,588,588,0.4642857142857143,0.4642857142857143,14,0.30423535726696027,0.39927484982097583,-0.03056874635525143
development,67#6,MC_OFF,CNN,0.09482827451624655,273,588,588,0.4642857142857143,0.4642857142857143,14,0.30423535726696027,0.39927484982097583,-0.03056874635525143
development,67#7,MC_ON,LN,-0.025383415343332535,371,588,588,0.6309523809523809,0.6309523809523809,16,0.13818016787113874,0.1751165436039816,0.0664620990550554
development,67#7,MC_ON,CNN,-0.0339522672448586,371,588,588,0.6309523809523809,0.6309523809523809,16,0.13818016787113874,0.1751165436039816,0.0664620990550554
development,67#14,PC_ON,LN,-0.01948243911868506,378,588,588,0.6428571428571429,0.6428571428571429,16,0.2770826426600055,0.25925381398906056,-0.0016350306930892136
development,67#14,PC_ON,CNN,-0.05347640525109758,378,588,588,0.6428571428571429,0.6428571428571429,16,0.2770826426600055,0.25925381398906056,-0.0016350306930892136
development,67#21,PC_ON,LN,-0.006819990293452721,364,588,588,0.6190476190476191,0.6190476190476191,19,0.2634832543846121,0.2500250493569256,0.26070742246347056
development,67#21,PC_ON,CNN,-0.015304312577135082,364,588,588,0.6190476190476191,0.6190476190476191,19,0.2634832543846121,0.2500250493569256,0.26070742246347056
development,67#26,PC_ON,LN,0.002314543731308004,294,588,588,0.5,0.5,13,0.3276378097149504,0.32460742657074065,0.0432586788882814
development,67#26,PC_ON,CNN,-0.03613467546129827,294,588,588,0.5,0.5,13,0.3276378097149504,0.32460742657074065,0.0432586788882814
development,67#33,MC_OFF,LN,-0.04753057817917254,378,588,588,0.6428571428571429,0.6428571428571429,18,0.1561398432319548,0.18564400966359357,0.16104827382090592
development,67#33,MC_OFF,CNN,-0.006818667090058314,378,588,588,0.6428571428571429,0.6428571428571429,18,0.1561398432319548,0.18564400966359357,0.16104827382090592
development,67#34,PC_ON,LN,-0.02455152813280341,280,588,588,0.47619047619047616,0.47619047619047616,16,0.477383571006381,0.5443750602868036,0.3012338056856816
development,67#34,PC_ON,CNN,-0.01833862724435751,280,588,588,0.47619047619047616,0.47619047619047616,16,0.477383571006381,0.5443750602868036,0.3012338056856816
development,68#3,MC_OFF,LN,0.018175074827353584,385,588,588,0.6547619047619048,0.6547619047619048,18,0.4342076885812348,0.5568745673806885,0.17289116894622675
development,68#3,MC_OFF,CNN,0.09929387621448002,385,588,588,0.6547619047619048,0.6547619047619048,18,0.4342076885812348,0.5568745673806885,0.17289116894622675
development,68#4,PC_ON,LN,0.03448890425021201,270,504,504,0.5357142857142857,0.5357142857142857,16,0.1094201716789136,0.17848193857497024,0.4330284465205661
development,68#4,PC_ON,CNN,-0.015532561046066264,270,504,504,0.5357142857142857,0.5357142857142857,16,0.1094201716789136,0.17848193857497024,0.4330284465205661
development,68#7,PC_ON,LN,-0.06305053913428951,329,588,588,0.5595238095238095,0.5595238095238095,15,0.39777528543369317,0.5308469700713002,0.13130422189667168
development,68#7,PC_ON,CNN,-0.021155702709242226,329,588,588,0.5595238095238095,0.5595238095238095,15,0.39777528543369317,0.5308469700713002,0.13130422189667168
development,68#10,MC_ON,LN,-0.008748465199067058,45,84,84,0.5357142857142857,0.5357142857142857,13,-0.05696870172791497,-0.06829092645848116,-0.07926617103766702
development,68#10,MC_ON,CNN,-0.10933837956692494,45,84,84,0.5357142857142857,0.5357142857142857,13,-0.05696870172791497,-0.06829092645848116,-0.07926617103766702
development,68#11,PC_OFF,LN,-0.040089070640524416,357,588,588,0.6071428571428571,0.6071428571428571,18,0.7153723894153989,0.7466228117024539,0.7426759243404717
development,68#11,PC_OFF,CNN,0.035915258790935524,357,588,588,0.6071428571428571,0.6071428571428571,18,0.7153723894153989,0.7466228117024539,0.7426759243404717
development,69#3,PC_OFF,LN,-0.013274894781734855,329,588,588,0.5595238095238095,0.5595238095238095,17,0.4564060116989145,0.536667528392448,0.11103707629666615
development,69#3,PC_OFF,CNN,-0.015259532868313875,329,588,588,0.5595238095238095,0.5595238095238095,17,0.4564060116989145,0.536667528392448,0.11103707629666615
development,69#4,MC_ON,LN,-0.0917755403393051,294,504,504,0.5833333333333334,0.5833333333333334,16,0.4181023038459736,0.43674137254905054,0.18895672731422752
development,69#4,MC_ON,CNN,-0.033490284188556915,294,504,504,0.5833333333333334,0.5833333333333334,16,0.4181023038459736,0.43674137254905054,0.18895672731422752
development,69#6,MC_OFF,LN,-0.017728214908929396,280,588,588,0.47619047619047616,0.47619047619047616,13,0.4715333424113515,0.6037511710186595,0.0578365620740047
development,69#6,MC_OFF,CNN,0.011782089954497595,280,588,588,0.47619047619047616,0.47619047619047616,13,0.4715333424113515,0.6037511710186595,0.0578365620740047
development,69#7,MC_ON,LN,0.02264682468072548,322,588,588,0.5476190476190477,0.5476190476190477,16,0.2984377234225051,0.3771234909350674,0.020335841389827636
development,69#7,MC_ON,CNN,0.03539027724661034,322,588,588,0.5476190476190477,0.5476190476190477,16,0.2984377234225051,0.3771234909350674,0.020335841389827636
development,69#21,PC_OFF,LN,-0.022128443931020418,348,504,504,0.6904761904761905,0.6904761904761905,18,0.41890775924829193,0.7106787386120466,0.16967063909516322
development,69#21,PC_OFF,CNN,-0.009438871363209846,348,504,504,0.6904761904761905,0.6904761904761905,18,0.41890775924829193,0.7106787386120466,0.16967063909516322
development,70#1,PC_ON,LN,-0.01791333654491749,288,504,504,0.5714285714285714,0.5714285714285714,16,0.535831948669741,0.6054623419928391,0.17193627890540486
development,70#1,PC_ON,CNN,0.026886321287774777,288,504,504,0.5714285714285714,0.5714285714285714,16,0.535831948669741,0.6054623419928391,0.17193627890540486
development,70#7,PC_ON,LN,-0.031461124929049455,350,588,588,0.5952380952380952,0.5952380952380952,17,0.3998189559128302,0.4621329115244111,0.41686879715909353
development,70#7,PC_ON,CNN,-0.03483136643436072,350,588,588,0.5952380952380952,0.5952380952380952,17,0.3998189559128302,0.4621329115244111,0.41686879715909353
development,70#15,PC_ON,LN,-0.0070528581277316295,240,504,504,0.47619047619047616,0.47619047619047616,15,0.47186589627612163,0.5323692654913096,0.4537933747258135
development,70#15,PC_ON,CNN,-0.016594283746483682,240,504,504,0.47619047619047616,0.47619047619047616,15,0.47186589627612163,0.5323692654913096,0.4537933747258135
development,70#34,MC_ON,LN,-0.03535069103463425,385,588,588,0.6547619047619048,0.6547619047619048,16,0.33962405030719955,0.39669340942135756,0.5178051666773654
development,70#34,MC_ON,CNN,-0.1424511532737444,385,588,588,0.6547619047619048,0.6547619047619048,16,0.33962405030719955,0.39669340942135756,0.5178051666773654
consumed,67#4,PC_OFF,LN,-0.061687373717470156,331,916,613,0.361353711790393,0.5399673735725938,22,0.34323914323755234,0.346802082230125,0.21105989027150887
consumed,67#4,PC_OFF,CNN,-0.0761955621668385,331,916,613,0.361353711790393,0.5399673735725938,22,0.34323914323755234,0.346802082230125,0.21105989027150887
consumed,67#6,MC_OFF,LN,-0.029481795062729285,3661,5964,6895,0.613849765258216,0.5309644670050762,22,0.1873881177064302,0.2046144036333564,0.11831548864051941
consumed,67#6,MC_OFF,CNN,-0.08410089278701628,3661,5964,6895,0.613849765258216,0.5309644670050762,22,0.1873881177064302,0.2046144036333564,0.11831548864051941
consumed,67#7,MC_ON,LN,-0.03364903618103426,3283,6615,6251,0.4962962962962963,0.5251959686450168,23,0.2141976467121621,0.21207916374934532,0.14848373727976158
consumed,67#7,MC_ON,CNN,-0.10510914994428162,3283,6615,6251,0.4962962962962963,0.5251959686450168,23,0.2141976467121621,0.21207916374934532,0.14848373727976158
consumed,67#14,PC_ON,LN,-0.026178291561166973,3682,7231,6734,0.5091965150048403,0.5467775467775468,23,0.22470076316426615,0.22867616420430215,0.12980676686161213
consumed,67#14,PC_ON,CNN,-0.0755085644789213,3682,7231,6734,0.5091965150048403,0.5467775467775468,23,0.22470076316426615,0.22867616420430215,0.12980676686161213
consumed,67#21,PC_ON,LN,-0.011277296562953154,3941,7084,7140,0.5563241106719368,0.5519607843137255,23,0.2806054584624771,0.302177772134819,0.16008648766964204
consumed,67#21,PC_ON,CNN,-0.03457771618073388,3941,7084,7140,0.5563241106719368,0.5519607843137255,23,0.2806054584624771,0.302177772134819,0.16008648766964204
consumed,67#26,PC_ON,LN,-0.02260918359969352,3486,7420,6223,0.469811320754717,0.5601799775028121,22,0.2675255739764739,0.26043364155475013,0.15514812123955876
consumed,67#26,PC_ON,CNN,-0.04287371846803934,3486,7420,6223,0.469811320754717,0.5601799775028121,22,0.2675255739764739,0.26043364155475013,0.15514812123955876
consumed,67#33,MC_OFF,LN,-0.054665953109485375,3311,6776,6426,0.48863636363636365,0.5152505446623094,22,0.3104269310441713,0.3198347649904347,0.1273384492166232
consumed,67#33,MC_OFF,CNN,-0.14270557638272907,3311,6776,6426,0.48863636363636365,0.5152505446623094,22,0.3104269310441713,0.3198347649904347,0.1273384492166232
consumed,67#34,PC_ON,LN,-0.004235829748448234,2954,4914,5992,0.6011396011396012,0.4929906542056075,21,0.10324245780894888,0.11100150289214682,0.08695075588054024
consumed,67#34,PC_ON,CNN,-0.018808922865247085,2954,4914,5992,0.6011396011396012,0.4929906542056075,21,0.10324245780894888,0.11100150289214682,0.08695075588054024
consumed,68#3,MC_OFF,LN,-0.03616875605592437,3507,5642,7861,0.6215880893300249,0.44612644701691895,25,0.12592418190361995,0.15628262114767116,0.08053566364810431
