split,cell_id,group,comparator,raw_E,Q1_bins,Q5_bins,Q1_event_rate,Q5_event_rate,raw_M_difference,raw_U_difference,raw_C_difference,matched_E,two_dimensional_E
development,67#4,PC_OFF,LN,-0.05304056203466809,84,84,0.2619047619047619,0.19047619047619047,0.5236126189844246,0.3034897187660266,0.621273555773812,-0.0564614796410202,-0.0658142132535173
development,67#4,PC_OFF,CNN,-0.052297099362533836,84,84,0.2619047619047619,0.19047619047619047,0.5236126189844246,0.3034897187660266,0.621273555773812,-0.02852656519376058,-0.045498985767532064
development,67#6,MC_OFF,LN,-0.012024835839387047,588,588,0.21768707482993196,0.22448979591836735,0.9369825537552452,0.7099974205827968,0.9551361798402339,-0.009756935252241849,-0.005858902795402599
development,67#6,MC_OFF,CNN,0.0774553706520317,588,588,0.21768707482993196,0.22448979591836735,0.9369825537552452,0.7099974205827968,0.9551361798402339,0.06385807398300669,0.09482827451624655
development,67#7,MC_ON,LN,-0.028950516260832677,588,588,0.27721088435374147,0.24149659863945577,0.6334365124942682,0.5090200675918489,1.053622757324081,-0.02878917800145504,-0.025383415343332535
development,67#7,MC_ON,CNN,0.06037235635382916,588,588,0.27721088435374147,0.24149659863945577,0.6334365124942682,0.5090200675918489,1.053622757324081,0.030202729021109306,-0.0339522672448586
development,67#14,PC_ON,LN,-0.08446251487035013,588,588,0.20578231292517007,0.2585034013605442,0.47110962196616346,0.3906887391758139,1.018098735459803,-0.0823277954113774,-0.01948243911868506
development,67#14,PC_ON,CNN,-0.036349610834162466,588,588,0.20578231292517007,0.2585034013605442,0.47110962196616346,0.3906887391758139,1.018098735459803,-0.04750348061117744,-0.05347640525109758
development,67#21,PC_ON,LN,-0.007697768393454123,588,588,0.05952380952380952,0.141156462585034,0.5306077951020034,0.4004375938283852,1.1203162052247317,-0.009141719975427691,-0.006819990293452721
development,67#21,PC_ON,CNN,-0.009153596203395571,588,588,0.05952380952380952,0.141156462585034,0.5306077951020034,0.4004375938283852,1.1203162052247317,-0.020447333369026398,-0.015304312577135082
development,67#26,PC_ON,LN,0.0011406492695749271,588,588,0.18537414965986396,0.27721088435374147,0.4957595141231044,0.33165294585071814,0.8013921056781932,0.004949194699500517,0.002314543731308004
development,67#26,PC_ON,CNN,-0.021342819763895345,588,588,0.18537414965986396,0.27721088435374147,0.4957595141231044,0.33165294585071814,0.8013921056781932,-0.021610499192781733,-0.03613467546129827
development,67#33,MC_OFF,LN,-0.04114324692716934,588,588,0.1598639455782313,0.21768707482993196,0.7371430047691925,0.5306415956360504,1.3974218819407165,-0.040119704173328725,-0.04753057817917254
development,67#33,MC_OFF,CNN,0.006890976270040018,588,588,0.1598639455782313,0.21768707482993196,0.7371430047691925,0.5306415956360504,1.3974218819407165,-0.003764663434752585,-0.006818667090058314
development,67#34,PC_ON,LN,-0.06544231314283372,588,588,0.16326530612244897,0.17857142857142858,0.9564403917462901,0.6374090995062878,0.9423784545977772,-0.06013412047665781,-0.02455152813280341
development,67#34,PC_ON,CNN,0.0014494091296173364,588,588,0.16326530612244897,0.17857142857142858,0.9564403917462901,0.6374090995062878,0.9423784545977772,0.011866177357388402,-0.01833862724435751
development,68#3,MC_OFF,LN,0.004737364980887382,588,588,0.23979591836734693,0.31462585034013607,0.8919537943262357,0.7233053447840457,1.1116088828093793,0.0034262319694025943,0.018175074827353584
development,68#3,MC_OFF,CNN,0.06512750235651671,588,588,0.23979591836734693,0.31462585034013607,0.8919537943262357,0.7233053447840457,1.1116088828093793,0.0697030126374566,0.09929387621448002
development,68#4,PC_ON,LN,0.016009992550467395,504,504,0.19246031746031747,0.17063492063492064,0.6120744216526555,0.3494406181220372,1.0585112611038814,0.03404257653087558,0.03448890425021201
development,68#4,PC_ON,CNN,-0.015626491765589952,504,504,0.19246031746031747,0.17063492063492064,0.6120744216526555,0.3494406181220372,1.0585112611038814,-0.009011782334438022,-0.015532561046066264
development,68#7,PC_ON,LN,-0.06440997488274738,588,588,0.14795918367346939,0.2687074829931973,0.9333507063150006,0.6601574328378774,1.1512112625749156,-0.05996746715602984,-0.06305053913428951
development,68#7,PC_ON,CNN,-0.06572715706192753,588,588,0.14795918367346939,0.2687074829931973,0.9333507063150006,0.6601574328378774,1.1512112625749156,-0.06381649733261373,-0.021155702709242226
development,68#10,MC_ON,LN,0.003560578765003028,84,84,0.16666666666666666,0.19047619047619047,0.023138623140743234,0.17086173160703677,0.5170701012047847,-0.021906834555658644,-0.008748465199067058
