cell_id,C_Q1,C_Q5,C_difference,C_population_sd,absolute_standardized_difference,reaches_prespecified_half_sd
67#4,0.7454055936025161,1.3666791493763282,0.621273555773812,2.2274013862158157,0.27892303543426816,False
67#6,0.6743483095048023,1.6294844893450362,0.9551361798402339,2.064050264887239,0.46274850767377695,False
67#7,0.7066624259613389,1.76028518328542,1.053622757324081,2.1259876127978985,0.4955921431439878,False
67#14,0.7989979069929437,1.8170966424527468,1.018098735459803,2.219428907526602,0.45872103945622783,False
67#21,0.7554654794124266,1.8757816846371584,1.1203162052247317,2.283604883214772,0.49059108844065585,False
67#26,0.7281380111132638,1.529530116791457,0.8013921056781932,2.2494001440564317,0.3562692515138775,False
67#33,0.8376320062645911,2.2350538882053077,1.3974218819407165,2.2332233162288233,0.6257421153476495,True
67#34,0.5855398838059175,1.5279183384036947,0.9423784545977772,2.19071907818895,0.430168552408296,False
68#3,0.5664312958631345,1.6780401786725139,1.1116088828093793,1.9284959703342555,0.5764123440800918,True
68#4,0.7418745995927898,1.8003858606966712,1.0585112611038814,2.3576757586701644,0.4489638819974675,False
68#7,0.7056045979403452,1.8568158605152607,1.1512112625749156,2.122337356099828,0.5424261412853189,True
68#10,0.578402192017756,1.0954722932225407,0.5170701012047847,1.1391193208869452,0.45392092972506315,False
68#11,0.793855990096557,2.1457302822724618,1.3518742921759048,2.3414943166756297,0.577355359160234,True
69#3,0.7151198141492343,1.5389386808320047,0.8238188666827704,2.2792074241916107,0.3614497118334732,False
69#4,0.6989692287044212,1.6782967302290457,0.9793275015246244,2.1948720049393766,0.44618888906538945,False
69#6,0.6749490680234445,1.4036906929710122,0.7287416249475678,2.1261793550023596,0.34274701390220164,False
69#7,0.7012230423301049,1.4187516865510426,0.7175286442209377,2.1457358953744006,0.3343974651156866,False
69#21,0.680721352076424,1.5079270044807345,0.8272056524043104,1.9934919687818282,0.4149530900341648,False
70#1,1.0091699564495467,1.9418536702223286,0.9326837137727819,1.976275203009595,0.471940199599951,False
70#7,0.7715603220248817,1.698819421157832,0.9272590991329503,2.339008811057439,0.39643249514470497,False
70#15,0.8438513818303667,1.6049901798514405,0.7611387980210739,2.089534275312297,0.3642624134066027,False
70#34,0.8197900323329284,1.9346897707250859,1.1148997383921575,2.2200939813599936,0.5021858298580621,True
