split,comparator,cells,available,mean,median,positive,negative,zero,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
development,LN,22,True,-0.015367903842345217,-0.0034276039865223304,8,14,0,,,,
development,CNN,22,True,-0.04173309322677495,-0.0329816565710431,6,16,0,,,,
