split,cell_id,group,feature,quintile,bins,event_rate,mean_signed_drive,mean_absolute_drive,mean_recent_change,mean_feature,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,67#4,PC_OFF,A,1,916,0.31768558951965065,-0.13046021369139424,0.5465092227931162,0.45873948231091594,0.5363929887291978,0.5945809981654733,0.5993520030534818,0.6016981385845207,-0.004771004888008497,-0.0071171404190473846
consumed,67#4,PC_OFF,A,2,1471,0.2726036709721278,0.23506652132344083,0.8541292667039145,0.907981591844146,1.021352077584145,0.5266379196542059,0.5248307224834606,0.5445951465787272,0.0018071971707453512,-0.017957226924521258
consumed,67#4,PC_OFF,A,3,590,0.24745762711864408,0.7100983858321126,1.1385977206887357,1.3195946110512615,1.7272147163954583,0.48692602858576983,0.48728639227252263,0.523215175870675,-0.0003603636867528131,-0.03628914728490511
consumed,67#4,PC_OFF,A,4,610,0.20655737704918034,0.8939807658738692,1.303745429374821,1.6579551454086705,2.2824337881211028,0.4460212613631395,0.44112157519346096,0.5160222647496973,0.00489968616967862,-0.07000100338655772
consumed,67#4,PC_OFF,A,5,613,0.19575856443719414,1.7750141146537675,2.192506531131653,2.3825787259771416,3.8335010142389865,0.3685254151556282,0.41147937184610156,0.441637945940722,-0.04295395669047331,-0.0731125307850938
consumed,67#6,MC_OFF,A,1,5964,0.22853789403085178,-0.13821480960572094,0.5110434562084453,0.4230252509330079,0.49041996662685367,0.4608535073655353,0.4678332093850915,0.41626575147526135,-0.00697970201955621,0.04458775589027392
consumed,67#6,MC_OFF,A,2,10899,0.23130562436920818,0.16864225826450321,0.8128589620598454,0.8144205837772504,0.9821710140949894,0.43356246472358,0.4389741491596353,0.42689486289482365,-0.005411684436055391,0.006667601828756348
consumed,67#6,MC_OFF,A,3,1953,0.20942140296979006,0.7684247377007495,1.0595388361061115,1.4277091032385307,1.5897591473115817,0.402581735627163,0.41653622124339795,0.4288272631807147,-0.013954485616235012,-0.026245527553551678
consumed,67#6,MC_OFF,A,4,3689,0.23773380319869883,1.0428704984224921,1.3549377623405943,1.4480521517719371,1.8894726183306911,0.4179280700896257,0.4384984564654609,0.49358936817695,-0.020570386375835057,-0.0756612980873242
consumed,67#6,MC_OFF,A,5,6895,0.23872371283538796,1.4918206617611558,1.9140208152123919,1.9396767600833034,3.3426697805678844,0.4773852235656212,0.5097809245236103,0.5553064565032176,-0.03239570095798914,-0.07792123293759634
consumed,67#7,MC_ON,A,1,6615,0.1873015873015873,-0.13963737832728793,0.5073760073053261,0.43041127277400615,0.5055784493375753,0.4151998674331196,0.3947820839844116,0.327853204802997,0.02041778344870793,0.08734666263012253
consumed,67#7,MC_ON,A,2,10276,0.22430906967691708,0.23620033140023422,0.8561073319948659,0.8391161014650937,1.0045673914711555,0.395779968280521,0.3893006742037695,0.37574207067002957,0.006479294076751439,0.020037897610491386
