split,comparator,estimate,cells,available,mean,median,positive,negative,zero,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
development,LN,U_matched,22,True,-0.02537657674017727,-0.02257377461819087,4,18,0,-0.03945505334186403,-0.012175465947608382,-0.035412488186603586,-0.009141719975427691
development,CNN,U_matched,22,True,-0.009579616504406379,-0.009556134202737435,8,14,0,-0.02842544096688638,0.009353502515923807,-0.02852656519376058,0.00886914828938796
consumed,LN,U_matched,22,True,-0.03026591412380594,-0.02901516736514955,0,22,0,,,,
consumed,CNN,U_matched,22,True,-0.0720493521632468,-0.06646664677960822,0,22,0,,,,
