split,cell_id,group,comparator,raw_E,Q1_bins,Q5_bins,Q1_event_rate,Q5_event_rate,raw_M_difference,raw_U_difference,raw_C_difference,matched_E,two_dimensional_E
consumed,67#4,PC_OFF,LN,-0.038182951802464817,916,613,0.31768558951965065,0.19575856443719414,1.9054743283451616,1.6459973083385369,1.9238392436662257,-0.0672231228002539,-0.061687373717470156
consumed,67#4,PC_OFF,CNN,-0.06599539036604642,916,613,0.31768558951965065,0.19575856443719414,1.9054743283451616,1.6459973083385369,1.9238392436662257,-0.100543861085377,-0.0761955621668385
consumed,67#6,MC_OFF,LN,-0.02541599893843293,5964,6895,0.22853789403085178,0.23872371283538796,1.6300354713668768,1.4029773590039465,1.5166515091502955,-0.03210817925177617,-0.029481795062729285
consumed,67#6,MC_OFF,CNN,-0.12250898882787026,5964,6895,0.22853789403085178,0.23872371283538796,1.6300354713668768,1.4029773590039465,1.5166515091502955,-0.10950720854933604,-0.08410089278701628
consumed,67#7,MC_ON,LN,-0.019838036766583113,6615,6251,0.1873015873015873,0.2266837306031035,1.7095733263338795,1.4900171704830032,1.5975866321604364,-0.04833788718511196,-0.03364903618103426
consumed,67#7,MC_ON,CNN,-0.08692694386533689,6615,6251,0.1873015873015873,0.2266837306031035,1.7095733263338795,1.4900171704830032,1.5975866321604364,-0.11521807996814376,-0.10510914994428162
consumed,67#14,PC_ON,LN,-0.018690731982392336,7231,6734,0.13884663255428017,0.2886842886842887,1.7081663199173744,1.4481952409756431,1.6599960535189755,-0.029805105738065326,-0.026178291561166973
consumed,67#14,PC_ON,CNN,-0.08438400679630793,7231,6734,0.13884663255428017,0.2886842886842887,1.7081663199173744,1.4481952409756431,1.6599960535189755,-0.0898505939020079,-0.0755085644789213
consumed,67#21,PC_ON,LN,-0.009939535829388568,7084,7140,0.054912478825522304,0.18053221288515406,1.7084622762598964,1.4523301414406182,1.6261402295274014,-0.009588176230612873,-0.011277296562953154
consumed,67#21,PC_ON,CNN,-0.05146374112703058,7084,7140,0.054912478825522304,0.18053221288515406,1.7084622762598964,1.4523301414406182,1.6261402295274014,-0.050368681431084444,-0.03457771618073388
consumed,67#26,PC_ON,LN,-0.018831938550286965,7420,6223,0.1898921832884097,0.33456532219186885,1.697894355768017,1.4645299331664634,1.6656827169817496,-0.02181957659401805,-0.02260918359969352
consumed,67#26,PC_ON,CNN,-0.04088674224777987,7420,6223,0.1898921832884097,0.33456532219186885,1.697894355768017,1.4645299331664634,1.6656827169817496,-0.03954568436785902,-0.04287371846803934
consumed,67#33,MC_OFF,LN,-0.03321675263907564,6776,6426,0.21723730814639905,0.2267351384998444,1.8812020490924826,1.6251307434907896,1.631601258437847,-0.04031639670300688,-0.054665953109485375
consumed,67#33,MC_OFF,CNN,-0.14689148689965842,6776,6426,0.21723730814639905,0.2267351384998444,1.8812020490924826,1.6251307434907896,1.631601258437847,-0.143840756678218,-0.14270557638272907
consumed,67#34,PC_ON,LN,-0.02810971617777781,4914,5992,0.12861212861212862,0.2568424566088118,1.6876944937224663,1.4658103272716754,1.7167527123780928,-0.018663406565099083,-0.004235829748448234
