split,cell_id,group,comparator,raw_E,Q1_bins,Q5_bins,Q1_event_rate,Q5_event_rate,raw_M_difference,raw_U_difference,raw_C_difference
development,67#4,PC_OFF,LN,-0.058346977984263595,84,84,0.34523809523809523,0.11904761904761904,3.1104672219364495,2.6231600594522506,4.905081172792484
development,67#4,PC_OFF,CNN,-0.01656662611376121,84,84,0.34523809523809523,0.11904761904761904,3.1104672219364495,2.6231600594522506,4.905081172792484
development,67#6,MC_OFF,LN,-0.021742038438718178,588,588,0.2891156462585034,0.1989795918367347,2.8647461919384942,2.52702334458833,4.589755994672963
development,67#6,MC_OFF,CNN,-0.14313819888694124,588,588,0.2891156462585034,0.1989795918367347,2.8647461919384942,2.52702334458833,4.589755994672963
development,67#7,MC_ON,LN,-0.005469077448536197,588,588,0.09693877551020408,0.36054421768707484,2.900721822178393,2.3777864941226685,4.624506875330756
development,67#7,MC_ON,CNN,-0.046904527898126984,588,588,0.09693877551020408,0.36054421768707484,2.900721822178393,2.3777864941226685,4.624506875330756
development,67#14,PC_ON,LN,-0.04881756370662656,588,588,0.0663265306122449,0.40476190476190477,2.982749659215794,2.4200869745153404,4.8925131434415166
development,67#14,PC_ON,CNN,-0.07756209913227144,588,588,0.0663265306122449,0.40476190476190477,2.982749659215794,2.4200869745153404,4.8925131434415166
development,67#21,PC_ON,LN,-0.006998412918890874,588,588,0.02891156462585034,0.2755102040816326,3.073081010182033,2.543296844411608,4.975676572835211
development,67#21,PC_ON,CNN,-0.03899866930968677,588,588,0.02891156462585034,0.2755102040816326,3.073081010182033,2.543296844411608,4.975676572835211
development,67#26,PC_ON,LN,0.010071821465187933,588,588,0.16666666666666666,0.40816326530612246,3.017800410989315,2.501907107651503,4.894895679492108
development,67#26,PC_ON,CNN,-0.0034328919876513413,588,588,0.16666666666666666,0.40816326530612246,3.017800410989315,2.501907107651503,4.894895679492108
development,67#33,MC_OFF,LN,0.030189941334029146,588,588,0.2857142857142857,0.1292517006802721,2.7612227430186542,2.330064494068193,4.708083833492561
development,67#33,MC_OFF,CNN,-0.026964643832399434,588,588,0.2857142857142857,0.1292517006802721,2.7612227430186542,2.330064494068193,4.708083833492561
development,67#34,PC_ON,LN,-0.03656992223379025,588,588,0.09863945578231292,0.4302721088435374,2.9978717758276185,2.5739495180525322,4.931407102933874
development,67#34,PC_ON,CNN,0.01441277696376847,588,588,0.09863945578231292,0.4302721088435374,2.9978717758276185,2.5739495180525322,4.931407102933874
development,68#3,MC_OFF,LN,-0.0639253466574346,588,588,0.45068027210884354,0.20748299319727892,2.6413643794260837,2.2347500647388405,4.2045024432134985
development,68#3,MC_OFF,CNN,-0.1962054665721269,588,588,0.45068027210884354,0.20748299319727892,2.6413643794260837,2.2347500647388405,4.2045024432134985
development,68#4,PC_ON,LN,0.017704698232006287,504,504,0.23412698412698413,0.12301587301587301,2.9888847068197917,2.5591397944787917,5.157158128717186
development,68#4,PC_ON,CNN,-0.0020728456442746877,504,504,0.23412698412698413,0.12301587301587301,2.9888847068197917,2.5591397944787917,5.157158128717186
development,68#7,PC_ON,LN,-0.05715989907681261,588,588,0.034013605442176874,0.4370748299319728,2.8536286750254694,2.3932241746678344,4.498256161753532
development,68#7,PC_ON,CNN,-0.06705002023104321,588,588,0.034013605442176874,0.4370748299319728,2.8536286750254694,2.3932241746678344,4.498256161753532
development,68#10,MC_ON,LN,-0.04197332926962563,84,84,0.03571428571428571,0.2857142857142857,1.5331223648159227,1.1928887299140847,2.605305434490794
development,68#10,MC_ON,CNN,-0.08084643137190534,84,84,0.03571428571428571,0.2857142857142857,1.5331223648159227,1.1928887299140847,2.605305434490794
