cell_id,feature,probability,threshold
67#4,A,0.2,0.6788860501191524
67#4,A,0.4,1.5099989335637591
67#4,A,0.6,1.9161290856480595
67#4,A,0.8,2.6738246318625443
67#4,C,0.2,0.08481190986931324
67#4,C,0.4,0.23434927873313427
67#4,C,0.6,0.619667226076126
67#4,C,0.8,1.8344523403793576
67#4,U,0.2,0.27132029384374623
67#4,U,0.4,0.4863260999321938
67#4,U,0.6,0.6310670785605907
67#4,U,0.8,1.1598681315779695
67#6,A,0.2,0.6361877852032699
67#6,A,0.4,1.4721253248397914
67#6,A,0.6,1.6906993204821361
67#6,A,0.8,2.141366545102322
67#6,C,0.2,0.08385379420593392
67#6,C,0.4,0.2526852054288616
67#6,C,0.6,0.6035591925773769
67#6,C,0.8,1.740340218972416
67#6,U,0.2,0.17991818010341418
67#6,U,0.4,0.43841337203979525
67#6,U,0.6,0.6243906807899474
67#6,U,0.8,0.9957716572284716
67#7,A,0.2,0.6614357278636044
67#7,A,0.4,1.4787486918569084
67#7,A,0.6,1.8139661615558405
67#7,A,0.8,2.2609586135795494
67#7,C,0.2,0.09264809901360425
67#7,C,0.4,0.25399713435520727
67#7,C,0.6,0.6444748160739737
67#7,C,0.8,1.877693193405869
67#7,U,0.2,0.21529401267568274
67#7,U,0.4,0.49746058459083314
67#7,U,0.6,0.6638469795385995
67#7,U,0.8,1.1518902447695554
67#14,A,0.2,0.7095132314284501
67#14,A,0.4,1.533327685613788
67#14,A,0.6,1.98028245796135
67#14,A,0.8,2.2878686198649087
67#14,C,0.2,0.09774893373250979
67#14,C,0.4,0.30361595030117366
67#14,C,0.6,0.6683350294828407
67#14,C,0.8,1.9663162559271152
67#14,U,0.2,0.2307603843510152
67#14,U,0.4,0.4925190713256599
67#14,U,0.6,0.658646523952484
67#14,U,0.8,1.1497031968086995
67#21,A,0.2,0.7061770338020862
67#21,A,0.4,1.5591012082923597
67#21,A,0.6,2.0101129027628173
67#21,A,0.8,2.2356213565313814
67#21,C,0.2,0.1002116680145264
67#21,C,0.4,0.26270250082016
67#21,C,0.6,0.643640048801899
67#21,C,0.8,1.739476433396353
67#21,U,0.2,0.22020461261272456
67#21,U,0.4,0.4723601430654526
67#21,U,0.6,0.6334575295448298
67#21,U,0.8,0.9707956224679948
67#26,A,0.2,0.7215011452446031
67#26,A,0.4,1.5805913223563
67#26,A,0.6,1.9235914517678157
67#26,A,0.8,2.3212397687837165
67#26,C,0.2,0.10541123151779176
67#26,C,0.4,0.26646866115741435
67#26,C,0.6,0.6060634040832501
67#26,C,0.8,1.9486888313293476
67#26,U,0.2,0.21551151949912364
67#26,U,0.4,0.48788928031921397
67#26,U,0.6,0.6559824991226195
67#26,U,0.8,1.1578427928686241
67#33,A,0.2,0.6776672897744597
67#33,A,0.4,1.543564207116013
67#33,A,0.6,1.8879726834088655
67#33,A,0.8,2.188585634210001
67#33,C,0.2,0.0986862790584565
67#33,C,0.4,0.24438044734299216
67#33,C,0.6,0.57469796963036
67#33,C,0.8,1.635903697460891
67#33,U,0.2,0.21391857102513392
67#33,U,0.4,0.4730631576478487
67#33,U,0.6,0.6179405000805852
67#33,U,0.8,0.9259151130914743
