split,cell_id,group,feature,quintile,bins,event_rate,mean_signed_drive,mean_absolute_drive,mean_recent_change,mean_feature,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,67#4,PC_OFF,C,1,761,0.4007884362680683,-0.4204975517241253,0.6674470298111016,0.034200271450193616,0.034200271450193616,0.6350176984092253,0.6533819556028968,0.6583933252161751,-0.018364257193671567,-0.02337562680695002
consumed,67#4,PC_OFF,C,2,608,0.31743421052631576,-0.16485610037441228,0.5025423407094326,0.15363036278588543,0.15363036278588543,0.5736457080567499,0.5794589195905463,0.5979255157411519,-0.005813211533796439,-0.02427980768440195
consumed,67#4,PC_OFF,C,3,963,0.25960539979231567,0.03756749020940447,0.5446824237223762,0.4047022509914308,0.4047022509914308,0.5516665852540963,0.5465360179613132,0.5809750766568638,0.00513056729278318,-0.029308491402767384
consumed,67#4,PC_OFF,C,4,1059,0.20018885741265344,0.6519478306312714,0.9768050761501774,1.080368712095812,1.080368712095812,0.44310543180181267,0.4433539631813367,0.4742429628568632,-0.00024853137952401293,-0.031137531055050502
consumed,67#4,PC_OFF,C,5,809,0.15327564894932014,2.437938398531223,2.714031875875626,4.144633009494969,4.144633009494969,0.33628843887848103,0.3516584563535017,0.3957617072154478,-0.015370017475020625,-0.05947326833696673
consumed,67#6,MC_OFF,C,1,5243,0.30059126454320045,-0.38962179769621824,0.6138845474998799,0.03301627176964265,0.03301627176964265,0.5550800125640156,0.5649445242295753,0.562587640841011,-0.009864511665559707,-0.007507628276995469
consumed,67#6,MC_OFF,C,2,5257,0.23644664257180903,-0.10984004084310535,0.5520518903587852,0.16125438768997674,0.16125438768997674,0.4635880814464186,0.47618249406923824,0.4546457048840268,-0.012594412622819594,0.008942376562391831
consumed,67#6,MC_OFF,C,3,6433,0.23597077568785949,0.1283506689854794,0.6050110712153358,0.4096103376662668,0.4096103376662668,0.4609352174397131,0.47510873290081435,0.4497542255571123,-0.014173515461101202,0.011180991882600832
consumed,67#6,MC_OFF,C,4,6608,0.2108050847457627,0.6745752915586046,1.0115055155867656,1.0301693924263624,1.0301693924263624,0.39652545269732403,0.4143727324820023,0.41352550894897777,-0.01784727978467828,-0.017000056251653715
consumed,67#6,MC_OFF,C,5,5859,0.18535586277521762,2.3868659997303703,2.641275496691065,3.830063626916483,3.830063626916483,0.368778634993214,0.3858588541037086,0.45348351708944085,-0.017080219110494666,-0.08470488209622684
consumed,67#7,MC_ON,C,1,5866,0.08574838049778384,-0.36754370368106587,0.6271790887124408,0.03573277226472407,0.03573277226472407,0.29210226661792155,0.2625783866295562,0.20513492056459737,0.029523879988365323,0.08696734605332417
consumed,67#7,MC_ON,C,2,4823,0.17437279701430644,-0.04682435285935812,0.5806541880568706,0.16608585138284152,0.16608585138284152,0.3870408101543721,0.3758404816956534,0.34472742945285734,0.011200328458718664,0.04231338070151475
consumed,67#7,MC_ON,C,3,6279,0.20624303232998886,0.13211065730783547,0.6122238017631254,0.4233234393717579,0.4233234393717579,0.3988130020439154,0.3923563324170343,0.36495853997646455,0.006456669626881017,0.03385446206745083
consumed,67#7,MC_ON,C,4,7133,0.29244357212953875,0.784423716491853,1.0825744186158364,1.121288116466585,1.121288116466585,0.47369181902016394,0.4752965030321905,0.4846097343777003,-0.001604684012026653,-0.0109179153575364
consumed,67#7,MC_ON,C,5,5299,0.31232307982638235,2.4489362847760883,2.6932610635577565,4.039672549609137,4.039672549609137,0.5739834853408099,0.5753431411503251,0.5935817444137798,-0.0013596558095151764,-0.01959825907296966
consumed,67#14,PC_ON,C,1,5922,0.06872678149273893,-0.43189041542152945,0.6254696695972594,0.037882922559129575,0.037882922559129575,0.20973558930288297,0.19135896182633233,0.1524570701661508,0.01837662747655063,0.057278519136732146
consumed,67#14,PC_ON,C,2,5383,0.1359836522385287,-0.08306680915652265,0.5719529348741206,0.1895886435191495,0.1895886435191495,0.30879214492574036,0.30572194762261057,0.2846471450274888,0.003070197303129748,0.02414499989825152
consumed,67#14,PC_ON,C,3,5418,0.1836471022517534,0.18916161510878973,0.6743933193791363,0.46180951920223967,0.46180951920223967,0.35727374998019473,0.35353912996987086,0.33893659156160977,0.003734620010323822,0.018337158418584954
consumed,67#14,PC_ON,C,4,7189,0.27722910001391016,0.696495050357798,1.0072056899389723,1.1534322144440292,1.1534322144440292,0.4337189463979954,0.4303968022137967,0.43882000169699603,0.0033221441841986827,-0.0051010552990006204
consumed,67#14,PC_ON,C,5,5488,0.4145408163265306,2.5663082297915767,2.833359140137687,4.251004786306854,4.251004786306854,0.549388951468024,0.5571783268334822,0.605609275322495,-0.007789375365458436,-0.056220323854470976
