split,comparator,estimate,cells,available,mean,median,positive,negative,zero,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
development,LN,raw,22,True,-0.02666424402644544,-0.018704113692887502,5,17,0,-0.04188313314267458,-0.0126501468452542,-0.04114324692716934,-0.007697768393454123
development,LN,U_matched,22,True,-0.02537657674017727,-0.02257377461819087,4,18,0,-0.03945505334186403,-0.012175465947608382,-0.035412488186603586,-0.009141719975427691
development,CNN,raw,22,True,-0.0054980148627208235,-0.01103245988489981,10,12,0,-0.02622141957791531,0.01517181458721052,-0.028846215299028907,0.006890976270040018
development,CNN,U_matched,22,True,-0.009579616504406379,-0.009556134202737435,8,14,0,-0.02842544096688638,0.009353502515923807,-0.02852656519376058,0.00886914828938796
consumed,LN,raw,22,True,-0.024040485450573038,-0.022627017852508022,1,21,0,,,,
consumed,LN,U_matched,22,True,-0.03026591412380594,-0.02901516736514955,0,22,0,,,,
consumed,CNN,raw,22,True,-0.06805885112244499,-0.05905074663607375,1,21,0,,,,
consumed,CNN,U_matched,22,True,-0.0720493521632468,-0.06646664677960822,0,22,0,,,,
