cell_id,group,mode,channel,profile,region,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
67#4,PC_OFF,AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41530072689056396,0.532321572303772,-0.11702084541320801,-6,-6,0.0,-2,-2,0.0
67#4,PC_OFF,AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.41530078649520874,-0.532321572303772,0.11702078580856323,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#4,PC_OFF,AC_off,probability,ramp,dark_boundary,3.2395124435424805e-05,4.741549491882324e-05,-1.5020370483398438e-05,0.0,0.0,0.0,3.2395124435424805e-05,4.741549491882324e-05,-1.5020370483398438e-05,0.07821597158908844,0.09792865812778473,-0.01971268653869629,-5,-5,0.0,-2,-2,0.0
67#4,PC_OFF,AC_off,probability,ramp,bright_boundary,0.0,0.0,0.0,-2.2232532501220703e-05,-2.898275852203369e-05,6.750226020812988e-06,-0.0853508859872818,-0.10958707332611084,0.02423618733882904,-2.2232532501220703e-05,-2.898275852203369e-05,6.750226020812988e-06,2,2,0.0,5,5,0.0
67#4,PC_OFF,AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07820306718349457,0.09790994226932526,-0.01970687508583069,-6,-6,0.0,-2,-2,0.0
67#4,PC_OFF,AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.08534027636051178,-0.10957254469394684,0.02423226833343506,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#6,MC_OFF,normal,logit,ramp,dark_boundary,0.005174994468688965,0.006350278854370117,-0.0011752843856811523,0.0,0.0,0.0,0.005174994468688965,0.006350278854370117,-0.0011752843856811523,0.1496138572692871,0.15119922161102295,-0.0015853643417358398,-5,-5,0.0,-2,-2,0.0
67#6,MC_OFF,normal,logit,ramp,bright_boundary,0.0,0.0,0.0,-0.005174994468688965,-0.006350278854370117,0.0011752843856811523,-0.1496138572692871,-0.1511993408203125,0.0015854835510253906,-0.005174994468688965,-0.006350278854370117,0.0011752843856811523,2,2,0.0,5,5,0.0
67#6,MC_OFF,normal,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491166353225708,0.15057897567749023,-0.0014623403549194336,-6,-6,0.0,-2,-2,0.0
67#6,MC_OFF,normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.1491163969039917,-0.15057885646820068,0.0014624595642089844,0.0,0.0,0.0,2,2,0.0,4,4,0.0
