group,mode,channel,profile,region,n_cells,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
all,direct_BC_off,probability,ramp,bright_boundary,22,1.7316503958268598e-05,-1.0512769222259521e-05,-0.023838380182331257,0.010193095965818926,3.4545454545454546,4.545454545454546
PC_OFF,direct_BC_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,-0.02514568716287613,0.0,-2.0,-6.0
all,direct_BC_off,probability,matched_uniform,dark_boundary,22,0.0,0.0,-0.01075883141972802,0.021794845434752377,-4.545454545454546,-3.4545454545454546
PC_OFF,direct_BC_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.02416565641760826,4.0,2.0
all,direct_BC_off,probability,matched_uniform,bright_boundary,22,0.0,0.0,-0.02384396439248865,0.010187211361798372,2.727272727272727,3.272727272727273
PC_OFF,AC_off,logit,ramp,dark_boundary,4,0.0011991560459136963,0.0,0.0011991560459136963,0.41746068000793457,-5.0,-2.0
all,AC_off,logit,ramp,dark_boundary,22,0.000488292087208141,-0.00026928836649114436,-0.2105098773132671,0.1446184434674003,-3.090909090909091,-3.909090909090909
PC_OFF,AC_off,logit,ramp,bright_boundary,4,0.0,-0.0011991262435913086,-0.4174608290195465,-0.0011991262435913086,2.0,5.0
all,AC_off,logit,ramp,bright_boundary,22,0.00026934797113591975,-0.00048827041279185903,-0.14461840282786975,0.21050991253419357,3.909090909090909,3.090909090909091
PC_OFF,AC_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.4169513136148453,-6.0,-2.0
all,AC_off,logit,matched_uniform,dark_boundary,22,0.0,0.0,-0.210881154645573,0.14467604593797165,-3.4545454545454546,-4.545454545454546
PC_OFF,AC_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,-0.41695141792297363,0.0,2.0,4.0
all,AC_off,logit,matched_uniform,bright_boundary,22,0.0,0.0,-0.14467606219378384,0.21088111400604248,3.272727272727273,2.727272727272727
PC_OFF,AC_off,probability,ramp,dark_boundary,4,0.0002824254333972931,0.0,0.0002824254333972931,0.06939513795077801,-5.0,-2.0
all,AC_off,probability,ramp,dark_boundary,22,0.00010528415441513062,-3.36525792425329e-05,-0.032496418465267525,0.023567591201175343,-3.090909090909091,-3.909090909090909
PC_OFF,AC_off,probability,ramp,bright_boundary,4,0.0,-0.0002157166600227356,-0.07685202732682228,-0.0002157166600227356,2.0,5.0
all,AC_off,probability,ramp,bright_boundary,22,5.1001594825224444e-05,-7.523189891468395e-05,-0.026018088852817364,0.029484932395544918,3.909090909090909,3.090909090909091
PC_OFF,AC_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.06928074918687344,-6.0,-2.0
all,AC_off,probability,matched_uniform,dark_boundary,22,0.0,0.0,-0.032585229047320106,0.02355862171812491,-3.4545454545454546,-4.545454545454546
PC_OFF,AC_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,-0.076752208173275,0.0,2.0,4.0
all,AC_off,probability,matched_uniform,bright_boundary,22,0.0,0.0,-0.02603313394568183,0.029539862478321247,3.272727272727273,2.727272727272727
MC_OFF,normal,logit,ramp,dark_boundary,4,0.004754364490509033,0.0,0.004754364490509033,0.18662558495998383,-5.0,-2.0
MC_OFF,normal,logit,ramp,bright_boundary,4,0.0,-0.004754394292831421,-0.18662576377391815,-0.004754394292831421,2.0,5.0
MC_OFF,normal,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.18627002835273743,-6.0,-2.0
MC_OFF,normal,logit,matched_uniform,bright_boundary,4,0.0,0.0,-0.18627005815505981,0.0,2.0,4.0
MC_OFF,normal,probability,ramp,dark_boundary,4,0.0008660629391670227,0.0,0.0008660629391670227,0.029607120901346207,-5.0,-2.0
MC_OFF,normal,probability,ramp,bright_boundary,4,0.0,-0.0007532574236392975,-0.03142910450696945,-0.0007532574236392975,2.0,5.0
MC_OFF,normal,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0295463427901268,-6.0,-2.0
MC_OFF,normal,probability,matched_uniform,bright_boundary,4,0.0,0.0,-0.03137306496500969,0.0,2.0,4.0
MC_OFF,H1_off,logit,ramp,dark_boundary,4,0.003893330693244934,0.0,0.003893330693244934,0.19913822412490845,-5.0,-2.0
MC_OFF,H1_off,logit,ramp,bright_boundary,4,0.0,-0.0038933157920837402,-0.19913817942142487,-0.0038933157920837402,2.0,5.0
MC_OFF,H1_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.19913822412490845,-6.0,-2.0
MC_OFF,H1_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,-0.19913817942142487,0.0,2.0,4.0
MC_OFF,H1_off,probability,ramp,dark_boundary,4,0.0007183477282524109,0.0,0.0007183477282524109,0.03158532455563545,-5.0,-2.0
MC_OFF,H1_off,probability,ramp,bright_boundary,4,0.0,-0.0006175152957439423,-0.03358064964413643,-0.0006175152957439423,2.0,5.0
MC_OFF,H1_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.03158532455563545,-6.0,-2.0
MC_OFF,H1_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,-0.03358064964413643,0.0,2.0,4.0
MC_OFF,direct_BC_off,logit,ramp,dark_boundary,4,0.0,-0.0003013908863067627,-0.1930771917104721,-0.0003013908863067627,-2.0,-6.0
MC_OFF,direct_BC_off,logit,ramp,bright_boundary,4,0.0003013312816619873,0.0,0.0003013312816619873,0.1930771768093109,6.0,2.0
MC_OFF,direct_BC_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,-0.1927773803472519,0.0,-2.0,-6.0
MC_OFF,direct_BC_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.19277723133563995,4.0,2.0
MC_OFF,direct_BC_off,probability,ramp,dark_boundary,4,0.0,-4.316866397857666e-05,-0.034074679017066956,-4.316866397857666e-05,-2.0,-6.0
MC_OFF,direct_BC_off,probability,ramp,bright_boundary,4,5.8609992265701294e-05,0.0,5.8609992265701294e-05,0.03191857784986496,6.0,2.0
MC_OFF,direct_BC_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,-0.034027885645627975,0.0,-2.0,-6.0
MC_OFF,direct_BC_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.03186400607228279,4.0,2.0
MC_OFF,AC_off,logit,ramp,dark_boundary,4,0.001486450433731079,0.0,0.001486450433731079,0.3794218450784683,-5.0,-2.0
MC_OFF,AC_off,logit,ramp,bright_boundary,4,0.0,-0.001486361026763916,-0.37942180037498474,-0.001486361026763916,2.0,5.0
MC_OFF,AC_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.3787669390439987,-6.0,-2.0
MC_OFF,AC_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,-0.3787669241428375,0.0,2.0,4.0
MC_OFF,AC_off,probability,ramp,dark_boundary,4,0.0002966374158859253,0.0,0.0002966374158859253,0.06041170284152031,-5.0,-2.0
MC_OFF,AC_off,probability,ramp,bright_boundary,4,0.0,-0.00019805878400802612,-0.06652797013521194,-0.00019805878400802612,2.0,5.0
MC_OFF,AC_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.06029167026281357,-6.0,-2.0
MC_OFF,AC_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,-0.06643002852797508,0.0,2.0,4.0
MC_ON,normal,logit,ramp,dark_boundary,5,0.0,-0.005751228332519532,-0.09597671031951904,-0.005751228332519532,-2.0,-5.0
MC_ON,normal,logit,ramp,bright_boundary,5,0.005751299858093262,0.0,0.005751299858093262,0.09597668647766114,5.0,2.0
MC_ON,normal,logit,matched_uniform,dark_boundary,5,0.0,0.0,-0.0958787441253662,0.0,-2.0,-6.0
MC_ON,normal,logit,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.0958787202835083,4.0,2.0
MC_ON,normal,probability,ramp,dark_boundary,5,0.0,-0.0009002178907394409,-0.015561392903327942,-0.0009002178907394409,-2.0,-5.0
MC_ON,normal,probability,ramp,bright_boundary,5,0.0009490042924880981,0.0,0.0009490042924880981,0.014885011315345763,5.0,2.0
MC_ON,normal,probability,matched_uniform,dark_boundary,5,0.0,0.0,-0.015545812249183655,0.0,-2.0,-6.0
MC_ON,normal,probability,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.014868730306625366,4.0,2.0
MC_ON,H1_off,logit,ramp,dark_boundary,5,0.0,-0.005490016937255859,-0.10026023387908936,-0.005490016937255859,-2.0,-5.0
MC_ON,H1_off,logit,ramp,bright_boundary,5,0.005489921569824219,0.0,0.005489921569824219,0.10026023387908936,5.0,2.0
MC_ON,H1_off,logit,matched_uniform,dark_boundary,5,0.0,0.0,-0.10026023387908936,0.0,-2.0,-6.0
MC_ON,H1_off,logit,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.10026023387908936,4.0,2.0
MC_ON,H1_off,probability,ramp,dark_boundary,5,0.0,-0.0008569419384002686,-0.016273555159568787,-0.0008569419384002686,-2.0,-5.0
MC_ON,H1_off,probability,ramp,bright_boundary,5,0.0009071022272109985,0.0,0.0009071022272109985,0.015573298931121827,5.0,2.0
MC_ON,H1_off,probability,matched_uniform,dark_boundary,5,0.0,0.0,-0.016273555159568787,0.0,-2.0,-6.0
MC_ON,H1_off,probability,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.015573298931121827,4.0,2.0
MC_ON,direct_BC_off,logit,ramp,dark_boundary,5,0.00021879673004150392,0.0,0.00021879673004150392,0.2704662084579468,-6.0,-2.0
MC_ON,direct_BC_off,logit,ramp,bright_boundary,5,0.0,-0.00021860599517822265,-0.2704661011695862,-0.00021860599517822265,2.0,6.0
MC_ON,direct_BC_off,logit,matched_uniform,dark_boundary,5,0.0,0.0,0.0,0.2702484130859375,-6.0,-2.0
MC_ON,direct_BC_off,logit,matched_uniform,bright_boundary,5,0.0,0.0,-0.27024840116500853,0.0,2.0,4.0
MC_ON,direct_BC_off,probability,ramp,dark_boundary,5,4.3672323226928714e-05,0.0,4.3672323226928714e-05,0.041377946734428406,-6.0,-2.0
MC_ON,direct_BC_off,probability,ramp,bright_boundary,5,0.0,-2.8708577156066893e-05,-0.04550595879554749,-2.8708577156066893e-05,2.0,6.0
MC_ON,direct_BC_off,probability,matched_uniform,dark_boundary,5,0.0,0.0,0.0,0.041338109970092775,-6.0,-2.0
MC_ON,direct_BC_off,probability,matched_uniform,bright_boundary,5,0.0,0.0,-0.045473715662956236,0.0,2.0,4.0
MC_ON,AC_off,logit,ramp,dark_boundary,5,0.0,-0.0007159233093261719,-0.36626878976821897,-0.0007159233093261719,-2.0,-5.0
MC_ON,AC_off,logit,ramp,bright_boundary,5,0.0007160305976867676,0.0,0.0007160305976867676,0.3662687301635742,5.0,2.0
MC_ON,AC_off,logit,matched_uniform,dark_boundary,5,0.0,0.0,-0.3659532189369202,0.0,-2.0,-6.0
MC_ON,AC_off,logit,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.36595313549041747,4.0,2.0
MC_ON,AC_off,probability,ramp,dark_boundary,5,0.0,-9.39875841140747e-05,-0.06154040694236755,-9.39875841140747e-05,-2.0,-5.0
MC_ON,AC_off,probability,ramp,bright_boundary,5,0.00014175474643707275,0.0,0.00014175474643707275,0.05575821697711945,5.0,2.0
MC_ON,AC_off,probability,matched_uniform,dark_boundary,5,0.0,0.0,-0.06149379312992096,0.0,-2.0,-6.0
MC_ON,AC_off,probability,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.055700913071632385,4.0,2.0
PC_ON,normal,logit,ramp,dark_boundary,9,1.0675854153103299e-05,-0.002981318367852105,-0.1137244701385498,0.02172186639573839,-2.4444444444444446,-4.222222222222222
PC_ON,normal,logit,ramp,bright_boundary,9,0.002981331613328722,-1.0675854153103299e-05,-0.021721853150261775,0.11372452312045628,4.222222222222222,2.4444444444444446
PC_ON,normal,logit,matched_uniform,dark_boundary,9,0.0,0.0,-0.11369442939758301,0.024692575136820476,-2.4444444444444446,-5.555555555555555
PC_ON,normal,logit,matched_uniform,bright_boundary,9,0.0,0.0,-0.024692575136820476,0.11369448237948948,3.7777777777777777,2.2222222222222223
PC_ON,normal,probability,ramp,dark_boundary,9,1.682175530327691e-06,-0.00041629870732625324,-0.015481282439496782,0.0029208941592110526,-2.4444444444444446,-4.222222222222222
PC_ON,normal,probability,ramp,bright_boundary,9,0.0004617157909605238,-1.3030237621731228e-06,-0.003094847003618876,0.014810194571812948,4.222222222222222,2.4444444444444446
PC_ON,normal,probability,matched_uniform,dark_boundary,9,0.0,0.0,-0.015477521551979912,0.0033356166548199123,-2.4444444444444446,-5.555555555555555
PC_ON,normal,probability,matched_uniform,bright_boundary,9,0.0,0.0,-0.003555176986588372,0.014805598391426934,3.7777777777777777,2.2222222222222223
PC_ON,H1_off,logit,ramp,dark_boundary,9,0.0,-0.0028147564993964303,-0.11548364162445068,0.02213463518354628,-2.4444444444444446,-4.222222222222222
PC_ON,H1_off,logit,ramp,bright_boundary,9,0.0028147962358262804,0.0,-0.022134595447116427,0.11548366811540392,4.222222222222222,2.4444444444444446
PC_ON,H1_off,logit,matched_uniform,dark_boundary,9,0.0,0.0,-0.11548364162445068,0.024949391682942707,-2.4444444444444446,-5.555555555555555
PC_ON,H1_off,logit,matched_uniform,bright_boundary,9,0.0,0.0,-0.024949391682942707,0.11548366811540392,3.7777777777777777,2.2222222222222223
PC_ON,H1_off,probability,ramp,dark_boundary,9,0.0,-0.0003925942712359958,-0.015739835798740387,0.0029765748315387303,-2.4444444444444446,-4.222222222222222
PC_ON,H1_off,probability,ramp,bright_boundary,9,0.00043576210737228394,0.0,-0.0031576413247320387,0.015049190156989627,4.222222222222222,2.4444444444444446
PC_ON,H1_off,probability,matched_uniform,dark_boundary,9,0.0,0.0,-0.015739835798740387,0.003369169102774726,-2.4444444444444446,-5.555555555555555
PC_ON,H1_off,probability,matched_uniform,bright_boundary,9,0.0,0.0,-0.0035934034321043226,0.015049190156989627,3.7777777777777777,2.2222222222222223
