cell_id,group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
67#4,PC_OFF,normal,logit,Mach,Mach_x-12,response_minus_blank,0.18015435338020325,0.18235641717910767,-0.002202063798904419,0.2606518864631653,0.27238452434539795,-0.011732637882232666,0.2606518864631653,0.27238452434539795,-0.011732637882232666,66.66665649414062,100.0,-33.333343505859375,0.023063829739888513,0.023046159744262697,1.7669995625815837e-05,0.11089369654655457,0.11532095819711685,-0.004427261650562286,0.13402488827705383,0.1353388875722885,-0.0013139992952346802
67#4,PC_OFF,normal,logit,Mach,Mach_x-12,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Mach,Mach_x-11,response_minus_blank,0.18015435338020325,0.18235638737678528,-0.0022020339965820312,0.2606518864631653,0.27238452434539795,-0.011732637882232666,0.2606518864631653,0.27238452434539795,-0.011732637882232666,66.66665649414062,100.0,-33.333343505859375,0.02306382497151693,0.023046156565348308,1.7668406168621503e-05,0.11089369654655457,0.11532095819711685,-0.004427261650562286,0.13402482867240906,0.13533885776996613,-0.0013140290975570679
67#4,PC_OFF,normal,logit,Mach,Mach_x-11,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Mach,Mach_x-10,response_minus_blank,0.18015435338020325,0.1823563575744629,-0.0022020041942596436,0.2606518864631653,0.27238428592681885,-0.011732399463653564,0.2606518864631653,0.27238428592681885,-0.011732399463653564,66.66665649414062,100.0,-33.333343505859375,0.023063799540201824,0.023046107292175294,1.7692248026529578e-05,0.11089370399713516,0.11532095074653625,-0.0044272467494010925,0.13402464985847473,0.13533852994441986,-0.0013138800859451294
67#4,PC_OFF,normal,logit,Mach,Mach_x-10,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Mach,Mach_x-09,response_minus_blank,0.18015460669994354,0.18235652148723602,-0.0022019147872924805,0.2606523633003235,0.2723841071128845,-0.011731743812561035,0.2606523633003235,0.2723841071128845,-0.011731743812561035,66.66665649414062,100.0,-33.333343505859375,0.023063764572143555,0.023046003977457683,1.7760594685872072e-05,0.1108938604593277,0.11532110720872879,-0.0044272467494010925,0.13402459025382996,0.13533788919448853,-0.0013132989406585693
67#4,PC_OFF,normal,logit,Mach,Mach_x-09,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Mach,Mach_x-08,response_minus_blank,0.1801569014787674,0.1823587417602539,-0.0022018402814865112,0.2606562376022339,0.27238738536834717,-0.011731147766113281,0.2606562376022339,0.27238738536834717,-0.011731147766113281,66.66665649414062,100.0,-33.333343505859375,0.023063999811808268,0.02304608980814616,1.7910003662108265e-05,0.11089474707841873,0.11532219499349594,-0.0044274479150772095,0.13402718305587769,0.13533931970596313,-0.0013121366500854492
67#4,PC_OFF,normal,logit,Mach,Mach_x-08,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Mach,Mach_x-07,response_minus_blank,0.1801660656929016,0.18236854672431946,-0.0022024810314178467,0.26067179441452026,0.272405207157135,-0.011733412742614746,0.26067179441452026,0.272405207157135,-0.011733412742614746,66.66665649414062,100.0,-33.333343505859375,0.023065487543741863,0.023047375679016113,1.8111864725750548e-05,0.11089803278446198,0.11532630771398544,-0.004428274929523468,0.13404136896133423,0.1353519856929779,-0.0013106167316436768
67#4,PC_OFF,normal,logit,Mach,Mach_x-07,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
