cell_id,group,mode,channel,profile,region,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
67#6,MC_OFF,direct_BC_off,logit,ramp,dark_boundary,0.0,-0.0004730224609375,-0.18985998630523682,-0.0004730224609375,-2,-6
67#6,MC_OFF,direct_BC_off,logit,ramp,bright_boundary,0.0004731416702270508,0.0,0.0004731416702270508,0.18985974788665771,6,2
67#6,MC_OFF,direct_BC_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.18938910961151123,0.0,-2,-6
67#6,MC_OFF,direct_BC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.18938899040222168,4,2
67#6,MC_OFF,direct_BC_off,probability,ramp,dark_boundary,0.0,-7.142126560211182e-05,-0.03444071114063263,-7.142126560211182e-05,-2,-6
67#6,MC_OFF,direct_BC_off,probability,ramp,bright_boundary,9.486079216003418e-05,0.0,9.486079216003418e-05,0.03239469230175018,6,2
67#6,MC_OFF,direct_BC_off,probability,matched_uniform,dark_boundary,0.0,0.0,-0.0343637615442276,0.0,-2,-6
67#6,MC_OFF,direct_BC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.032305940985679626,4,2
67#6,MC_OFF,AC_off,logit,ramp,dark_boundary,0.0021954774856567383,0.0,0.0021954774856567383,0.33925318717956543,-5,-2
67#6,MC_OFF,AC_off,logit,ramp,bright_boundary,0.0,-0.0021952390670776367,-0.33925312757492065,-0.0021952390670776367,2,5
67#6,MC_OFF,AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.33828604221343994,-6,-2
67#6,MC_OFF,AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,-0.3382858633995056,0.0,2,4
67#6,MC_OFF,AC_off,probability,ramp,dark_boundary,0.000453263521194458,0.0,0.000453263521194458,0.057281702756881714,-5,-2
67#6,MC_OFF,AC_off,probability,ramp,bright_boundary,0.0,-0.00031732022762298584,-0.0621083527803421,-0.00031732022762298584,2,5
67#6,MC_OFF,AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.05709630250930786,-6,-2
67#6,MC_OFF,AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,-0.06195336580276489,0.0,2,4
67#7,MC_ON,normal,logit,ramp,dark_boundary,0.0,-0.006074309349060059,-0.10391199588775635,-0.006074309349060059,-2,-5
67#7,MC_ON,normal,logit,ramp,bright_boundary,0.006074309349060059,0.0,0.006074309349060059,0.10391199588775635,5,2
67#7,MC_ON,normal,logit,matched_uniform,dark_boundary,0.0,0.0,-0.10373413562774658,0.0,-2,-6
67#7,MC_ON,normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.10373413562774658,4,2
67#7,MC_ON,normal,probability,ramp,dark_boundary,0.0,-0.0009428262710571289,-0.016966477036476135,-0.0009428262710571289,-2,-5
67#7,MC_ON,normal,probability,ramp,bright_boundary,0.000990167260169983,0.0,0.000990167260169983,0.01610223948955536,5,2
67#7,MC_ON,normal,probability,matched_uniform,dark_boundary,0.0,0.0,-0.016938835382461548,0.0,-2,-6
67#7,MC_ON,normal,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.01607327163219452,4,2
67#7,MC_ON,H1_off,logit,ramp,dark_boundary,0.0,-0.005610227584838867,-0.11133909225463867,-0.005610227584838867,-2,-5
67#7,MC_ON,H1_off,logit,ramp,bright_boundary,0.005609989166259766,0.0,0.005609989166259766,0.11133909225463867,5,2
67#7,MC_ON,H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.11133909225463867,0.0,-2,-6
67#7,MC_ON,H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.11133909225463867,4,2
67#7,MC_ON,H1_off,probability,ramp,dark_boundary,0.0,-0.0008679181337356567,-0.01817074418067932,-0.0008679181337356567,-2,-5
67#7,MC_ON,H1_off,probability,ramp,bright_boundary,0.0009173601865768433,0.0,0.0009173601865768433,0.01726144552230835,5,2
67#7,MC_ON,H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,-0.01817074418067932,0.0,-2,-6
67#7,MC_ON,H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.01726144552230835,4,2
67#7,MC_ON,direct_BC_off,logit,ramp,dark_boundary,0.0003420114517211914,0.0,0.0003420114517211914,0.2765939235687256,-6,-2
67#7,MC_ON,direct_BC_off,logit,ramp,bright_boundary,0.0,-0.0003420114517211914,-0.2765939235687256,-0.0003420114517211914,2,6
67#7,MC_ON,direct_BC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.27625346183776855,-6,-2
67#7,MC_ON,direct_BC_off,logit,matched_uniform,bright_boundary,0.0,0.0,-0.27625346183776855,0.0,2,4
67#7,MC_ON,direct_BC_off,probability,ramp,dark_boundary,6.662309169769287e-05,0.0,6.662309169769287e-05,0.041885972023010254,-6,-2
67#7,MC_ON,direct_BC_off,probability,ramp,bright_boundary,0.0,-4.248321056365967e-05,-0.046172961592674255,-4.248321056365967e-05,2,6
67#7,MC_ON,direct_BC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.04182565212249756,-6,-2
67#7,MC_ON,direct_BC_off,probability,matched_uniform,bright_boundary,0.0,0.0,-0.0461249053478241,0.0,2,4
67#7,MC_ON,AC_off,logit,ramp,dark_boundary,0.0,-0.0011754035949707031,-0.3803246021270752,-0.0011754035949707031,-2,-5
67#7,MC_ON,AC_off,logit,ramp,bright_boundary,0.0011752843856811523,0.0,0.0011752843856811523,0.38032424449920654,5,2
67#7,MC_ON,AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.3798065185546875,0.0,-2,-6
67#7,MC_ON,AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.37980639934539795,4,2
67#7,MC_ON,AC_off,probability,ramp,dark_boundary,0.0,-0.00014698505401611328,-0.06355291604995728,-0.00014698505401611328,-2,-5
