cell_id,group,raw_validation_nll,current_validation_nll,previous_validation_nll,current_best_step,previous_best_step,current_stopping_step,previous_stopping_step,current_H1_rf_norm,previous_H1_rf_norm,current_H1_off_mean_abs_logit,previous_H1_off_mean_abs_logit,current_H1_off_mean_abs_probability,previous_H1_off_mean_abs_probability,current_direct_BC_rf_norm,previous_direct_BC_rf_norm,current_direct_BC_off_mean_abs_logit,previous_direct_BC_off_mean_abs_logit,current_direct_BC_off_mean_abs_probability,previous_direct_BC_off_mean_abs_probability,current_AC_rf_norm,previous_AC_rf_norm,current_AC_off_mean_abs_logit,previous_AC_off_mean_abs_logit,current_AC_off_mean_abs_probability,previous_AC_off_mean_abs_probability,delta_validation_nll,delta_best_step,delta_stopping_step,delta_H1_rf_norm,delta_H1_off_mean_abs_logit,delta_H1_off_mean_abs_probability,delta_direct_BC_rf_norm,delta_direct_BC_off_mean_abs_logit,delta_direct_BC_off_mean_abs_probability,delta_AC_rf_norm,delta_AC_off_mean_abs_logit,delta_AC_off_mean_abs_probability
67#4,PC_OFF,0.5925148129463196,0.46489620208740234,0.4727461636066437,140,137,340,337,0.00033132017510590896,0.00035832686347003214,0.0059297612806161245,0.006516888042291005,0.0006611057396609492,0.0006957317660574821,0.28943032515944106,0.3461798324561192,1.5082452694574993,2.043900058766206,0.24247468231866756,0.3217717835182945,0.07199754339481125,0.1283836559856393,0.7221868221461772,1.2534413686394692,0.06704235764412564,0.09901210975730768,-0.007849961519241333,3,3,-2.700668836412318e-05,-0.0005871267616748806,-3.462602639653291e-05,-0.05674950729667816,-0.5356547893087067,-0.07929710119962693,-0.056386112590828055,-0.531254546493292,-0.03196975211318204
67#6,MC_OFF,0.7596559524536133,0.4422644376754761,0.4430445730686188,369,370,569,570,0.00737761486399509,0.009549385367266239,0.07966008563836416,0.10295577625433604,0.011691765515715815,0.015400293570855865,0.2069922157771277,0.24027128296062011,1.1224697598814963,1.3301065228382747,0.16520562063902616,0.19728940515468518,0.09640492067834021,0.11675473089261652,0.8659364454944929,1.0736691145102184,0.10754957812944971,0.12400331641979088,-0.0007801353931427002,-1,-1,-0.0021717705032711487,-0.02329569061597188,-0.0037085280551400496,-0.03327906718349241,-0.20763676295677835,-0.03208378451565902,-0.020349810214276315,-0.2077326690157255,-0.016453738290341177
67#7,MC_ON,0.7811102867126465,0.45688679814338684,0.4584232270717621,276,276,476,476,0.003420267032035956,0.009694306739156151,0.04078910370667776,0.11535745908816655,0.0044562336399385895,0.011937983937101914,0.2132526622017327,0.2503435973023857,1.2335663943489392,1.3153103005886078,0.1403169084353058,0.1456226377862233,0.13125193825137543,0.13842590114261197,1.290193730890751,1.3394099096457164,0.1711329126233856,0.16914184928561252,-0.0015364289283752441,0,0,-0.006274039707120194,-0.07456835538148879,-0.007481750297163325,-0.037090935100653005,-0.08174390623966854,-0.0053057293509174985,-0.007173962891236535,-0.04921617875496542,0.0019910633377730746
67#14,PC_ON,0.6056341528892517,0.3729247450828552,0.3695501387119293,250,817,450,1000,0.0010135616859620138,0.011709044346260267,0.012103569606939951,0.14612364103396733,0.0012444197908431911,0.01372152749846767,0.2843131769383961,0.31999138230319635,1.375185594856739,1.2110996572176616,0.1421250428428175,0.14197132980674118,0.11629552313060983,0.10807295645861717,1.1066028291980425,0.8833184031645457,0.14499759719396632,0.10857427388429641,0.0033746063709259033,-567,-550,-0.010695482660298253,-0.13402007142702738,-0.01247710770762448,-0.035678205364800264,0.16408593763907753,0.00015371303607630837,0.008222566671992657,0.22328442603349685,0.03642332330966991
67#21,PC_ON,0.6185030937194824,0.30912548303604126,0.3085543215274811,432,565,632,765,0.0006638754736460009,0.004000426663767891,0.00955322285493215,0.05388489544391632,0.0008709267114422151,0.004847125645194735,0.2148507605840492,0.2493528466564343,1.074514145453771,1.1851864327987036,0.08484706542853798,0.08788652603747323,0.0872986605028645,0.11287961641801693,0.8311408921082815,0.9297591026624044,0.10331954391761905,0.11313607250650724,0.0005711615085601807,-133,-133,-0.00333655119012189,-0.04433167258898417,-0.00397619893375252,-0.03450208607238511,-0.11067228734493262,-0.0030394606089352433,-0.02558095591515243,-0.0986182105541229,-0.009816528588888193
67#26,PC_ON,0.7386364340782166,0.5125158429145813,0.5150015950202942,264,263,464,463,0.0006626126185874818,0.002035530315066021,0.008630064456235795,0.02487169453075954,0.0013911790835360687,0.004117088128945657,0.22446628230341248,0.28818126344465333,1.0764114743187314,1.4115577280805225,0.1525279630152952,0.17789700925084098,0.09388690681812976,0.1403032128339551,0.8116088920405933,1.1439860925362224,0.13405335075798488,0.1757507861707182,-0.0024857521057128906,1,1,-0.0013729176964785389,-0.016241630074523745,-0.002725909045409588,-0.06371498114124086,-0.3351462537617911,-0.025369046235545784,-0.046416306015825345,-0.33237720049562913,-0.041697435412733325
67#33,MC_OFF,0.718409538269043,0.36991727352142334,0.3699999749660492,581,581,781,781,0.004896434004030364,0.01588764908299157,0.05691682000954946,0.18507223318020502,0.006821661883432509,0.022285942950064738,0.3038495180247386,0.3390396491866351,1.6079337312777837,1.7017725493510565,0.17593934745572154,0.1936411719582975,0.1008252610416479,0.10253520287478107,0.9430466748277346,0.9556250163912773,0.09971358341023279,0.09400643224491925,-8.270144462585449e-05,0,0,-0.010991215078961204,-0.12815541317065557,-0.015464281066632229,-0.03519013116189651,-0.09383881807327277,-0.017701824502575958,-0.0017099418331331662,-0.01257834156354265,0.005707151165313534
67#34,PC_ON,0.6322758793830872,0.3863816261291504,0.3872334063053131,384,382,584,582,0.0006076356649179356,0.004081774638118129,0.00734584887822469,0.04824529320001602,0.0007019929743893001,0.004540406033574116,0.23486554374068094,0.302152475697694,1.1029465611775715,1.3722406849265099,0.11385643151802166,0.12804477291946698,0.10431770884537987,0.1397725113940468,0.9156437148650487,1.1679481536149978,0.1173018563290437,0.1447314910342296,-0.0008517801761627197,2,2,-0.003474138973200194,-0.04089944432179133,-0.003838413059184816,-0.06728693195701305,-0.26929412374893835,-0.014188341401445315,-0.03545480254866694,-0.2523044387499491,-0.027429634705185904
68#3,MC_OFF,0.9433391690254211,0.5194198489189148,0.5210433602333069,140,331,340,531,0.002027798576459553,0.008711635252771032,0.0248660243054231,0.10071457947293917,0.00411494814781084,0.01644293363923983,0.20799754626271666,0.22849666555668172,1.2815444169938564,1.2578223758439222,0.202022314930246,0.20061524952451387,0.10411817181107065,0.1102255873308588,1.0831683667004108,1.0485745114088059,0.1441579386143158,0.1375281377279316,-0.0016235113143920898,-191,-191,-0.006683836676311479,-0.07584855516751607,-0.012327985491428991,-0.020499119293965057,0.023722041149934148,0.0014070654057321275,-0.006107415519788148,0.03459385529160497,0.006629800886384207
68#4,PC_ON,1.002394437789917,0.4271003007888794,0.4249614179134369,193,906,393,1000,0.0005157428556975902,0.010457549015313487,0.010446870625019073,0.14340283741553625,0.001051138016518962,0.011877769560936334,0.15470735501625266,0.14413781593704117,0.9329309231042862,0.6823022921880086,0.07475314151395045,0.06686449834709492,0.16919589045688366,0.18166275557766115,1.4448943933844567,1.1277598310510317,0.20241008500258129,0.1435632823035121,0.002138882875442505,-713,-607,-0.009941806159615896,-0.1329559667905172,-0.010826631544417372,0.010569539079211487,0.2506286309162775,0.00788864316685553,-0.012466865120777493,0.31713456233342496,0.058846802699069195
68#7,PC_ON,0.6003968715667725,0.38521772623062134,0.38151878118515015,79,169,279,369,0.0004209501642765045,0.0005298756617228624,0.006548322538534801,0.007287995616594951,0.000870911804959178,0.000853337135631591,0.26817797614665095,0.3277116486494536,1.4921785478790601,1.7465929595629375,0.1509375476324931,0.15373450258901963,0.1065243462490334,0.15378338820449147,1.1734017339348792,1.4662515625357628,0.1681275986135006,0.19320302243034046,0.0036989450454711914,-90,-90,-0.00010892549744635793,-0.0007396730780601501,1.757466932758697e-05,-0.05953367250280267,-0.25441441168387735,-0.002796954956526543,-0.047259041955458075,-0.2928498286008836,-0.02507542381683986
68#10,MC_ON,0.7502798438072205,0.42107105255126953,0.42779529094696045,211,325,411,525,0.0003171285428335921,0.0039499573534176775,0.004454294542471568,0.04772076616684596,0.0006210887338966131,0.006253862354593972,0.19020735359697913,0.22667832720131076,1.3748597195744514,1.444899855554104,0.1352180599871402,0.1435759895706239,0.11068107983842448,0.12135395551282224,1.302987353503704,1.337960615158081,0.19854542548457782,0.19709834491213163,-0.006724238395690918,-114,-114,-0.0036328288105840854,-0.04326647162437439,-0.005632773620697359,-0.03647097360433163,-0.07004013597965253,-0.008357929583483692,-0.010672875674397758,-0.034973261654376975,0.001447080572446191
68#11,PC_OFF,0.4641529321670532,0.3728216588497162,0.3743295669555664,151,332,351,532,0.0006308219351898701,0.0003067313251596325,0.011878125071525573,0.005350063443183899,0.0010532029873809635,0.00040435270050983245,0.40802481338275914,0.4631838597131921,2.029750987092654,2.282646007935206,0.20751646240552266,0.23103233809272447,0.07418297395544837,0.08808482702457127,0.758114334444205,0.8238297723730406,0.0558818290786565,0.05602024153217782,-0.0015079081058502197,-181,-181,0.00032409061003023766,0.006528061628341675,0.0006488502868711311,-0.05515904633043295,-0.2528950208425522,-0.023515875687201815,-0.013901853069122894,-0.06571543792883561,-0.00013841245352132214
