cell_id,group,H1_amplitude,direct_BC_gain,AC_gain,AC_local_mixture,AC_transient_mixture,BC_shared_sustained_spatial_mode_0,BC_shared_sustained_spatial_mode_1,BC_shared_transient_spatial_mode_0,BC_shared_transient_spatial_mode_1,tau_H1_0_ms,tau_BC_sustained_basis_0_ms,tau_BC_sustained_basis_1_ms,tau_BC_sustained_basis_2_ms,tau_BC_transient_basis_0_ms,tau_BC_transient_basis_1_ms,tau_BC_transient_basis_2_ms,tau_AC_local_state_0_ms,tau_AC_transient_state_0_ms,delay_H1_0_ms,delay_BC_sustained_0_ms,delay_BC_transient_0_ms,delay_AC_local_downstream_0_ms,delay_AC_transient_downstream_0_ms
67#4,PC_OFF,0.00840990524739027,0.7517321109771729,0.7923270463943481,0.5002220869064331,0.4997778832912445,0.08707191795110703,0.08003897964954376,0.6011158227920532,0.231773242354393,28.483434677124023,27.736614227294922,48.90256118774414,93.09813690185547,9.778108596801758,11.228095054626465,17.10363006591797,25.180152893066406,17.315458297729492,3.968573570251465,15.362778663635254,12.15939998626709,8.811447143554688,5.782972812652588
67#6,MC_OFF,0.15029537677764893,0.801532506942749,0.8618729114532471,0.093227818608284,0.906772255897522,0.0634240135550499,0.06505203247070312,0.500871479511261,0.3706524670124054,13.610454559326172,27.00485610961914,63.458560943603516,164.02774047851562,6.13180685043335,6.828492641448975,9.643791198730469,25.710908889770508,15.521209716796875,19.700210571289062,16.794132232666016,15.217828750610352,16.278934478759766,14.151437759399414
67#7,MC_ON,0.07437346875667572,0.7796017527580261,1.2307051420211792,0.19325560331344604,0.806744396686554,0.0614304319024086,0.06081292778253555,0.5072696208953857,0.3704870939254761,16.936798095703125,23.86925506591797,65.701904296875,115.07254028320312,6.990528106689453,7.599343299865723,8.435609817504883,25.957061767578125,15.93342113494873,17.31264877319336,14.69379997253418,12.428380012512207,16.80042839050293,14.174872398376465
67#14,PC_ON,0.020809059962630272,0.768775224685669,1.1847516298294067,0.3406708836555481,0.6593291163444519,0.11378902196884155,0.10276410728693008,0.48742106556892395,0.29602572321891785,14.508285522460938,26.16204071044922,35.23263168334961,102.34207153320312,7.685501575469971,8.418302536010742,10.293526649475098,30.73708724975586,16.627443313598633,13.439188003540039,15.385842323303223,13.785748481750488,17.802433013916016,14.802691459655762
67#21,PC_ON,0.027682015672326088,0.5895797610282898,0.9270094037055969,0.4269276559352875,0.5730723738670349,0.12645916640758514,0.1073693260550499,0.5915120840072632,0.1746593862771988,27.759937286376953,22.213607788085938,79.66461944580078,124.44213104248047,8.096545219421387,10.246637344360352,10.48426628112793,23.646190643310547,18.011693954467773,18.10523223876953,21.26651954650879,17.570205688476562,11.428585052490234,9.098211288452148
67#26,PC_ON,0.02885357476770878,0.6340694427490234,0.7888314723968506,0.20520611107349396,0.7947939038276672,0.10571863502264023,0.1017596647143364,0.5895883440971375,0.20293337106704712,25.366680145263672,24.06383514404297,73.5635986328125,129.16587829589844,7.237330913543701,7.950093746185303,9.102519989013672,24.048715591430664,16.301860809326172,14.892472267150879,18.480188369750977,15.333972930908203,9.866994857788086,7.441781997680664
67#33,MC_OFF,0.058703500777482986,1.100884199142456,0.9954627156257629,0.2608717978000641,0.7391281723976135,0.010825248435139656,0.0109625943005085,0.8001402020454407,0.17807196080684662,13.107316970825195,24.81424903869629,28.967191696166992,29.343368530273438,6.257748603820801,6.267142295837402,11.256004333496094,25.43185806274414,15.969792366027832,19.43451690673828,16.12383270263672,15.084779739379883,21.335540771484375,19.632457733154297
67#34,PC_ON,0.015335366129875183,0.6667370796203613,1.0159797668457031,0.3204517960548401,0.6795482039451599,0.09164442121982574,0.08914215117692947,0.6127114295959473,0.20650207996368408,16.162506103515625,25.693965911865234,58.89704513549805,128.78338623046875,6.920104026794434,7.396779537200928,8.344155311584473,41.34388732910156,16.19297981262207,18.2902774810791,19.84073257446289,17.378332138061523,19.51215171813965,16.81682014465332
68#3,MC_OFF,0.049362119287252426,0.7373396754264832,1.0482233762741089,0.25944069027900696,0.7405593395233154,0.07967641949653625,0.0791623666882515,0.44537585973739624,0.395785391330719,18.612823486328125,25.175060272216797,30.32904815673828,116.730712890625,7.58112907409668,8.766866683959961,11.4541597366333,25.977142333984375,16.20184326171875,18.37261962890625,14.59148120880127,13.294294357299805,16.306861877441406,14.202930450439453
68#4,PC_ON,0.024940356612205505,0.5642457008361816,2.139089345932007,0.028754781931638718,0.9712452292442322,0.26656126976013184,0.26439401507377625,0.3506124019622803,0.11843222379684448,58.48743438720703,64.91389465332031,98.89967346191406,143.57968139648438,6.138451099395752,8.06850814819336,32.74657440185547,28.545270919799805,15.510220527648926,6.442266464233398,16.520692825317383,1.2992514371871948,5.721333980560303,1.8541101217269897
68#7,PC_ON,0.015117260627448559,0.7019742727279663,1.122170329093933,0.3955119252204895,0.6044880747795105,0.15286415815353394,0.14942887425422668,0.39859747886657715,0.2991095781326294,29.798465728759766,25.800981521606445,50.43613815307617,101.62884521484375,11.295412063598633,13.795228004455566,17.18842315673828,27.778770446777344,17.56581687927246,4.640273094177246,16.446727752685547,12.529642105102539,11.780376434326172,7.887701511383057
68#10,MC_ON,0.01724046841263771,0.6848506331443787,1.149969458580017,0.2634798288345337,0.7365201711654663,0.1368577629327774,0.1381707787513733,0.36351022124290466,0.3614611029624939,29.96993064880371,22.487417221069336,69.40913391113281,111.88381958007812,11.50864028930664,12.84541130065918,12.461732864379883,26.8726863861084,16.76356315612793,6.9916205406188965,20.68517303466797,17.128202438354492,7.675368309020996,4.580565929412842
68#11,PC_OFF,0.011239921674132347,1.0163475275039673,1.0190064907073975,0.5925321578979492,0.4074678421020508,0.03812381997704506,0.03451250493526459,0.5935726165771484,0.333791047334671,43.11347961425781,25.0201473236084,31.513702392578125,36.146514892578125,10.945655822753906,11.001306533813477,12.4555082321167,27.664344787597656,21.544666290283203,13.3020601272583,12.540103912353516,10.692314147949219,17.716371536254883,14.822657585144043
69#3,PC_OFF,0.1784132570028305,0.7587350606918335,1.1093156337738037,0.5877997875213623,0.41220027208328247,0.031354162842035294,0.022022828459739685,0.7934878468513489,0.15313516557216644,10.504631042480469,24.16515350341797,29.32465171813965,29.215044021606445,10.178128242492676,10.25417709350586,12.172454833984375,27.35675048828125,21.492666244506836,0.21652476489543915,18.532690048217773,17.00440216064453,18.184406280517578,15.911083221435547
69#4,MC_ON,0.025250041857361794,0.7273563742637634,1.352407693862915,0.2659921646118164,0.7340077757835388,0.07858140766620636,0.07855397462844849,0.4386850893497467,0.40417951345443726,35.57514572143555,23.66720962524414,55.743797302246094,102.4028091430664,8.846705436706543,10.13648796081543,10.827350616455078,26.335575103759766,17.05682373046875,15.55972671508789,11.613821983337402,8.257568359375,16.569839477539062,13.644556999206543
69#6,MC_OFF,0.13874423503875732,0.7053185701370239,0.942418098449707,0.1266629993915558,0.8733370304107666,0.08079379796981812,0.08092112839221954,0.5075610280036926,0.33072400093078613,13.023571014404297,25.468280792236328,41.99823760986328,148.71047973632812,6.670897483825684,7.484335899353027,8.685797691345215,24.746557235717773,15.656292915344238,18.78749656677246,18.41114044189453,17.05732536315918,16.310232162475586,14.316389083862305
69#7,MC_ON,0.09010124951601028,0.7297829985618591,1.201694369316101,0.1650972068309784,0.8349027633666992,0.07926584035158157,0.07832452654838562,0.4587630331516266,0.3836466372013092,18.535198211669922,24.539447784423828,81.11639404296875,119.68317413330078,6.987890243530273,7.6434431076049805,8.55417537689209,26.030956268310547,15.785655975341797,15.28624153137207,15.675103187561035,12.56837272644043,16.03795051574707,13.297011375427246
69#21,PC_OFF,0.014004620723426342,0.5585870146751404,0.7671469449996948,0.43052980303764343,0.5694701671600342,0.11086723208427429,0.10410302877426147,0.5966508388519287,0.18837904930114746,34.133460998535156,24.294734954833984,31.0469913482666,80.65323638916016,7.3476667404174805,13.013547897338867,16.372875213623047,23.611339569091797,16.95391845703125,3.178016185760498,16.428863525390625,10.877281188964844,5.571681499481201,3.1482033729553223
70#1,PC_ON,0.028718838468194008,0.5057801008224487,0.8991384506225586,0.10451599210500717,0.8954840302467346,0.1777375489473343,0.17761793732643127,0.515076756477356,0.12956781685352325,53.62296676635742,23.09359359741211,75.81587219238281,119.31011962890625,9.88066291809082,13.298150062561035,13.637645721435547,23.789804458618164,15.997605323791504,1.9901459217071533,20.922096252441406,14.635896682739258,4.471296310424805,1.7663754224777222
70#7,PC_ON,0.05040350183844566,0.7129973769187927,0.9832143187522888,0.2389565110206604,0.7610434889793396,0.08300668001174927,0.08071573078632355,0.5103796720504761,0.32589805126190186,18.559219360351562,23.507410049438477,58.09981155395508,116.5047607421875,9.22439193725586,9.550943374633789,9.993810653686523,24.908109664916992,16.141542434692383,18.471105575561523,20.593381881713867,18.1053466796875,11.173773765563965,8.49790096282959
70#15,PC_ON,0.018569421023130417,0.672248899936676,1.2167574167251587,0.34590354561805725,0.6540964841842651,0.19227361679077148,0.1858816146850586,0.32414814829826355,0.297696590423584,31.84308624267578,26.68892478942871,72.54979705810547,110.96302795410156,8.48184585571289,14.05854320526123,20.510478973388672,26.940780639648438,16.913530349731445,3.0584490299224854,16.049598693847656,10.541677474975586,8.72066879272461,4.447929382324219
70#34,MC_ON,0.04394352436065674,0.70697021484375,1.1793193817138672,0.23489892482757568,0.7651010751724243,0.07993242144584656,0.080104298889637,0.4422922134399414,0.397671103477478,19.490009307861328,23.86102867126465,71.34518432617188,115.76116180419922,8.023804664611816,8.653714179992676,9.400819778442383,26.0614013671875,16.197938919067383,17.373424530029297,17.797584533691406,15.019074440002441,16.060876846313477,13.488234519958496
