group,cells,raw_validation_nll,current_validation_nll,previous_validation_nll,current_best_step,previous_best_step,current_stopping_step,previous_stopping_step,current_H1_rf_norm,previous_H1_rf_norm,current_H1_off_mean_abs_logit,previous_H1_off_mean_abs_logit,current_H1_off_mean_abs_probability,previous_H1_off_mean_abs_probability,current_direct_BC_rf_norm,previous_direct_BC_rf_norm,current_direct_BC_off_mean_abs_logit,previous_direct_BC_off_mean_abs_logit,current_direct_BC_off_mean_abs_probability,previous_direct_BC_off_mean_abs_probability,current_AC_rf_norm,previous_AC_rf_norm,current_AC_off_mean_abs_logit,previous_AC_off_mean_abs_logit,current_AC_off_mean_abs_probability,previous_AC_off_mean_abs_probability,delta_validation_nll,delta_best_step,delta_stopping_step,delta_H1_rf_norm,delta_H1_off_mean_abs_logit,delta_H1_off_mean_abs_probability,delta_direct_BC_rf_norm,delta_direct_BC_off_mean_abs_logit,delta_direct_BC_off_mean_abs_probability,delta_AC_rf_norm,delta_AC_off_mean_abs_logit,delta_AC_off_mean_abs_probability
ALL,22,0.7390380149537866,0.43895614553581586,0.440025039694526,263.0,373.27272727272725,463.0,567.6818181818181,0.0022178201052795157,0.006099972864051179,0.027476065634369506,0.07393528146370923,0.0034365453901070656,0.008660535798854108,0.23554223152436543,0.28272167490294764,1.270634899549025,1.4317894862779292,0.15095331594460312,0.17022279109034485,0.10726915958409985,0.13094397329267482,1.0450351509478744,1.173514880252865,0.1403438179993563,0.14614168412708,-0.0010688941587101328,-110.27272727272727,-104.68181818181819,-0.003882152758771664,-0.04645921582933972,-0.005223990408747043,-0.04717944337858218,-0.16115458672890418,-0.01926947514574172,-0.02367481370857496,-0.12847972930499055,-0.0057978661277237045
MC_ON,5,0.779708731174469,0.42850675582885744,0.4316029667854309,199.6,259.4,399.6,459.4,0.0018888103657967808,0.007723881388368719,0.02419951456785202,0.0947754147251447,0.0027941741048685105,0.010119690496421365,0.19881998356368316,0.24831079890721686,1.2627546713948248,1.3916138878067335,0.13636390296605272,0.14835662470825522,0.12573143155437352,0.13694830881763384,1.3228063695033392,1.37922475117445,0.18489058136567474,0.18009511008379714,-0.0030962109565734865,-59.8,-59.8,-0.005835071022571939,-0.07057590015729268,-0.0073255163915528524,-0.04949081534353372,-0.12885921641190845,-0.011992721742202525,-0.011216877263260313,-0.056418381671110795,0.004795471281877584
MC_OFF,4,0.788107618689537,0.44166988134384155,0.44306059926748276,344.5,450.5,544.5,650.5,0.005076964302594874,0.010709488128952675,0.05670379389077425,0.12015948788573344,0.008119039632345944,0.01716988062968392,0.2256499856391906,0.25561357293742787,1.264317272764941,1.3399714875842135,0.17374647561749001,0.18882899304386228,0.10080529957960518,0.10809713720147898,0.9580555058643222,1.0079210032522679,0.11574427488665284,0.11579557570577559,-0.0013907179236412048,-106.0,-106.0,-0.0056325238263578,-0.06345569399495919,-0.009050840997337975,-0.02996358729823729,-0.07565421481927243,-0.015082517426372274,-0.007291837621873798,-0.049865497387945656,-5.130081912273904e-05
PC_ON,9,0.7326058679156833,0.4278312855296665,0.42648208141326904,254.88888888888889,428.6666666666667,454.8888888888889,615.0,0.0006653636977872961,0.004514117526291699,0.00910073899350259,0.05757585297816645,0.0010872146181273024,0.005850077990458915,0.2301215180240271,0.27624114596628363,1.18976189014221,1.3087643075005089,0.12117471371571326,0.13004584842611566,0.11319280781093997,0.14247836434741754,1.0706302203800417,1.1683405625583634,0.15585810558633909,0.16099242090567867,0.001349204116397434,-173.77777777777777,-160.11111111111111,-0.0038487538285044026,-0.04847511398466386,-0.004762863372331613,-0.046119627942256554,-0.11900241735829883,-0.008871134710402425,-0.02928555653647755,-0.0977103421783216,-0.0051343153193395925
PC_OFF,4,0.653602346777916,0.47433508187532425,0.47798872739076614,279.0,313.75,479.0,513.75,0.003262964999175069,0.0030287464537115906,0.04368851115306219,0.038469622557361915,0.00484300949137085,0.004650777664954418,0.3035338927361545,0.3674245619706248,1.4687670826911927,1.8506336353098352,0.21339877750990646,0.269347418108955,0.07732697111536214,0.12033301010450073,0.7272118666147193,1.0936136334141096,0.07435275983345048,0.10063185235064101,-0.0036536455154418945,-34.75,-34.75,0.00023421854546347833,0.0052188885957002665,0.00019223182641643185,-0.0638906692344703,-0.38186655261864255,-0.05594864059904856,-0.04300603898913857,-0.3664017667993903,-0.02627909251719053
