combination_id,69#4,67#6,68#4,67#4,Mach dark_normal,Mach dark_AC_off,Mach dark_reversed,Mach bright_normal,Mach bright_AC_off,Mach bright_reversed,SBC_normal,SBC_AC_off,SBC_reversed,Hermann_normal,Hermann_AC_off,Hermann_reversed,White_normal,White_AC_off,White_reversed
C01,primary,primary,primary,primary,-0.0037158323056770094,0.0026779384324044893,True,0.0037158350149790447,-0.002677935000621911,True,-0.03890332001628298,0.00305592038414695,True,-0.0199128710862362,0.0010529100894927977,True,0.01944584720062487,-0.0015421202688506155,True
C02,primary,primary,primary,fresh_1,-0.0037164657404928497,0.002654508569023826,True,0.003716468088554614,-0.002654504595380841,True,-0.03869755665461223,0.00305366443865227,True,-0.019810204433672356,0.001052116805856878,True,0.01934295730157332,-0.0015409646612225157,True
C03,primary,primary,primary,fresh_2,-0.0037936508655548097,0.00268433437202916,True,0.0037936528523763026,-0.0026843307596264463,True,-0.03946867512934136,0.0030274687391338927,True,-0.020192886121345288,0.001043019692103068,True,0.01972911592685815,-0.0015276392300923663,True
C04,primary,primary,fresh_1,primary,-0.00366082408211448,0.0026804891499606046,True,0.003660826791416515,-0.002680485718178027,True,-0.03893003590179212,0.003054981159441399,True,-0.019925316897305576,0.001052587501930468,True,0.01945929906585,-0.0015416484890562116,True
C05,primary,primary,fresh_1,fresh_1,-0.0036614575169303205,0.0026570592865799414,True,0.0036614598649920838,-0.0026570553129369565,True,-0.03872427254012137,0.003052725213946718,True,-0.019822650244741728,0.0010517942182945482,True,0.019356409166798448,-0.0015404928814281118,True
C06,primary,primary,fresh_1,fresh_2,-0.0037386426419922804,0.0026868850895852754,True,0.0037386446288137725,-0.0026868814771825616,True,-0.0394953910148505,0.0030265295144283407,True,-0.020205331932414663,0.001042697104540738,True,0.01974256779208328,-0.0015271674502979624,True
C07,primary,primary,fresh_2,primary,-0.0036708188779426346,0.0026977484876459295,True,0.003670821948484941,-0.002697745055863352,True,-0.03921816475463636,0.0030621640609972407,True,-0.02006722002318411,0.0010550970380956476,True,0.019603082808581265,-0.0015453085754856919,True
C08,primary,primary,fresh_2,fresh_1,-0.003671452312758475,0.002674318624265266,True,0.00367145502206051,-0.0026743146506222814,True,-0.03901240139296561,0.0030599081155025594,True,-0.019964553370620267,0.0010543037544597277,True,0.019500192909529715,-0.001544152967857592,True
C09,primary,primary,fresh_2,fresh_2,-0.003748637437820435,0.0027041444272706003,True,0.003748639785882198,-0.0027041408148678866,True,-0.03978351986769474,0.003033712415984183,True,-0.0203472350582932,0.0010452066407059177,True,0.019886351534814547,-0.0015308275367274429,True
C10,primary,fresh_1,primary,primary,-0.0036764038331580885,0.0025747752550876503,True,0.003676406361839988,-0.002574772003925208,True,-0.038265423883091315,0.002550750428980047,True,-0.019543036186333858,0.0008807202180226643,True,0.019132064508669305,-0.0012901233904289476,True
