cell_id,group,fit,seed,signature,pair_name,control,pair_a,pair_b,normal_paired_logit,AC_off_paired_logit,normal_A,normal_B,AC_off_A,AC_off_B,normal_sign,AC_off_sign,AC_off_reverses_normal,normal_mean_on,normal_peak_signed,normal_peak_absolute,normal_peak_latency_from_onset_ms,normal_integral_response_seconds,normal_onset_50ms_mean,normal_offset_50ms_mean,AC_off_mean_on,AC_off_peak_signed,AC_off_peak_absolute,AC_off_peak_latency_from_onset_ms,AC_off_integral_response_seconds,AC_off_onset_50ms_mean,AC_off_offset_50ms_mean
68#4,PC ON,primary,20260837,White,on_bright_bar_minus_on_dark_bar,False,58,59,0.07469642907381058,0.0010789871448650956,-1.56632661819458,-1.6410231590270996,-1.6031354665756226,-1.6042143106460571,1,1,False,0.07469642907381058,0.11372041702270508,0.11372041702270508,100.0,0.011831838289896649,0.04691952466964722,0.06947475671768188,0.0010789871448650956,0.0038521289825439453,0.0038521289825439453,133.33331298828125,0.00061798890431722,0.0003559589385986328,0.0036327242851257324
68#4,PC ON,primary,20260837,control_on_bright_bar_minus_on_dark_bar,control_on_bright_bar_minus_on_dark_bar,True,60,61,0.0,0.0,-1.603675127029419,-1.603675127029419,-1.603675127029419,-1.603675127029419,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,primary,20260837,remote_contour_rearrangement_control_A_minus_B,remote_contour_rearrangement_control_A_minus_B,True,65,66,0.0,0.0,-1.603675127029419,-1.603675127029419,-1.603675127029419,-1.603675127029419,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,primary,20260837,contour_rearrangement_control_A_minus_B,contour_rearrangement_control_A_minus_B,True,69,70,0.0,0.0,-1.6777411699295044,-1.6777411699295044,-1.4461618661880493,-1.4461618661880493,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_1,20360837,Mach dark,ramp_minus_matched_uniform_x-04,False,8,33,-0.019415641203522682,0.006885353941470385,-1.4554495811462402,-1.436034083366394,-1.713657259941101,-1.720542311668396,-1,1,True,-0.019415641203522682,-0.027792930603027344,0.027792930603027344,66.66665649414062,-0.0026601998011271163,-0.012608766555786133,-0.013462856411933899,0.006885353941470385,0.013909101486206055,0.013909101486206055,100.0,0.0013382474581400555,0.004011660814285278,0.009946435689926147
68#4,PC ON,fresh_1,20360837,Mach bright,ramp_minus_matched_uniform_x+04,False,16,41,0.019415641203522682,-0.006885353941470385,-1.672149896621704,-1.6915653944015503,-1.4139423370361328,-1.4070570468902588,1,-1,True,0.019415641203522682,0.027792930603027344,0.027792930603027344,66.66665649414062,0.0026601998011271163,0.012608766555786133,0.013462856411933899,-0.006885353941470385,-0.013909101486206055,0.013909101486206055,100.0,-0.0013382474581400555,-0.004011660814285278,-0.009946435689926147
68#4,PC ON,fresh_1,20360837,SBC,bright_surround_minus_dark_surround,False,50,51,-0.14973750710487366,-0.0021397273521870375,-1.638668417930603,-1.4889309406280518,-1.5648696422576904,-1.5627297163009644,-1,-1,False,-0.14973750710487366,-0.22839856147766113,0.22839856147766113,100.0,-0.023730494181315107,-0.09372454881668091,-0.13988417387008667,-0.0021397273521870375,-0.007714986801147461,0.007714986801147461,133.33331298828125,-0.0012097803751627606,-0.0006849169731140137,-0.0072637200355529785
68#4,PC ON,fresh_1,20360837,control_bright_surround_minus_dark_surround,control_bright_surround_minus_dark_surround,True,52,53,0.0,0.0,-1.563799500465393,-1.563799500465393,-1.563799500465393,-1.563799500465393,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_1,20360837,Hermann,intersection_minus_corridor,False,54,55,-0.07519282400608063,-0.0007456699968315661,-1.6923331022262573,-1.6171401739120483,-1.40641450881958,-1.40566885471344,-1,-1,False,-0.07519282400608063,-0.11507248878479004,0.11507248878479004,100.0,-0.011961687405904135,-0.04693800210952759,-0.07078196108341217,-0.0007456699968315661,-0.0026845932006835938,0.0026845932006835938,133.33331298828125,-0.00042151848475138347,-0.00023902952671051025,-0.0025274455547332764
68#4,PC ON,fresh_1,20360837,control_intersection_minus_corridor,control_intersection_minus_corridor,True,56,57,0.0,0.0,-1.6171436309814453,-1.6171436309814453,-1.4056684970855713,-1.4056684970855713,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
