cell_id,group,probe,mode,channel,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
67#4,PC_OFF,slow_step,normal,logit,0.632400631904602,0.632400631904602,1520.0,1220.0,0.8633154630661011,0.17903292179107666,-0.0007055401802062988,0.11550827324390411,0.46929407119750977,0.11550827324390411,0.279296875,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_1Hz,normal,logit,0.6324008703231812,0.6324008703231812,1020.0,720.0,0.8634005188941956,0.17903316020965576,-0.0006204843521118164,0.11550827324390411,0.4693073630332947,0.11550827324390411,0.2792997658252716,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_2Hz,normal,logit,0.6324055194854736,0.6324055194854736,766.6666666666667,466.66666666666674,0.8635691404342651,0.17903780937194824,-0.00045186281204223633,0.11550827324390411,0.4695778787136078,0.11550827324390411,0.27585849165916443,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_10Hz,normal,logit,0.49909675121307373,0.49909675121307373,420.0,120.0,0.8640249967575073,0.04572904109954834,3.993511199951172e-06,0.11550827324390411,0.3538569509983063,0.11550827324390411,0.30438032746315,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_20Hz,normal,logit,0.45325803756713867,0.45325803756713867,420.0,120.0,0.8640275001525879,-0.00010967254638671875,6.496906280517578e-06,0.11933731287717819,0.3127273917198181,0.11933731287717819,0.2763162851333618,0.0,0.0,0.0,0.0
67#4,PC_OFF,transient_50ms,normal,logit,0.5572232007980347,0.5572232007980347,1373.3333333333335,1073.3333333333335,0.8639914393424988,0.10385549068450928,-2.956390380859375e-05,0.11550827324390411,0.29293274879455566,0.11550827324390411,0.2820865511894226,0.0,0.0,0.0,0.0
67#4,PC_OFF,large_field_50ms,normal,logit,0.24896693229675293,0.24896693229675293,353.33333333333337,53.33333333333337,-7.947286162490741e-10,-0.0970621109008789,-7.947286162490741e-10,0.11532112956047058,0.1443958580493927,0.11532112956047058,0.1443958580493927,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_step,normal,probability,0.13992154598236084,0.13992154598236084,1520.0,1220.0,0.18711033463478088,0.04242047667503357,0.0021239370107650757,0.023607000708580017,0.10180587321519852,0.023607000708580017,0.05826231464743614,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_1Hz,normal,probability,0.139921635389328,0.139921635389328,1020.0,720.0,0.18696463108062744,0.04242056608200073,0.0019782334566116333,0.023607000708580017,0.10180899500846863,0.023607000708580017,0.05826293304562569,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_2Hz,normal,probability,0.13992273807525635,0.13992273807525635,766.6666666666667,466.66666666666674,0.18666771054267883,0.04242166876792908,0.001681312918663025,0.023607000708580017,0.10187214612960815,0.023607000708580017,0.057483576238155365,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_10Hz,normal,probability,0.10816773772239685,0.10816773772239685,420.0,120.0,0.18503615260124207,0.01066666841506958,4.9754977226257324e-05,0.023607000708580017,0.07505300641059875,0.023607000708580017,0.06379089504480362,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_20Hz,normal,probability,0.09747564792633057,0.09747564792633057,420.0,120.0,0.1849520057439804,-2.54213809967041e-05,-3.439188003540039e-05,0.02443734183907509,0.0659060925245285,0.02443734183907509,0.05774889141321182,0.0,0.0,0.0,0.0
67#4,PC_OFF,transient_50ms,normal,probability,0.1219005286693573,0.1219005286693573,1373.3333333333335,1073.3333333333335,0.18506301939487457,0.02439945936203003,7.662177085876465e-05,0.023607000708580017,0.061668869107961655,0.023607000708580017,0.05880505591630936,0.0,0.0,0.0,0.0
67#4,PC_OFF,large_field_50ms,normal,probability,0.051533639430999756,0.051533639430999756,353.33333333333337,53.33333333333337,0.0002225342468591407,-0.021457523107528687,-0.00026386351964902133,0.023566994816064835,0.029505060985684395,0.023566994816064835,0.029505060985684395,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_step,H1_off,logit,0.6319094300270081,0.6319094300270081,1520.0,1220.0,0.8640890717506409,0.17815881967544556,-0.0006989240646362305,0.1157231554389,0.4688989818096161,0.1157231554389,0.2802494764328003,0.0008463698904961348,0.0013254284858703613,0.0013254284858703613,0.0007735303952358663
67#4,PC_OFF,slow_1Hz,H1_off,logit,0.6319096684455872,0.6319096684455872,1020.0,720.0,0.8641732931137085,0.17815905809402466,-0.0006147027015686035,0.1157231554389,0.46891218423843384,0.1157231554389,0.2802523970603943,0.0008282496710307896,0.0013568997383117676,0.0013568997383117676,0.000772872765082866
67#4,PC_OFF,slow_2Hz,H1_off,logit,0.6319131851196289,0.6319131851196289,766.6666666666667,466.66666666666674,0.8643406629562378,0.1781625747680664,-0.00044733285903930664,0.1157231554389,0.46917998790740967,0.1157231554389,0.27683231234550476,0.000790863239672035,0.0013566017150878906,0.0013566017150878906,0.0007715674582868814
67#4,PC_OFF,rapid_10Hz,H1_off,logit,0.4991365671157837,0.4991365671157837,420.0,120.0,0.864791989326477,0.04538595676422119,3.993511199951172e-06,0.1157231554389,0.3538370728492737,0.1157231554389,0.3051159083843231,0.0003873386012855917,0.0008922219276428223,0.0008922219276428223,0.0007671423954889178
67#4,PC_OFF,rapid_20Hz,H1_off,logit,0.45356619358062744,0.45356619358062744,420.0,120.0,0.8647945523262024,-0.0001844167709350586,6.556510925292969e-06,0.11952626705169678,0.31292667984962463,0.11952626705169678,0.27667251229286194,0.00037930309190414846,0.0005209445953369141,0.0005209445953369141,0.0007670704508200288
67#4,PC_OFF,transient_50ms,H1_off,logit,0.5569769144058228,0.5569769144058228,1373.3333333333335,1073.3333333333335,0.8647585511207581,0.10322630405426025,-2.944469451904297e-05,0.1157231554389,0.293252557516098,0.1157231554389,0.2829627990722656,0.0003829155466519296,0.0009475350379943848,0.0009475350379943848,0.0007672461215406656
67#4,PC_OFF,large_field_50ms,H1_off,logit,0.2503558397293091,0.2503558397293091,353.33333333333337,53.33333333333337,-1.19209286886246e-09,-0.09593164920806885,0.0,0.1157231554389,0.14585590362548828,0.1157231554389,0.14585590362548828,0.00012247303675394505,0.001656651496887207,0.001656651496887207,-3.9736430812453705e-10
67#4,PC_OFF,slow_step,H1_off,probability,0.1398029327392578,0.1398029327392578,1520.0,1220.0,0.1872660368680954,0.0422130823135376,0.0021031200885772705,0.02365295961499214,0.10171347856521606,0.02365295961499214,0.05847034230828285,0.00018867304606828839,0.000288158655166626,0.000288158655166626,0.00015569807146675885
67#4,PC_OFF,slow_1Hz,H1_off,probability,0.1398029923439026,0.1398029923439026,1020.0,720.0,0.18712139129638672,0.04221314191818237,0.0019584745168685913,0.02365295961499214,0.10171657055616379,0.02365295961499214,0.05847100540995598,0.00018484433530829847,0.00029456615447998047,0.00029456615447998047,0.00015676776820328087
67#4,PC_OFF,slow_2Hz,H1_off,probability,0.13980385661125183,0.13980385661125183,766.6666666666667,466.66666666666674,0.1868266463279724,0.042214006185531616,0.0016637295484542847,0.02365295961499214,0.10177907347679138,0.02365295961499214,0.05769630894064903,0.00017692416440695524,0.0002945363521575928,0.0002945363521575928,0.00015894611715339124
67#4,PC_OFF,rapid_10Hz,H1_off,probability,0.1081770658493042,0.1081770658493042,420.0,120.0,0.1852114498615265,0.010587215423583984,4.8533082008361816e-05,0.02365295961499214,0.07504928857088089,0.02365295961499214,0.06395337730646133,8.840739610604942e-05,0.00019529461860656738,0.00019529461860656738,0.00017529209435451776
67#4,PC_OFF,rapid_20Hz,H1_off,probability,0.09754711389541626,0.09754711389541626,420.0,120.0,0.1851285845041275,-4.273653030395508e-05,-3.4332275390625e-05,0.02447783201932907,0.06595149636268616,0.02447783201932907,0.05782715976238251,8.728513785172254e-05,0.0001195073127746582,0.0001195073127746582,0.0001765652559697628
67#4,PC_OFF,transient_50ms,H1_off,probability,0.12184196710586548,0.12184196710586548,1373.3333333333335,1073.3333333333335,0.18523892760276794,0.024252116680145264,7.60108232498169e-05,0.02365295961499214,0.061739884316921234,0.02365295961499214,0.058997783809900284,8.795023313723505e-05,0.0002078413963317871,0.0002078413963317871,0.00017590582137927413
67#4,PC_OFF,large_field_50ms,H1_off,probability,0.05183565616607666,0.05183565616607666,353.33333333333337,53.33333333333337,0.0002252127742394805,-0.021213561296463013,-0.0002619536826387048,0.02365295961499214,0.029810462146997452,0.02365295961499214,0.029810462146997452,2.3965885702637024e-05,0.0003528892993927002,0.0003528892993927002,2.6785335194290383e-06
67#4,PC_OFF,slow_step,AC_off,logit,0.6851817965507507,0.6851817965507507,1573.3333333333335,1273.3333333333335,1.366078495979309,-0.0012464523315429688,5.960464477539062e-07,0.1700104922056198,0.5159576535224915,0.1700104922056198,0.6810733675956726,0.2497263103723526,0.45000314712524414,0.45000314712524414,0.5027630925178528
