group,cells,sc_adapted_nll,matched_w0_nll,center_surround_ln_nll,canonical_v1_nll
overall,22,0.4582921996555244,0.46135948425122136,0.42599794404073194,0.43895614553581586
MC_ON,5,0.4222900218422973,0.4261303832062563,0.39589425921440125,0.42850675582885744
MC_OFF,4,0.5035378525540682,0.504707001564828,0.43033915013074875,0.44166988134384155
PC_ON,9,0.42866906888224565,0.43281038973786257,0.4187415275308821,0.4278312855296665
PC_OFF,4,0.5247013132633918,0.5262838058988786,0.4756132811307907,0.47433508187532425
