cell_id,pathway,normal_nll,raw_off_nll,recalibrated_nll,frozen_bias,frozen_bias_hex,scored_bins,provenance,fitting_performed
69#4,direct-BC,0.42601643226000185,0.6965949331602675,0.6983752370905401,0.5281809738331692,0x1.0e6dbc91f73ddp-1,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#4,AC,0.42601643226000185,0.8008958214807232,0.7095600461719588,-1.9807057079782493,-0x1.fb0f877ec4612p+0,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#6,direct-BC,0.43302764667205157,0.7458207462250659,0.6879744256382037,-1.357025306711563,-0x1.5b6602b02ba80p+0,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#6,AC,0.43302764667205157,0.5645709306808812,0.5674165002129226,0.5270312886267642,0x1.0dd70b893dcafp-1,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#7,direct-BC,0.46393221926929745,0.6611928738117664,0.671811110763876,0.5893603547040094,0x1.2dc0a3f2067e0p-1,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#7,AC,0.46393221926929745,0.7824072530023254,0.7131619197964217,-1.382345572268156,-0x1.61e16640a981ap+0,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#21,direct-BC,0.477598931025313,0.7190148094822283,0.680353413929174,-0.9496489884754244,-0x1.e63864685ce44p-1,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
69#21,AC,0.477598931025313,0.5154387766667117,0.5177858017325843,0.1702303742127309,0x1.5ca1be103c758p-3,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#1,direct-BC,0.5214215947786135,0.6304026752688148,0.6082356084309708,0.5007390214859002,0x1.0060dd7239d8ep-1,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#1,AC,0.5214215947786135,0.6836539627667831,0.6542291197568325,-0.8169088543197798,-0x1.a241e09a3b896p-1,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#7,direct-BC,0.4701496124410452,0.759993041597865,0.7581139096421344,0.776028285272653,0x1.8d53945408b4ap-1,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#7,AC,0.4701496124410452,0.6329397272540244,0.5901835662155513,-1.1426444956683688,-0x1.24845983d99d6p+0,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#15,direct-BC,0.43049410368046764,0.6533362992740717,0.6249798014453756,0.7476219759611049,0x1.7ec84ec10c354p-1,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#15,AC,0.43049410368046764,0.6142132503608478,0.5832146157519579,-1.5878777377050013,-0x1.967f27c97d4c6p+0,2880,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#34,direct-BC,0.34866456002726265,0.6277170639434868,0.6329675851244566,0.7178330980972312,0x1.6f87d1e0a0c06p-1,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
70#34,AC,0.34866456002726265,0.6106580687769892,0.5562226469965555,-1.903013958572413,-0x1.e72bec3be6674p+0,3360,NEW_DETERMINISTIC_DERIVED_ARTIFACT,False
