cell_id,group,fitted_bias,train_nll_before,train_nll_after,heldout_nll_before,heldout_nll_after,heldout_delta_nll,train_observed_rate,train_predicted_rate_after,convergence_residual_mean_rate,diagnostic_only
67#4,PC_OFF,-0.042640983777702465,0.454179574731176,0.45404338405183053,0.5017766519111849,0.5018685540730454,9.190216186050204e-05,0.2203125,0.22031249999930944,-6.905587213168474e-13,True
67#6,MC_OFF,-0.04147796179089819,0.43254693306555936,0.432426820436257,0.4408612285864487,0.43974441747386966,-0.0011168111125790525,0.24300595238095238,0.24300595238131747,3.6509684164798273e-13,True
67#7,MC_ON,-0.11576677520498196,0.4376229811300985,0.4366754091642219,0.4273612911875317,0.4238912936956392,-0.0034699974918924736,0.24017857142857144,0.24017857142848176,-8.967826481409702e-14,True
67#14,PC_ON,0.10833256272298797,0.3980024018299871,0.39727529373239123,0.3748958973116121,0.37483061638073023,-6.528093088187248e-05,0.2386904761904762,0.23869047619137482,8.986145161316017e-13,True
67#21,PC_ON,-0.0560451325604751,0.3365226894260901,0.3363719550770693,0.27805796105858127,0.2769060537726977,-0.0011519072858835466,0.14241071428571428,0.1424107142851985,-5.157818616652321e-13,True
67#26,PC_ON,0.02138141773092875,0.5380369990789984,0.5379962829168841,0.49794457252849367,0.49855905959059893,0.0006144870621052623,0.30580357142857145,0.3058035714283443,-2.2715163083830703e-13,True
67#33,MC_OFF,0.017025541294993143,0.3626194881894425,0.3626029125545098,0.3874940097823781,0.38766638557846805,0.0001723757960899741,0.2005952380952381,0.20059523809483357,-4.045375145977914e-13,True
67#34,PC_ON,0.020281298283131084,0.39885794011331505,0.3988328978617572,0.3889506151589035,0.3887598540912509,-0.0001907610676525895,0.20357142857142857,0.2035714285705852,-8.433809206565002e-13,True
68#3,MC_OFF,0.0023495685881787156,0.4608442854128773,0.460843860590465,0.49072156381472604,0.49075428134099486,3.271752626882174e-05,0.3021577380952381,0.3021577380945897,-6.484257575323227e-13,True
68#4,PC_ON,0.04678204868909705,0.3897788816499046,0.3896464023500046,0.4461562384514943,0.44536043009631543,-0.0007958083551788953,0.16267361111111112,0.16267361111032247,-7.886469255424799e-13,True
68#7,PC_ON,0.11805110940975583,0.4109998506236487,0.4100952177064355,0.396651958421581,0.39552771047293717,-0.0011242479486438528,0.22738095238095238,0.2273809523811822,2.298161660974074e-13,True
68#10,MC_ON,-0.03492816235793303,0.38656666769838105,0.3864930520393102,0.373766375814901,0.37309669909212184,-0.0006696767227791778,0.2140625,0.21406249999988364,-1.163513729807164e-13,True
68#11,PC_OFF,-0.02742243991031705,0.32339083482197994,0.32335202836599236,0.40560593034751,0.40584275221337807,0.0002368218658680421,0.1478422619047619,0.14784226190526017,4.982680934517703e-13,True
69#3,PC_OFF,0.02153784275269653,0.5145933158783963,0.5145526195239474,0.5366386341832902,0.5370441501028372,0.00040551591954707256,0.31651785714285713,0.3165178571419031,-9.54014645060397e-13,True
69#4,MC_ON,-0.003973191069647429,0.4248439321615598,0.424842841922149,0.43249978764642305,0.4324468832380841,-5.29044083389385e-05,0.22152777777777777,0.2215277777779317,1.5393242236427795e-13,True
69#6,MC_OFF,-0.0022711170254935973,0.44407368302719524,0.44407331564575786,0.44483512031182315,0.44482375268851654,-1.1367623306612895e-05,0.22299107142857144,0.22299107142917288,6.014355680150629e-13,True
69#7,MC_ON,0.04572340591058131,0.4538311607018336,0.4536797062327156,0.4463059497264599,0.44756949991614564,0.0012635501896857138,0.24553571428571427,0.2455357142860498,3.3553715361733794e-13,True
69#21,PC_OFF,-0.030679656410264773,0.4663319292849036,0.46625959169360676,0.5127022021583733,0.5129481685562525,0.0002459663978792159,0.2263888888888889,0.2263888888893056,4.167222122930525e-13,True
70#1,PC_ON,0.09881467693747632,0.513312356956359,0.5125128379775069,0.4630781238158515,0.4665858722871044,0.003507748471252903,0.23463541666666668,0.23463541666718457,5.178912854120199e-13,True
70#7,PC_ON,0.024762005521406585,0.4947224315462843,0.4946737146759145,0.4592358789885469,0.4596107743971845,0.00037489540863760995,0.26413690476190477,0.2641369047623445,4.397593400540245e-13,True
70#15,PC_ON,0.01203795336927518,0.41750035891068643,0.41749152657356586,0.3818397827516815,0.38189106970231884,5.128695063733035e-05,0.1795138888888889,0.17951388888822706,-6.618317005546714e-13,True
70#34,MC_ON,0.044882799480801136,0.38886104132284255,0.38873877426213055,0.3698519450732531,0.370538593776665,0.0006866487034118962,0.20282738095238095,0.2028273809528053,4.2435499558735046e-13,True
