cell_id,group,condition,fitted_bias,convergence_residual_mean_rate,convergence_residual_total_events,iterations,train_valid_bins,train_observed_rate,train_predicted_rate_before,train_predicted_rate_after,train_nll_before,train_nll_after,bracket_lower,bracket_upper,solver_rate_tolerance,solver_width_tolerance,converged,training_logits_sha256,training_target_sha256,training_mask_sha256,protocol_sha256
67#14,PC_ON,AC,-1.3101656008680758,-6.247224959565756e-13,-8.396270345656376e-09,37,13440,0.2386904761904762,0.37990202740451307,0.23869047618985148,0.6831628084803465,0.5970586213465372,-16.151256880497858,1.9611865666151778,1e-12,1e-12,True,d60f15d6196e8b38a489bf293cbf9809e8aca5d023c8420f1ef2c65dc84a33b2,61eedaf81bac839439bcb13b49a70fa841333c0167a08d6f2ef0797dd5b87371,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#21,PC_ON,normal,-0.0560451325604751,-5.157818616652321e-13,-6.9321082207807194e-09,39,13440,0.14241071428571428,0.14781928550176957,0.1424107142851985,0.3365226894260901,0.3363719550770693,-4.917123936707956,4.003839589064139,1e-12,1e-12,True,67657d38f1fa8d97f1574347959c5e557b501014b7b0c3048e70a08c5ab4af68,5cc802073b21b0d7a91dd40d94099043343543e6713a4adb0434538978dcbe5b,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#21,PC_ON,H1,-0.08490971374653065,-4.82502926502093e-13,-6.48483933218813e-09,36,13440,0.14241071428571428,0.1505648521734324,0.14241071428523178,0.3373701520371639,0.3370268177375266,-4.962477826173288,3.9097920426774206,1e-12,1e-12,True,10d6aaf5e6cd67e85b9fcbb13614e9186b7774413b3f20d35fc13ce45ebd7132,5cc802073b21b0d7a91dd40d94099043343543e6713a4adb0434538978dcbe5b,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#21,PC_ON,direct-BC,0.8710319785742194,6.439848654338221e-13,8.655156591430568e-09,39,13440,0.14241071428571428,0.06923349615138095,0.14241071428635826,0.7332425884546561,0.6983000140885215,-0.48489596753833863,12.849396801893729,1e-12,1e-12,True,0aeb1ac8edfc47a28ce92460f1eb525852a6846a5fcc49d005f524b6e6e3cea5,5cc802073b21b0d7a91dd40d94099043343543e6713a4adb0434538978dcbe5b,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#21,PC_ON,AC,-1.9147314164302713,-9.087175456556906e-14,-1.2213163813612482e-09,36,13440,0.14241071428571428,0.29627241663338966,0.1424107142856234,0.6617430037429304,0.5341500737079558,-14.338992022569162,1.8790298470902624,1e-12,1e-12,True,3778029090ec4374bdb72040fbcaa117db2d159264f58a1a44fa91043680fc66,5cc802073b21b0d7a91dd40d94099043343543e6713a4adb0434538978dcbe5b,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#26,PC_ON,normal,0.02138141773092875,-2.2715163083830703e-13,-3.0529179184668465e-09,40,13440,0.30580357142857145,0.3020001132958625,0.3058035714283443,0.5380369990789984,0.5379962829168841,-5.249840424919224,3.362690283393764,1e-12,1e-12,True,137262fec57e22a14f5a6fdc489041f0cd554fec1b2b628edb2d0c5b14658ce7,d51884964f8911f31604aba745f3c2162b27641b002f5483a0b11ce8b53a9b22,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#26,PC_ON,H1,0.009069800499751457,4.817257703848554e-13,6.474394353972457e-09,38,13440,0.30580357142857145,0.30419400868508434,0.3058035714290532,0.5380326302925319,0.5380253269410814,-5.283827947044468,3.2441838518141743,1e-12,1e-12,True,c6c84167085c5d7ed19596d15f234a2e3b5479e652770e8844ca415136c6011d,d51884964f8911f31604aba745f3c2162b27641b002f5483a0b11ce8b53a9b22,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#26,PC_ON,direct-BC,0.8102096191797632,2.4136248555350903e-13,3.2439118058391614e-09,40,13440,0.30580357142857145,0.17951357499209336,0.3058035714288128,1.0285086210567194,0.9748556964953293,-0.5308539136887556,11.268019510841274,1e-12,1e-12,True,e2b0c3d26e418e9eb0094568f27fa8cd58e071d6ee5035ee14c611911c17dd87,d51884964f8911f31604aba745f3c2162b27641b002f5483a0b11ce8b53a9b22,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#26,PC_ON,AC,-0.9061702385239823,5.966893645847904e-13,8.019505060019583e-09,34,13440,0.30580357142857145,0.43817105374635223,0.30580357142916814,0.761670477394562,0.7041375030374729,-13.392890141868687,1.4566083684920306,1e-12,1e-12,True,d21013a63de692a71445ea67d674aea9d26464119b8dce6f3ddd59ce116e793b,d51884964f8911f31604aba745f3c2162b27641b002f5483a0b11ce8b53a9b22,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#33,MC_OFF,normal,0.017025541294993143,-4.045375145977914e-13,-5.436984196194317e-09,40,13440,0.2005952380952381,0.19865052211578937,0.20059523809483357,0.3626194881894425,0.3626029125545098,-10.20513762286033,17.809674846622094,1e-12,1e-12,True,42c237dfe27c5c1f5c21e97642a54073f8290228ab3223161e489f97f454c64c,064bcd6aa26c4bb5b5c5f321819af51f7ad7b15f24909ecd0ee764417724ca66,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
