group,condition,mode,cells,mean_peak_response_probability,mean_peak_response_logit,mean_peak_latency_ms_probability,mean_peak_latency_ms_logit,mean_response_integral_probability_s,mean_response_integral_logit_s,mean_integral_change_vs_center_only,mean_integral_fraction_vs_center_only,mean_peak_change_vs_center_only,mean_peak_fraction_vs_center_only,mean_center_onset_response,mean_center_offset_response,mean_surround_onset_response,mean_surround_offset_response
MC_OFF,center_only,AC_off,4,0.11877313256263733,0.6048888266086578,400.0,400.0,0.011504760477691889,0.06082156766206026,0.0,0.0,0.0,0.0,0.03631406929343939,0.07827584631741047,,
MC_OFF,center_only,H1_off,4,0.11941941827535629,0.607816144824028,400.0,400.0,0.011581309139728546,0.06120570469647646,0.0,0.0,0.0,0.0,0.03638263093307614,0.07889417000114918,,
MC_OFF,center_only,normal,4,0.11912757158279419,0.6064885705709457,400.0,400.0,0.011555123142898083,0.061081127263605595,0.0,0.0,0.0,0.0,0.036327044013887644,0.0786720160394907,,
MC_OFF,center_surround_simultaneous,AC_off,4,0.11814337968826294,0.6020336449146271,400.0,400.0,0.011430170387029648,0.0604469096288085,-7.459009066224098e-05,-0.0064911769096726675,-0.0006297528743743896,-0.0053128908495473776,0.03624722268432379,0.07767350599169731,0.03624722268432379,0.07767350599169731
MC_OFF,center_surround_simultaneous,H1_off,4,0.035137053579092026,0.19892308115959167,335.0,335.0,0.0008478967574774288,0.004471318010473624,-0.010733412382251117,-0.926667701856889,-0.08428236469626427,-0.7071130556939752,0.021902479231357574,-0.00932734739035368,0.021902479231357574,-0.00932734739035368
MC_OFF,center_surround_simultaneous,normal,4,0.034953828901052475,0.19793075323104858,335.0,335.0,0.0008101466846710537,0.004252586208167486,-0.010744976458227029,-0.9297406724588058,-0.08417374268174171,-0.7078985539105982,0.021801474038511515,-0.009640565607696772,0.021801474038511515,-0.009640565607696772
MC_OFF,center_then_surround_100ms,AC_off,4,0.11877313256263733,0.6048888266086578,400.0,400.0,0.011440436821430922,0.06044522672891617,-6.432365626096725e-05,-0.005588118268914222,0.0,0.0,0.03631406929343939,0.07821194268763065,0.07821194268763065,-0.0006589065305888653
MC_OFF,center_then_surround_100ms,H1_off,4,0.11941941827535629,0.607816144824028,400.0,400.0,0.002734967682044953,0.004470792860956863,-0.008846341457683593,-0.7626291287695588,0.0,0.0,0.03638263093307614,0.06499374564737082,0.06499374564737082,-0.06952651590108871
MC_OFF,center_then_surround_100ms,normal,4,0.11912757158279419,0.6064885705709457,400.0,400.0,0.0026969043829012662,0.004253113933373243,-0.008858218759996817,-0.7653528716803226,0.0,0.0,0.036327044013887644,0.06472938880324364,0.06472938880324364,-0.06961534265428782
MC_OFF,center_then_surround_50ms,AC_off,4,0.11851710826158524,0.6037266850471497,400.0,400.0,0.01143617695197463,0.06044601835310459,-6.858352571725845e-05,-0.005962700311907025,-0.0002560243010520935,-0.0021653641447555915,0.03631406929343939,0.07786949351429939,0.1005754079669714,0.014932371908798814
MC_OFF,center_then_surround_50ms,H1_off,4,0.09392760694026947,0.49106787145137787,366.6666666666667,366.6666666666667,0.0018620681657921523,0.004472227767109871,-0.009719240973936394,-0.8385882481285734,-0.025491811335086823,-0.2141706468915326,0.03638263093307614,0.004718519747257233,0.08640510030090809,-0.05884935799986124
MC_OFF,center_then_surround_50ms,normal,4,0.09367495775222778,0.48987269401550293,366.6666666666667,366.6666666666667,0.0018239306227769703,0.004254178769770078,-0.009731192520121112,-0.841489833107358,-0.025452613830566406,-0.2143457788832006,0.036327044013887644,0.004362466279417276,0.08611149527132511,-0.05897826049476862
MC_OFF,surround_only,AC_off,4,-0.0005351267755031586,-0.0031882822513580322,420.0,420.0,-6.332665907393675e-05,-0.00037683318805648014,-0.011568087136765826,-1.0055006173541194,-0.11930825933814049,-1.0044980686889913,,,-5.617272108793259e-05,-0.0004969444125890732
MC_OFF,surround_only,H1_off,4,-0.07779050804674625,-0.5365550816059113,411.6666666666667,411.6666666666667,-0.008611988625489175,-0.056765069253742695,-0.02019329776521772,-1.74221990336018,-0.19720992632210255,-1.6502053903731584,,,-0.012112907133996487,-0.06946798600256443
MC_OFF,surround_only,normal,4,-0.07792026735842228,-0.5376653075218201,411.6666666666667,411.6666666666667,-0.008623334229923785,-0.05685799475759268,-0.020178457372821867,-1.74485342643675,-0.19704783894121647,-1.6528449682377695,,,-0.012153387535363436,-0.0695683229714632
MC_OFF,surround_then_center_100ms,AC_off,4,0.11858538538217545,0.6040414571762085,400.0,400.0,0.011434264248237014,0.06044593174010515,-7.049622945487499e-05,-0.0061302810529073794,-0.00018774718046188354,-0.0015798220394582269,0.035764056257903576,0.07818007282912731,-5.617458373308182e-05,0.035764056257903576
MC_OFF,surround_then_center_100ms,H1_off,4,0.10869316756725311,0.5590920597314835,403.33333333333337,403.33333333333337,0.0021472444059327245,0.004431131892488338,-0.009434064733795822,-0.8135719928124163,-0.01072625070810318,-0.08944718789207068,-0.04109953762963414,0.07425931841135025,-0.012112926226109266,-0.04109953762963414
