cell_id,group,condition,mode,offset_ms,peak_response_probability,peak_response_logit,peak_latency_ms_probability,peak_latency_ms_logit,response_integral_probability_s,response_integral_logit_s,integral_change_vs_center_only,integral_fraction_vs_center_only,peak_change_vs_center_only,peak_fraction_vs_center_only,center_onset_response,center_offset_response,surround_onset_response,surround_offset_response
67#4,PC_OFF,center_then_surround_50ms,H1_off,50.0,0.12698769569396973,0.5776973962783813,380.0,380.0,0.0056257364340126514,0.022343000397086143,-0.010525635909289122,-0.6516867846003357,-0.03823933005332947,-0.23143508079491365,0.04038667678833008,0.04892473667860031,0.11995618045330048,-0.05323517695069313
67#4,PC_OFF,center_then_surround_100ms,H1_off,100.0,0.1652270257472992,0.7353085875511169,400.0,400.0,0.006488529033958912,0.022312525659799576,-0.009662843309342861,-0.5982676334838007,0.0,0.0,0.04038667678833008,0.10837452858686447,0.10837452858686447,-0.07567498832941055
67#4,PC_OFF,center_only,AC_off,,0.16499191522598267,0.7343514561653137,400.0,400.0,0.01612216606736183,0.07411976158618927,0.0,0.0,0.0,0.0,0.04036160185933113,0.12092825770378113,,
67#4,PC_OFF,surround_only,AC_off,,-0.0004957020282745361,-0.002523660659790039,420.0,420.0,-5.9529942518565804e-05,-0.00030298472847789526,-0.016181696009880397,-1.003692428317004,-0.1654876172542572,-1.003004401928395,,,-5.1800161600112915e-05,-0.00046519935131073
67#4,PC_OFF,surround_then_center_100ms,AC_off,-100.0,0.1648148000240326,0.7336304783821106,400.0,400.0,0.016057204455137253,0.07381792366504669,-6.496161222457886e-05,-0.004029335261351077,-0.00017711520195007324,-0.001073478065319054,0.03985987976193428,0.12083697319030762,-5.1800161600112915e-05,0.03985987976193428
67#4,PC_OFF,surround_then_center_50ms,AC_off,-50.0,0.16450235247612,0.732357919216156,400.0,400.0,0.01605326123535633,0.0738188847899437,-6.89048320055008e-05,-0.00427391900800437,-0.0004895627498626709,-0.0029671923572263336,0.04002685844898224,0.12059745192527771,-4.844580325880088e-05,0.132013201713562
67#4,PC_OFF,center_surround_simultaneous,AC_off,0.0,0.16443917155265808,0.7321007251739502,400.0,400.0,0.01605350524187088,0.07381891459226608,-6.866082549095154e-05,-0.004258784161140137,-0.000552743673324585,-0.003350125808088927,0.040302667766809464,0.1203727200627327,0.040302667766809464,0.1203727200627327
67#4,PC_OFF,center_then_surround_50ms,AC_off,50.0,0.16478055715560913,0.7334910035133362,400.0,400.0,0.016057860106229782,0.07381810992956161,-6.430596113204956e-05,-0.003988667581227337,-0.00021135807037353516,-0.0012810207705271296,0.04036160185933113,0.12056690454483032,0.13252316415309906,0.028682244941592216
67#4,PC_OFF,center_then_surround_100ms,AC_off,100.0,0.16499191522598267,0.7343514561653137,400.0,400.0,0.016061533242464066,0.07381731271743774,-6.063282489776611e-05,-0.003760836145988653,0.0,0.0,0.04036160185933113,0.12086839973926544,0.12086839973926544,-0.0005681887269020081
67#6,MC_OFF,center_only,normal,,0.1261793076992035,0.6175727844238281,400.0,400.0,0.012253755703568459,0.06229078397154808,0.0,0.0,0.0,0.0,0.03639272227883339,0.08579763770103455,,
67#6,MC_OFF,surround_only,normal,,-0.08383116126060486,-0.5589592456817627,413.33333333333337,413.33333333333337,-0.00926318857818842,-0.05895392969250679,-0.021516944281756878,-1.755946895162179,-0.21001046895980835,-1.6643812110655132,,,-0.013572830706834793,-0.07450757175683975
67#6,MC_OFF,surround_then_center_100ms,normal,-100.0,0.11484396457672119,0.5677139759063721,400.0,400.0,0.0021737932693213224,0.003321136813610792,-0.010079962434247136,-0.8226018763628293,-0.0113353431224823,-0.08983519825219215,-0.046145156025886536,0.08117130398750305,-0.013572847470641136,-0.046145156025886536
67#6,MC_OFF,surround_then_center_50ms,normal,-50.0,0.06670546531677246,0.34610438346862793,406.6666666666667,406.6666666666667,0.00100329692941159,0.0033462545834481716,-0.011250458774156868,-0.9181233122576928,-0.05947384238243103,-0.4713438634820348,-0.03820459544658661,0.05078732594847679,-0.012653102166950703,0.005174615420401096
