step,sampled_train_batch_nll,inner_dev_nll
0,,0.5428779721260071
1,0.9926556348800659,0.5184199213981628
2,0.7709710001945496,0.4975762963294983
3,0.8632950782775879,0.48011326789855957
4,0.6072107553482056,0.46648117899894714
5,0.6271542906761169,0.45640483498573303
6,0.4617600440979004,0.4504885971546173
7,0.3282628655433655,0.4477575421333313
8,0.4948086738586426,0.4475031793117523
9,0.48686471581459045,0.44878828525543213
10,0.4722459018230438,0.450900137424469
11,0.4932171404361725,0.45289909839630127
12,0.41549041867256165,0.45440033078193665
13,0.4975282549858093,0.4547189772129059
14,0.5140792727470398,0.4554024040699005
15,0.568486750125885,0.4553697407245636
16,0.5433810353279114,0.45348283648490906
17,0.4388419985771179,0.4510633945465088
18,0.4964774549007416,0.44780582189559937
19,0.5050205588340759,0.44413432478904724
20,0.5089299082756042,0.4405813217163086
21,0.4673742353916168,0.43682846426963806
22,0.44281303882598877,0.4332663118839264
23,0.48960989713668823,0.4302997291088104
24,0.4350758194923401,0.427754670381546
25,0.43187132477760315,0.4253576397895813
26,0.4234378933906555,0.4229907989501953
27,0.4601506292819977,0.4209977090358734
28,0.43846485018730164,0.41924068331718445
29,0.4392203688621521,0.4176316559314728
30,0.4438154995441437,0.41603198647499084
31,0.4206756055355072,0.4146507680416107
32,0.4571492373943329,0.41357555985450745
33,0.4561986029148102,0.41265353560447693
34,0.4285803735256195,0.4121130108833313
35,0.49535927176475525,0.41159331798553467
36,0.5731044411659241,0.4115338623523712
37,0.5976173281669617,0.4122178852558136
38,0.4286602735519409,0.4128982722759247
39,0.4338609278202057,0.41350361704826355
40,0.4806482195854187,0.41374337673187256
41,0.5125431418418884,0.4139571487903595
42,0.38721826672554016,0.4141276478767395
43,0.38743022084236145,0.41418761014938354
44,0.4509461224079132,0.4142867922782898
45,0.4755205810070038,0.41388535499572754
46,0.4832155406475067,0.4126971364021301
47,0.3702457845211029,0.4114231467247009
48,0.36712682247161865,0.40989378094673157
49,0.34962305426597595,0.40829989314079285
50,0.509515643119812,0.40707311034202576
51,0.4080793261528015,0.4060833156108856
52,0.52871173620224,0.40551626682281494
53,0.37342995405197144,0.40471288561820984
54,0.4482099413871765,0.4040689766407013
55,0.4686116576194763,0.40345874428749084
56,0.4378133714199066,0.4028347134590149
57,0.35779082775115967,0.4024644196033478
58,0.4396291971206665,0.4021996259689331
59,0.4490794241428375,0.40190982818603516
60,0.38056913018226624,0.4015862047672272
61,0.4348490536212921,0.4013397693634033
62,0.3560878038406372,0.4011249244213104
63,0.4632323384284973,0.400942862033844
64,0.4493405222892761,0.4007136821746826
65,0.5222488641738892,0.40067097544670105
66,0.3706726133823395,0.4006338119506836
67,0.4183353781700134,0.400623619556427
68,0.40678560733795166,0.40065762400627136
69,0.3826434016227722,0.40065550804138184
70,0.4417949616909027,0.40060222148895264
71,0.45887261629104614,0.4005579948425293
72,0.3839321732521057,0.4004437327384949
73,0.4005187153816223,0.40036147832870483
74,0.4066340923309326,0.4004789888858795
75,0.41801348328590393,0.4004944860935211
76,0.43632185459136963,0.4004431962966919
77,0.48048654198646545,0.4005719721317291
78,0.44082754850387573,0.4005093276500702
79,0.38325533270835876,0.40077996253967285
80,0.4341459572315216,0.4009910523891449
81,0.4631790518760681,0.401015967130661
82,0.35618531703948975,0.4011336863040924
83,0.42099177837371826,0.4010314643383026
84,0.3936787247657776,0.4009346067905426
85,0.40508583188056946,0.4006863534450531
86,0.40917345881462097,0.40048572421073914
87,0.3965778350830078,0.40022826194763184
88,0.3989211916923523,0.39973530173301697
89,0.39894819259643555,0.3992483615875244
90,0.4612419903278351,0.39910516142845154
