cell_id,group,new_validation_nll,old_validation_nll,new_best_step,old_best_step,new_stopping_step,old_stopping_step,new_H1_amplitude,old_H1_amplitude,new_global_rf_norm,new_H1_rf_norm,new_BC_rf_norm,new_AC_rf_norm,new_H1_off_mean_abs_logit,new_H1_off_mean_abs_probability,new_BC_off_mean_abs_logit,new_BC_off_mean_abs_probability,new_AC_off_mean_abs_logit,new_AC_off_mean_abs_probability,old_global_rf_norm,old_H1_rf_norm,old_BC_rf_norm,old_AC_rf_norm,old_H1_off_mean_abs_logit,old_H1_off_mean_abs_probability,old_BC_off_mean_abs_logit,old_BC_off_mean_abs_probability,old_AC_off_mean_abs_logit,old_AC_off_mean_abs_probability,delta_validation_nll,delta_best_step,delta_stopping_step,delta_H1_amplitude,delta_global_rf_norm,delta_H1_rf_norm,delta_BC_rf_norm,delta_AC_rf_norm,delta_H1_off_mean_abs_logit,delta_H1_off_mean_abs_probability,delta_BC_off_mean_abs_logit,delta_BC_off_mean_abs_probability,delta_AC_off_mean_abs_logit,delta_AC_off_mean_abs_probability
67#4,PC_OFF,0.4727461636066437,0.4659506380558014,137,532,337,732,0.009093108586966991,0.0024187469389289618,0.25788479032295686,0.00035832686347003214,0.3461798324561192,0.1283836559856393,0.006516888042291005,0.0006957317660574821,2.043900058766206,0.3217717835182945,1.2534413686394692,0.09901210975730768,0.2428185548227954,9.341079105270832e-05,0.23721265899806343,0.044683733572092044,0.00172711580991745,0.00019520228200538745,1.230378376841545,0.19099256977438928,0.41247381289800006,0.04313237028949515,0.006795525550842285,-395,-395,0.00667436164803803,0.015066235500161451,0.0002649160724173238,0.10896717345805579,0.08369992241354726,0.004789772232373556,0.0005005294840520946,0.8135216819246609,0.13077921374390522,0.8409675557414691,0.05587973946781252
67#6,MC_OFF,0.4430445730686188,0.44508907198905945,370,327,570,527,0.18316565454006195,0.18093034625053406,0.209191181811508,0.009549385367266239,0.24027128296062011,0.11675473089261652,0.10295577625433604,0.015400293570855865,1.3301065228382747,0.19728940515468518,1.0736691145102184,0.12400331641979088,0.2308190336986752,0.008259425177751217,0.19652705705779594,0.11679237371867655,0.08760522584120432,0.013400555901947275,1.057468360364437,0.16259663290033738,0.827783673107624,0.09863568149168887,-0.002044498920440674,43,43,0.002235308289527893,-0.021627851887167204,0.0012899601895150214,0.043744225902824174,-3.764282606003033e-05,0.015350550413131714,0.0019997376689085897,0.27263816247383765,0.0346927722543478,0.24588544140259438,0.025367634928102012
67#7,MC_ON,0.4584232270717621,0.45672571659088135,276,369,476,569,0.1785060316324234,0.1884683072566986,0.2185454075527108,0.009694306739156151,0.2503435973023857,0.13842590114261197,0.11535745908816655,0.011937983937101914,1.3153103005886078,0.1456226377862233,1.3394099096457164,0.16914184928561252,0.240117247403431,0.009751479913211302,0.2009374509767127,0.12819761896277979,0.11100186357895533,0.012567740541098396,0.9716773602366447,0.1271973789047401,0.9359148161609968,0.12490310577054818,0.0016975104808807373,-93,-93,-0.009962275624275208,-0.021571839850720198,-5.717317405515114e-05,0.049406146325673,0.010228282179832182,0.004355595509211219,-0.0006297566039964817,0.343632940351963,0.01842525888148322,0.40349509348471957,0.044238743515064335
67#14,PC_ON,0.3695501387119293,0.3753466010093689,817,471,1000,671,0.18264441192150116,0.14589743316173553,0.2906865997054352,0.011709044346260267,0.31999138230319635,0.10807295645861717,0.14612364103396733,0.01372152749846767,1.2110996572176616,0.14197132980674118,0.8833184031645457,0.10857427388429641,0.3192222886132061,0.009781001832941803,0.3038675242312415,0.09082866685304765,0.11987112631400426,0.011367421809215255,1.1831638943155607,0.14467698194096254,0.6989233108361562,0.08346159665534894,-0.005796462297439575,346,329,0.036746978759765625,-0.028535688907770917,0.0019280425133184637,0.016123858071954822,0.01724428960556952,0.026252514719963066,0.002354105689252416,0.02793576290210087,-0.002705652134221359,0.18439509232838946,0.025112677228947472
67#21,PC_ON,0.3085543215274811,0.30947262048721313,565,423,765,623,0.13054250180721283,0.12918762862682343,0.18368714425339924,0.004000426663767891,0.2493528466564343,0.11287961641801693,0.05388489544391632,0.004847125645194735,1.1851864327987036,0.08788652603747323,0.9297591026624044,0.11313607250650724,0.20620247283907392,0.004031774397001996,0.19080391478186084,0.07451235136482667,0.054146373073259986,0.004950083244170639,0.878840505083402,0.07634843250814205,0.6280312685171763,0.07520714258154233,-0.0009182989597320557,142,142,0.0013548731803894043,-0.022515328585674677,-3.1347733234104655e-05,0.05854893187457347,0.038367265053190255,-0.00026147762934366353,-0.00010295759897590347,0.30634592771530167,0.011538093529331175,0.3017278341452281,0.03792892992496491
67#26,PC_ON,0.5150015950202942,0.515579342842102,263,263,463,463,0.07611330598592758,0.05250302702188492,0.1962507046549711,0.002035530315066021,0.28818126344465333,0.1403032128339551,0.02487169453075954,0.004117088128945657,1.4115577280805225,0.17789700925084098,1.1439860925362224,0.1757507861707182,0.24526578163327134,0.00140957532852987,0.22320764813920668,0.09635383459949222,0.017097789545853934,0.0028245667909227667,1.054151060283184,0.1521825718329776,0.7717041376233101,0.12806697138718195,-0.0005777478218078613,0,0,0.023610278964042664,-0.04901507697830024,0.0006259549865361509,0.06497361530544665,0.04394937823446289,0.007773904984905607,0.00129252133802289,0.35740666779733843,0.02571443741786339,0.37228195491291227,0.047683814783536255
67#33,MC_OFF,0.3699999749660492,0.37196028232574463,581,907,781,1000,0.17693738639354706,0.19522950053215027,0.31928988931802904,0.01588764908299157,0.3390396491866351,0.10253520287478107,0.18507223318020502,0.022285942950064738,1.7017725493510565,0.1936411719582975,0.9556250163912773,0.09400643224491925,0.3275351670709675,0.01745556024967368,0.3106740390792796,0.09341871962498237,0.2029301772514979,0.02481164022450135,1.4473898107806842,0.15792555248364806,0.6743724413712819,0.07289333148043511,-0.0019603073596954346,-326,-219,-0.01829211413860321,-0.008245277752938485,-0.0015679111666821108,0.0283656101073555,0.009116483249798704,-0.017857944071292875,-0.0025256972744366127,0.2543827385703723,0.035715619474649435,0.28125257501999534,0.02111310076448414
67#34,PC_ON,0.3872334063053131,0.3878273665904999,382,384,582,584,0.08906726539134979,0.12273450940847397,0.23593955640650924,0.004081774638118129,0.302152475697694,0.1397725113940468,0.04824529320001602,0.004540406033574116,1.3722406849265099,0.12804477291946698,1.1679481536149978,0.1447314910342296,0.25177325652726035,0.005647938242674684,0.22996209061415948,0.09870706314014711,0.06807298849026362,0.0064484872265408435,0.9760417259732882,0.10721598502180617,0.7722640373309453,0.09563693255274779,-0.0005939602851867676,-2,-2,-0.033667244017124176,-0.01583370012075111,-0.0015661636045565547,0.07219038508353451,0.0410654482538997,-0.019827695290247603,-0.0019080811929667275,0.39619895895322166,0.020828787897660808,0.39568411628405253,0.04909455848148182
68#3,MC_OFF,0.5210433602333069,0.5214966535568237,331,140,531,340,0.1730227917432785,0.08557909727096558,0.2002236427355944,0.008711635252771032,0.22849666555668172,0.1102255873308588,0.10071457947293917,0.01644293363923983,1.2578223758439222,0.20061524952451387,1.0485745114088059,0.1375281377279316,0.255886352549502,0.00354469794303614,0.21058923222078177,0.14102531821099318,0.04438836629192034,0.007463133808508117,1.3906580405433973,0.22281158946454524,1.1561589242021242,0.14599872413137097,-0.0004532933235168457,191,191,0.08744369447231293,-0.055662709813907585,0.005166937309734892,0.017907433335899947,-0.03079973088013438,0.05632621318101883,0.008979799830731714,-0.13283566469947505,-0.022196339940031368,-0.10758441279331832,-0.008470586403439367
68#4,PC_ON,0.4249614179134369,0.4338315725326538,906,918,1000,1000,0.19310547411441803,0.18143394589424133,0.16502395798822742,0.010457549015313487,0.14413781593704117,0.18166275557766115,0.14340283741553625,0.011877769560936334,0.6823022921880086,0.06686449834709492,1.1277598310510317,0.1435632823035121,0.16257685962977564,0.003002463576383608,0.09621733739711054,0.13141194762697483,0.0641281412045161,0.00632716987466362,0.47286353647708895,0.056159124987607355,0.8410054885347684,0.100850385290881,-0.008870154619216919,-12,0,0.011671528220176697,0.002447098358451777,0.007455085438929879,0.04792047853993063,0.050250807950686316,0.07927469621102015,0.005550599686272714,0.2094387557109197,0.010705373359487562,0.2867543425162633,0.04271289701263109
