group,cells,new_validation_nll,old_validation_nll,new_best_step,old_best_step,new_stopping_step,old_stopping_step,new_H1_amplitude,old_H1_amplitude,new_global_rf_norm,new_H1_rf_norm,new_BC_rf_norm,new_AC_rf_norm,new_H1_off_mean_abs_logit,new_H1_off_mean_abs_probability,new_BC_off_mean_abs_logit,new_BC_off_mean_abs_probability,new_AC_off_mean_abs_logit,new_AC_off_mean_abs_probability,old_global_rf_norm,old_H1_rf_norm,old_BC_rf_norm,old_AC_rf_norm,old_H1_off_mean_abs_logit,old_H1_off_mean_abs_probability,old_BC_off_mean_abs_logit,old_BC_off_mean_abs_probability,old_AC_off_mean_abs_logit,old_AC_off_mean_abs_probability,delta_validation_nll,delta_best_step,delta_stopping_step,delta_H1_amplitude,delta_global_rf_norm,delta_H1_rf_norm,delta_BC_rf_norm,delta_AC_rf_norm,delta_H1_off_mean_abs_logit,delta_H1_off_mean_abs_probability,delta_BC_off_mean_abs_logit,delta_BC_off_mean_abs_probability,delta_AC_off_mean_abs_logit,delta_AC_off_mean_abs_probability
ALL,22,0.440025039694526,0.4396703839302063,373.27272727272725,468.8181818181818,567.6818181818181,650.8636363636364,0.12931872883134268,0.1310962611407211,0.22532299280641735,0.006099972864051179,0.28272167490294764,0.13094397329267482,0.07393528146370923,0.008660535798854108,1.4317894862779292,0.17022279109034485,1.173514880252865,0.14614168412708,0.2466627119613256,0.005645865674740781,0.22030863871510634,0.09858136425319632,0.06842705736718911,0.00812984960237854,1.0558953112783112,0.1355624100885893,0.7732592244294686,0.10084515648928263,0.00035465576431968,-95.54545454545455,-83.18181818181819,-0.0017775323093784127,-0.02133971915490827,0.00045410718931039785,0.06241303618784128,0.03236260903947849,0.005508224096520122,0.0005306861964755693,0.3758941749996179,0.03466038100175556,0.4002556558233964,0.04529652763779738
MC_ON,5,0.4316029667854309,0.4284138858318329,259.4,420.6,459.4,620.6,0.16810061037540436,0.18212499618530273,0.20508017847372728,0.007723881388368719,0.24831079890721686,0.13694830881763384,0.0947754147251447,0.010119690496421365,1.3916138878067335,0.14835662470825522,1.37922475117445,0.18009511008379714,0.233193621200183,0.008487449971852294,0.19268538320610307,0.12837954925117018,0.10153659041722615,0.011002055509880544,0.9896125940481821,0.11914238743937944,0.9744819335738818,0.1307948500114005,0.0031890809535980225,-161.2,-161.2,-0.014024385809898376,-0.028113442726455752,-0.0007635685834835738,0.05562541570111381,0.008568759566463649,-0.006761175692081453,-0.0008823650134591804,0.40200129375855126,0.029214237268875797,0.4047428176005681,0.04930026007239663
MC_OFF,4,0.44306059926748276,0.4439227133989334,450.5,484.25,650.5,657.5,0.18181172013282776,0.16455592587590218,0.22704851051477437,0.010709488128952675,0.25561357293742787,0.10809713720147898,0.12015948788573344,0.01716988062968392,1.3399714875842135,0.18882899304386228,1.0079210032522679,0.11579557570577559,0.24992065809875108,0.009336173167145523,0.22009084376203109,0.10941718547630373,0.10549021463841199,0.014861452449203573,1.1698582949489356,0.16600948982229013,0.8199050695449114,0.09886026646337047,-0.0008621141314506531,-33.75,-7.0,0.017255794256925583,-0.02287214758397671,0.0013733149618071522,0.035522729175396776,-0.0013200482748247505,0.01466927324732145,0.002308428180480347,0.1701131926352779,0.022819503221572158,0.1880159337073565,0.016935309242405112
PC_ON,9,0.42648208141326904,0.42831963962978786,428.6666666666667,474.6666666666667,615.0,642.6666666666666,0.11717749076584975,0.12747874897387293,0.2061222565008344,0.004514117526291699,0.27624114596628363,0.14247836434741754,0.05757585297816645,0.005850077990458915,1.3087643075005089,0.13004584842611566,1.1683405625583634,0.16099242090567867,0.231421829000456,0.003930502910649155,0.20651369909621073,0.09391955254881519,0.05122964495704288,0.005566371637365717,0.919880043094751,0.10871241548104321,0.7376868302528821,0.10351349715784035,-0.0018375582165188259,-46.0,-27.666666666666668,-0.010301258208023177,-0.025299572499621597,0.0005836146156425438,0.0697274468700729,0.04855881179860232,0.0063462080211235715,0.00028370635309319747,0.3888842644057577,0.02133343294507246,0.4306537323054813,0.057478923747838334
PC_OFF,4,0.47798872739076614,0.4750278517603874,313.75,500.5,513.75,700.5,0.05566617124713957,0.041990079975221306,0.29210264970148453,0.0030287464537115906,0.3674245619706248,0.12033301010450073,0.038469622557361915,0.004650777664954418,1.8506336353098352,0.269347418108955,1.0936136334141096,0.10063185235064101,0.29453311593728504,0.0022631440301528107,0.2860941171969509,0.06098688811747906,0.02867116170624892,0.0035758147924548527,1.3308200775583585,0.1860528465333794,0.555122879780829,0.05938916310829255,0.002960875630378723,-186.75,-186.75,0.013676091271918267,-0.0024304662358005033,0.00076560242355878,0.08133044477367396,0.059346121987021674,0.009798460851112998,0.0010749628724995653,0.5198135577514766,0.08329457157557563,0.5384907536332806,0.041242689242348446
