cell_id,group,radial_offset_pixels,radial_offset_degrees,improvement
67#4,PC_OFF,1.796035493102572,0.09681753830006051,0.003079026937484741
67#6,MC_OFF,2.468746992993595,0.13308089259106096,0.02234417200088501
67#7,MC_ON,1.687130054736975,0.09094685451316505,0.017596274614334106
67#14,PC_ON,1.172284078521882,0.0631934386078202,0.008328855037689209
67#21,PC_ON,1.2975888908757909,0.06994815114877309,0.00795707106590271
67#26,PC_ON,0.977510975637955,0.05269395103048351,0.0024115443229675293
67#33,MC_OFF,1.8228616597714642,0.09826363634705548,0.01251077651977539
67#34,PC_ON,1.6123954809352214,0.08691819389416428,0.006774306297302246
68#3,MC_OFF,2.8622235752668375,0.15429173960422796,0.0368179976940155
68#4,PC_ON,0.2210787601438554,0.011917526914004705,-0.00042706727981567383
68#7,PC_ON,2.5481954102349644,0.13736365883297855,0.034514546394348145
68#10,MC_ON,7.7068144865486365,0.4154454684155124,0.0924273431301117
68#11,PC_OFF,1.1202610772644124,0.060389073696284726,-0.006096571683883667
69#3,PC_OFF,0.6850207756388221,0.036926901186780256,-0.002102196216583252
69#4,MC_ON,1.1491177802857013,0.06194463034352608,0.007234662771224976
69#6,MC_OFF,1.4789919576558916,0.0797269102173879,0.0020502805709838867
69#7,MC_ON,1.4642462002499577,0.07893202173222427,-0.0006292760372161865
69#21,PC_OFF,4.705653326890788,0.25366412465270655,0.0288657546043396
70#1,PC_ON,5.6408080761708215,0.3040748103560833,0.024179577827453613
70#7,PC_ON,0.3210752728509382,0.017307963927120886,0.002251863479614258
70#15,PC_ON,2.658107508633684,0.1432886078872845,0.008719086647033691
70#34,MC_ON,1.6852761100351759,0.09084691530658369,0.019357413053512573
