cell_id,group,pathway,zero_norm,aligned_norm,delta_norm,relative_l2,cosine,zero_energy_x_degree,zero_energy_y_degree,aligned_energy_x_degree,aligned_energy_y_degree,centroid_shift_degree
67#4,PC_OFF,global,0.24700825436716684,0.30218878279943867,0.055180528432271836,1.6507004390925701,-0.09323045304715565,-1.5815296809860363e-16,5.4322879042408004e-15,0.0790837897865941,-0.07261659175936339,0.10736580091331252
67#4,PC_OFF,H1,0.00033132017510590896,0.0005714753664860408,0.00024015519138013188,1.1676833626186691,0.7570542410471445,-1.903792991152878e-09,3.025512668701199e-09,0.08167087289159382,-0.084349645671205,0.1174095184604018
67#4,PC_OFF,direct_BC,0.28943032515944106,0.3449130809579256,0.05548275579848455,1.5556800269098094,0.0,0.0,0.0,0.07927720070849446,-0.07365313730044128,0.10821117865716355
67#4,PC_OFF,AC,0.07199754339481125,0.0906797744042852,0.018682231009473943,1.163976211965104,0.48887471464366594,0.0,-2.6144776263021318e-18,0.07630215215559577,-0.05850927608394325,0.09615276289032355
67#6,MC_OFF,global,0.1991040875889133,0.31900132245219487,0.11989723486328158,1.7227999936386216,0.1869176337832945,-9.721062893975874e-11,5.53138076657768e-11,-0.12044423338567097,-0.05226466127995778,0.13129511855714854
67#6,MC_OFF,H1,0.00737761486399509,0.017845323968530825,0.010467709104535735,2.0293106605091396,0.5648807577624598,-1.5768836685956705e-09,4.710501464451887e-09,-0.12010459180140476,-0.05300431238757006,0.13128050207107317
67#6,MC_OFF,direct_BC,0.2069922157771277,0.32107209710142975,0.11407988132430205,1.6800523197596717,0.18806673941773627,0.0,0.0,-0.11977588802501585,-0.05258220063793843,0.1308095989448387
67#6,MC_OFF,AC,0.09640492067834021,0.13479238318003675,0.03838746250169654,1.3080204605171908,0.44486711268374945,-1.4582160798360733e-18,-2.9164321596721467e-18,-0.12322659786217735,-0.050880680380991264,0.13331780847553473
67#7,MC_ON,global,0.20851559612881662,0.21734832307738602,0.008832726948569403,1.0659042431673353,0.4558705962519443,-5.213886674482801e-11,2.6873621241260024e-11,0.08365618447181287,0.026676218849464976,0.08780647960017665
67#7,MC_ON,H1,0.003420267032035956,0.005236821656158424,0.0018165546241224674,0.8015079621828641,0.8823301776377134,-3.929972670288143e-09,4.482850588769234e-09,0.0826086072815165,0.02679865484750736,0.0868467057962367
67#7,MC_ON,direct_BC,0.2132526622017327,0.219936253720451,0.006683591518718307,1.0367181066566948,0.4794146803994165,0.0,0.0,0.08306427901880341,0.026734804950542024,0.08726066837159312
67#7,MC_ON,AC,0.13125193825137543,0.13806962843899462,0.006817690187619185,0.8366283486256796,0.6685901683183667,-1.5733988585981626e-18,-3.146797717196325e-18,0.08458826742248696,0.02658397962329162,0.08866725978708123
67#14,PC_ON,global,0.2568564964777298,0.334041146139585,0.07718464966185523,1.4655777663417993,0.20891037181703448,-4.8511590916250226e-15,4.31312742272325e-14,0.06984635958096908,0.026432955925117244,0.07468075458678508
67#14,PC_ON,H1,0.0010135616859620138,0.0015635701406662098,0.000550008454704196,0.8304395687511095,0.8719210754366663,-4.87384901149345e-11,3.427760713159314e-09,0.07233990045683483,0.026648067859423738,0.07709202645611485
67#14,PC_ON,direct_BC,0.2843131769383961,0.33908154319763806,0.054768366259241974,1.369514382521118,0.22924304112919458,0.0,0.0,0.07239941504749575,0.026518546553470648,0.0771032334635075
67#14,PC_ON,AC,0.11629552313060983,0.1381556378201779,0.02186011468956807,0.8122492230506239,0.7371921306973117,0.0,-2.0041226144152842e-18,0.05686547187763072,0.02598144751838089,0.0625197369397536
67#21,PC_ON,global,0.17544275733179557,0.2232487606806374,0.04780600334884183,1.3920177324679222,0.26778714355515765,-4.1071251349317e-15,5.97581599644187e-12,0.05557378531630601,0.040318201855375414,0.06865859752975045
67#21,PC_ON,H1,0.0006638754736460009,0.0019241852157366624,0.0012603097420906615,2.025500466175692,0.9139734843213018,-6.132959251843129e-10,5.650117583276963e-09,0.054215411317977136,0.03968801610247894,0.06718964998081453
67#21,PC_ON,direct_BC,0.2148507605840492,0.2701582888449659,0.0553075282609167,1.2990866008645487,0.35528482145687224,0.0,0.0,0.05538386358539976,0.04017634425545858,0.06842156811546553
67#21,PC_ON,AC,0.0872986605028645,0.10385340318009428,0.016554742677229783,0.8839226312858771,0.6867277004525624,0.0,-1.778300399934634e-18,0.05655734427221365,0.040892995802177,0.06979233694899867
67#26,PC_ON,global,0.18121770112370175,0.18958629985417316,0.00836859873047141,1.1392745283890091,0.38069256076930863,-1.5665535907588599e-15,3.0670775254267246e-14,0.05316313778763444,-0.0007676697588512128,0.053168680031442137
67#26,PC_ON,H1,0.0006626126185874818,0.0013009500276964217,0.0006383374091089399,1.0779363318713013,0.9404400517428592,-4.869891871760648e-10,5.528526478768039e-09,0.05374036964518906,-0.00016886429425175264,0.053740635453635645
67#26,PC_ON,direct_BC,0.22446628230341248,0.2298991191929531,0.005432836889540632,1.023613647010578,0.4887738397254232,0.0,0.0,0.0532771306324533,-0.0006499183485418239,0.05328109460481518
67#26,PC_ON,AC,0.09388690681812976,0.09497352481491221,0.0010866179967824463,0.6317875732790755,0.802771863678119,-7.687413256519605e-19,0.0,0.052720507628682,-0.0012249214242828303,0.05273473577369649
67#33,MC_OFF,global,0.306842997133586,0.36621110721293354,0.05936811007934756,1.2068199588790747,0.4055286848017415,-8.406748724634623e-13,2.7299702936139736e-11,-0.0007496616715202847,0.09845188502994237,0.0984547391098776
67#33,MC_OFF,H1,0.004896434004030364,0.011263282511662597,0.006366848507632234,1.5439673483357141,0.8493574811230087,2.0641380853866747e-10,6.735420357106522e-09,-0.00039448887255390773,0.09823925237143966,0.0982400376871241
67#33,MC_OFF,direct_BC,0.3038495180247386,0.3636198537888711,0.05977033576413249,1.2132658745234304,0.40114198517237376,0.0,0.0,-0.00066581268223048,0.09840694933882092,0.09840920172779112
67#33,MC_OFF,AC,0.1008252610416479,0.11704413954312898,0.01621887850148107,0.9657987618490963,0.6093887637600873,0.0,2.6663157106250763e-18,-0.0014400754762472097,0.09877030742693499,0.09878080505132836
67#34,PC_ON,global,0.21775567109330723,0.2522722209012322,0.03451654980792496,1.3751098233472812,0.19474120409127876,-1.898938769482327e-15,1.9130007483291858e-14,-0.021139152885999022,-0.08310261440507823,0.08574910090315731
67#34,PC_ON,H1,0.0006076356649179356,0.0007945321742042532,0.00018689650928631753,0.6583756910358024,0.8704273571211721,-2.6351836165530103e-10,4.565237679541436e-09,-0.023628825100024196,-0.08196784134433009,0.08530562189099215
67#34,PC_ON,direct_BC,0.23486554374068094,0.26803944683694964,0.03317390309626869,1.3547327151031172,0.20466331409439953,0.0,0.0,-0.02250320120557299,-0.08268630807903304,0.08569375477967614
