cell_id,group,mode,pathway,valid_bins,mean_abs_delta_logit,change_from_production
68#3,MC OFF,preroll_400ms,AC_off,3360,1.2086871115490794,-9.280927479271561e-05
68#3,MC OFF,continuous,H1_off,3360,0.02747632743169864,-8.752197027207809e-06
68#3,MC OFF,continuous,direct_BC_off,3360,1.4040499756112694,-0.0001168975606560263
68#3,MC OFF,continuous,AC_off,3360,1.2086852117131153,-9.470911075681876e-05
68#4,PC ON,production,H1_off,2880,0.01155923269689083,0.0
68#4,PC ON,production,direct_BC_off,2880,1.0351735365887482,0.0
68#4,PC ON,production,AC_off,2880,1.5785686761140822,0.0
68#4,PC ON,preroll_400ms,H1_off,2880,0.011566194519400597,6.961822509766666e-06
68#4,PC ON,preroll_400ms,direct_BC_off,2880,1.0349785814682642,-0.00019495512048406383
68#4,PC ON,preroll_400ms,AC_off,2880,1.5783813254286845,-0.0001873506853977691
68#4,PC ON,continuous,H1_off,2880,0.011566076179345448,6.843482454617356e-06
68#4,PC ON,continuous,direct_BC_off,2880,1.0349741462618112,-0.0001993903269370545
68#4,PC ON,continuous,AC_off,2880,1.5783744127800068,-0.0001942633340754618
68#7,PC ON,production,H1_off,3360,0.0072605616102615995,0.0
68#7,PC ON,production,direct_BC_off,3360,1.6532516508052746,0.0
68#7,PC ON,production,AC_off,3360,1.3214830470581849,0.0
68#7,PC ON,preroll_400ms,H1_off,3360,0.007251535976926486,-9.025633335113699e-06
68#7,PC ON,preroll_400ms,direct_BC_off,3360,1.6530785518387954,-0.00017309896647921263
68#7,PC ON,preroll_400ms,AC_off,3360,1.3214130402853093,-7.000677287560819e-05
68#7,PC ON,continuous,H1_off,3360,0.0072515495121479034,-9.01209811369607e-06
68#7,PC ON,continuous,direct_BC_off,3360,1.6530739820251863,-0.00017766878008829146
68#7,PC ON,continuous,AC_off,3360,1.3214082352817058,-7.481177647905568e-05
68#10,MC ON,production,H1_off,480,0.00500077245136102,0.0
68#10,MC ON,production,direct_BC_off,480,1.5243185081829627,0.0
68#10,MC ON,production,AC_off,480,1.4595732847849527,0.0
68#10,MC ON,preroll_400ms,H1_off,480,0.005006872241695722,6.0997903347020585e-06
