mode,cells,valid_bins,validation_nll_cell_mean,delta_nll_cell_mean,validation_nll_bin_weighted,delta_nll_bin_weighted,mean_abs_delta_logit,p95_abs_delta_logit,max_abs_delta_logit
production,22,65760,0.43895614553581586,0.0,0.4374584849298435,0.0,0.0,0.0,0.0
preroll_400ms,22,65760,0.4389550455591895,-1.0999766263094815e-06,0.4374583883442148,-9.658562876012204e-08,7.85219788986401e-05,0.00022554397583007812,0.018087267875671387
continuous,22,65760,0.4389551132917404,-1.0322440754283557e-06,0.43745846752702755,-1.740281599281478e-08,7.986866046477409e-05,0.00024118423461913854,0.018164992332458496
