mode,pathway,mean_abs_delta_logit,change_from_production
production,H1_off,0.033058075411494484,0.0
production,direct_BC_off,1.3845711421407305,0.0
production,AC_off,1.1635962958001236,0.0
preroll_400ms,H1_off,0.03305625316716386,-1.8222443306237235e-06
preroll_400ms,direct_BC_off,1.384446821274766,-0.0001243208659644779
preroll_400ms,AC_off,1.1635134607109348,-8.283508918882632e-05
continuous,H1_off,0.033056194432206684,-1.8809792877994003e-06
continuous,direct_BC_off,1.384441662543519,-0.0001294795972115459
continuous,AC_off,1.163510366496596,-8.592930352757655e-05
