cell_id,quantity,development,consumed_descriptive,sign_consistent
67#4,E_AC,-0.07775466311843438,0.006576258699358198,False
67#6,E_AC,0.0758903758794845,0.01425784881282946,True
67#7,E_AC,-0.018419887566117454,0.562307706294605,False
67#14,E_AC,-0.13603843180353564,0.2294038194795971,False
67#21,E_AC,-0.08807832102759827,0.21460113733149633,False
67#26,E_AC,0.002909084118670885,0.17820516283434432,True
67#33,E_AC,-0.020393135029405776,-0.0065356846544364355,True
67#34,E_AC,-0.029617883520521082,0.19611699548307332,False
68#3,E_AC,0.08805260169407857,0.05845340556708034,True
68#4,E_AC,-0.0567059261721678,0.1276620626458163,False
68#7,E_AC,0.0765058906216379,0.1825135698514254,True
68#10,E_AC,0.15581034756248274,0.44809679447249123,True
68#11,E_AC,-0.04867412617083878,-0.011949465396127658,True
69#3,E_AC,0.05502585577724483,0.011355098378467328,True
69#4,E_AC,0.04839044228631667,0.5789771317867733,True
69#6,E_AC,-0.10471560753988299,0.08802508841684767,False
69#7,E_AC,0.2044453198900804,0.5833373146980303,True
69#21,E_AC,-0.028197600077607934,0.018778514040685826,False
70#1,E_AC,0.0022259069144959787,0.29283327511449125,True
70#7,E_AC,-0.032445729939149945,0.20829047181845642,False
70#15,E_AC,-0.039164571604641596,0.16956755320379494,False
70#34,E_AC,0.0013569347246570884,0.4592562337267513,True
67#4,E_BC,-0.07497783913623207,0.0031868868261382133,False
67#6,E_BC,0.01878112104019597,0.4079920066031232,True
67#7,E_BC,0.26796905013360084,0.05612466257691795,True
67#14,E_BC,-0.0671980888434136,0.3160235652754353,False
67#21,E_BC,0.11267976568894841,0.2964208213433074,True
67#26,E_BC,-0.01400437140646954,0.26130225382949396,False
67#33,E_BC,-0.2704686307627878,0.14915392414753426,False
67#34,E_BC,0.15279746698744573,0.19050112066387098,True
68#3,E_BC,-0.10831633828920906,0.33214288729281927,False
68#4,E_BC,0.04428913693817568,0.02990916540852326,True
68#7,E_BC,-0.07443706935783057,0.35381853575321365,False
68#10,E_BC,0.019440030736885938,0.030155102042722315,True
68#11,E_BC,-0.13785196600510777,-0.17091492544728135,True
69#3,E_BC,-0.01521514247293751,0.07753877489021768,False
69#4,E_BC,0.2571395698516589,0.015425486191953663,True
69#6,E_BC,0.07560775709998702,0.22378422067354226,True
69#7,E_BC,0.14864627582208056,-0.009744134462126214,False
69#21,E_BC,-0.02543707529464445,0.10616503715551734,False
70#1,E_BC,0.09621473082557752,-0.011834441189430861,False
70#7,E_BC,-0.0260683590544859,0.17965802545157944,False
70#15,E_BC,0.060413701942981624,0.1836504241539885,True
70#34,E_BC,-0.0852154764991907,0.1513472180303032,False
67#4,D,-0.9548705476045664,0.09117289305269849,False
67#6,D,0.616732053860772,-0.8881153997746706,False
67#7,D,-0.9823762922469195,1.3958448700264134,False
67#14,D,-1.077536195624273,0.7140557873952416,False
67#21,D,-1.3544382012081275,0.5721447424666657,False
67#26,D,0.07699939627887847,0.5592508277371806,True
67#33,D,0.7890375245152164,-0.39534301314931125,False
67#34,D,-0.8216908229108459,0.6226653714003628,False
68#3,D,1.0588652199264437,-0.41516163146738166,False
68#4,D,-1.181775559410713,-0.051079917762131666,True
68#7,D,0.8518812706588903,0.08384745178132524,True
68#10,D,2.5186773033196364,1.4284866104836291,True
68#11,D,-0.6177623572212227,0.3575303772080465,False
69#3,D,1.6884608649864032,-0.18782418242203414,False
69#4,D,-0.7734575068633247,1.2861403241184606,False
69#6,D,-1.0757615113401424,-0.24328475441341496,True
69#7,D,0.10524690997868746,1.7527896892683428,True
69#21,D,-0.5762044766290433,-0.17745856421172895,True
70#1,D,-1.0915253132342315,1.9267537663877736,False
70#7,D,-0.179778242665343,0.6038493371950192,False
70#15,D,-0.5670791815806447,0.3463814882677646,False
70#34,D,0.30627229520931765,0.8450101594286213,True
