split,cell_id,group,pathway,feature,spearman
development,67#4,PC_OFF,BC,S,0.07096591131037895
development,67#4,PC_OFF,BC,U,0.17627051332688073
development,67#4,PC_OFF,AC,S,-0.0033151185552020624
development,67#4,PC_OFF,AC,U,-0.0520645705927543
development,67#6,MC_OFF,BC,S,0.03797408430112313
development,67#6,MC_OFF,BC,U,0.17355695091349466
development,67#6,MC_OFF,AC,S,0.0016667439320277415
development,67#6,MC_OFF,AC,U,-0.09418050994541445
development,67#7,MC_ON,BC,S,-0.07555098733387311
development,67#7,MC_ON,BC,U,0.026486276415806358
development,67#7,MC_ON,AC,S,0.1778572187035728
development,67#7,MC_ON,AC,U,0.07791983382119545
development,67#14,PC_ON,BC,S,-0.0975339184420409
development,67#14,PC_ON,BC,U,0.017503540188444557
development,67#14,PC_ON,AC,S,0.056516604002506264
development,67#14,PC_ON,AC,U,0.07137871838370283
development,67#21,PC_ON,BC,S,-0.11991255324446633
development,67#21,PC_ON,BC,U,-0.14070177519390611
development,67#21,PC_ON,AC,S,0.06575760666574153
development,67#21,PC_ON,AC,U,0.06909388505154716
development,67#26,PC_ON,BC,S,-0.07301095780822897
development,67#26,PC_ON,BC,U,0.0025997878857615675
development,67#26,PC_ON,AC,S,0.02797135447272669
development,67#26,PC_ON,AC,U,0.07386635998395537
development,67#33,MC_OFF,BC,S,0.07657245224444889
development,67#33,MC_OFF,BC,U,0.166053958990851
development,67#33,MC_OFF,AC,S,-0.1043603330480381
development,67#33,MC_OFF,AC,U,-0.09440359558678596
development,67#34,PC_ON,BC,S,-0.07522186920964677
development,67#34,PC_ON,BC,U,-0.059987391356015114
development,67#34,PC_ON,AC,S,0.03263620645650914
development,67#34,PC_ON,AC,U,0.10668002231373269
development,68#3,MC_OFF,BC,S,0.0039021167905221948
development,68#3,MC_OFF,BC,U,0.13280954490489796
development,68#3,MC_OFF,AC,S,-0.0007446925536494866
development,68#3,MC_OFF,AC,U,-0.07825067212772928
development,68#4,PC_ON,BC,S,-0.09628588441943747
development,68#4,PC_ON,BC,U,-0.04213559889233454
development,68#4,PC_ON,AC,S,0.10481173442725883
development,68#4,PC_ON,AC,U,0.12638057105481262
development,68#7,PC_ON,BC,S,-0.09388221395602026
development,68#7,PC_ON,BC,U,-0.026209459818653705
development,68#7,PC_ON,AC,S,0.06674387353102175
development,68#7,PC_ON,AC,U,0.05447188559681771
development,68#10,MC_ON,BC,S,-0.1539622567806284
development,68#10,MC_ON,BC,U,0.04336824378578031
development,68#10,MC_ON,AC,S,0.15577606673640074
development,68#10,MC_ON,AC,U,0.07426616434967165
development,68#11,PC_OFF,BC,S,0.06941727281114964
development,68#11,PC_OFF,BC,U,0.11348808157556271
development,68#11,PC_OFF,AC,S,-0.0678529290114485
development,68#11,PC_OFF,AC,U,-0.012349343124250468
development,69#3,PC_OFF,BC,S,0.035827179566648305
development,69#3,PC_OFF,BC,U,0.06267715047283214
development,69#3,PC_OFF,AC,S,0.002420751665450065
development,69#3,PC_OFF,AC,U,-0.03936255378935557
development,69#4,MC_ON,BC,S,-0.10014189961138074
development,69#4,MC_ON,BC,U,0.027364416851410448
development,69#4,MC_ON,AC,S,0.14576781780038864
development,69#4,MC_ON,AC,U,0.046822844923862975
development,69#6,MC_OFF,BC,S,0.12854706629648574
development,69#6,MC_OFF,BC,U,0.13107670059767332
development,69#6,MC_OFF,AC,S,-0.12440166882549948
development,69#6,MC_OFF,AC,U,-0.08571714739820281
development,69#7,MC_ON,BC,S,-0.06973957313136447
development,69#7,MC_ON,BC,U,-0.06692016201833426
development,69#7,MC_ON,AC,S,0.12092802497141052
development,69#7,MC_ON,AC,U,0.1143962269818764
development,69#21,PC_OFF,BC,S,0.09755157645643324
development,69#21,PC_OFF,BC,U,0.08010711834520888
development,69#21,PC_OFF,AC,S,-0.11583595664970503
development,69#21,PC_OFF,AC,U,0.017282110047759904
development,70#1,PC_ON,BC,S,0.03494439682028669
development,70#1,PC_ON,BC,U,0.006540249177018383
development,70#1,PC_ON,AC,S,0.002958434268887161
development,70#1,PC_ON,AC,U,0.04640316571824708
development,70#7,PC_ON,BC,S,-0.12505960147642145
development,70#7,PC_ON,BC,U,-0.018935252217306884
development,70#7,PC_ON,AC,S,0.0749282502193583
development,70#7,PC_ON,AC,U,0.0696226496955746
development,70#15,PC_ON,BC,S,-0.003083683842523027
development,70#15,PC_ON,BC,U,-0.06503303224477373
development,70#15,PC_ON,AC,S,-0.05505045850477758
development,70#15,PC_ON,AC,U,0.09045882535543964
development,70#34,MC_ON,BC,S,-0.12835605336674852
development,70#34,MC_ON,BC,U,-0.004578878517226114
development,70#34,MC_ON,AC,S,0.1513570732752131
development,70#34,MC_ON,AC,U,0.08958761366570563
