split,cell_id,group,sign,bins,zero_Q_bins,AC_mean_delta_loss,AC_median_delta_loss
consumed,67#4,PC_OFF,negative,2068,0,0.06831006934909896,-0.007316855400198395
consumed,67#4,PC_OFF,positive,2732,0,0.06639799090368338,-0.010111069872593227
consumed,67#6,MC_OFF,negative,14840,0,0.16353105170227025,0.03557931452621404
consumed,67#6,MC_OFF,positive,18760,0,0.15454971345430613,0.05696682289734317
consumed,67#7,MC_ON,negative,14238,0,0.41455350781699857,-0.0878091039693758
consumed,67#7,MC_ON,positive,19362,0,0.31204538483433564,-0.10856726815361946
consumed,67#14,PC_ON,negative,14231,0,0.16646625339161134,-0.06452651916291482
consumed,67#14,PC_ON,positive,19369,0,0.15703539984474843,-0.07027646952428357
consumed,67#21,PC_ON,negative,13881,0,0.14394891971184842,-0.06618411993957887
consumed,67#21,PC_ON,positive,19719,0,0.1141491232599207,-0.06699169780779098
consumed,67#26,PC_ON,negative,13958,0,0.14605411706909793,-0.10999531716015967
consumed,67#26,PC_ON,positive,19642,0,0.12209794702693445,-0.11723159731972502
consumed,67#33,MC_OFF,negative,14945,0,0.1504171442755163,0.014948739046101767
consumed,67#33,MC_OFF,positive,18655,0,0.15035024101391137,0.0337068978596759
consumed,67#34,PC_ON,negative,15085,0,0.17756965769284422,-0.07184821361167983
consumed,67#34,PC_ON,positive,18515,0,0.14225378329109986,-0.07805649150972167
consumed,68#3,MC_OFF,negative,14343,0,0.19525900139874322,0.037717779608936075
consumed,68#3,MC_OFF,positive,19257,0,0.18934978536510153,0.05919285332247304
consumed,68#4,PC_ON,negative,12834,0,0.36554909553611736,-0.08621742124451279
consumed,68#4,PC_ON,positive,15966,0,0.35938298478819514,-0.09305351696147399
consumed,68#7,PC_ON,negative,14448,0,0.21286017362936835,-0.08694407145901847
consumed,68#7,PC_ON,positive,19152,0,0.19229753721234144,-0.08680315066389648
consumed,68#10,MC_ON,negative,2252,0,0.263523433429515,-0.07054011197484118
consumed,68#10,MC_ON,positive,2548,0,0.316574348429266,-0.06842139211280196
consumed,68#11,PC_OFF,negative,15190,0,0.045625122228479156,-7.130125108924281e-05
consumed,68#11,PC_OFF,positive,18410,0,0.041568227294745165,-0.00021318444175261186
consumed,69#3,PC_OFF,negative,14581,0,0.06085066335881168,0.022607461060768164
consumed,69#3,PC_OFF,positive,19019,0,0.056202524038215275,0.024703731090173875
consumed,69#4,MC_ON,negative,12960,0,0.5057729097711416,-0.06728589218217096
consumed,69#4,MC_ON,positive,15840,0,0.36891265382885374,-0.09973598417728514
consumed,69#6,MC_OFF,negative,14707,0,0.1733209793598371,0.06746131317955362
consumed,69#6,MC_OFF,positive,18893,0,0.18400924425966697,0.0764835024341608
consumed,69#7,MC_ON,negative,14805,0,0.3903754788142643,-0.05917323839609059
consumed,69#7,MC_ON,positive,18795,0,0.30335256593505305,-0.08359412474559255
consumed,69#21,PC_OFF,negative,10722,0,0.06431994751548227,0.0005213280891819272
consumed,69#21,PC_OFF,positive,18078,0,0.06575324223566845,0.003981487595968461
consumed,70#1,PC_ON,negative,12648,0,0.1937518805956135,-0.06740307072943891
consumed,70#1,PC_ON,positive,16152,0,0.1343018764717202,-0.08664769634572927
consumed,70#7,PC_ON,negative,14630,0,0.199879792425564,-0.09910249672455984
consumed,70#7,PC_ON,positive,18970,0,0.16782043974883995,-0.11277970107380353
consumed,70#15,PC_ON,negative,13140,0,0.18718270687475086,-0.08598788735582019
consumed,70#15,PC_ON,positive,15660,0,0.1385952455839872,-0.08876158872427124
consumed,70#34,MC_ON,negative,14511,0,0.3581631316954514,-0.08088247332358467
consumed,70#34,MC_ON,positive,19089,0,0.3159022959988804,-0.09125342378217001
