split,cell_id,group,sign,bins,zero_Q_bins,AC_mean_delta_loss,AC_median_delta_loss
development,67#4,PC_OFF,negative,222,0,0.09696475907512245,-0.015999085922086636
development,67#4,PC_OFF,positive,258,0,0.04139217066510001,-0.025068023661060035
development,67#6,MC_OFF,negative,1498,0,0.17102872484186687,-5.191564626066525e-05
development,67#6,MC_OFF,positive,1862,0,0.06474361508869834,0.03058146397431835
development,67#7,MC_ON,negative,1428,0,0.1770695110470339,-0.09371335389276536
development,67#7,MC_ON,positive,1932,0,0.26012718471820107,-0.1046455690863043
development,67#14,PC_ON,negative,1477,0,0.12461564372970657,-0.06030747971625891
development,67#14,PC_ON,positive,1883,0,0.09306292508736573,-0.053323982373089426
development,67#21,PC_ON,negative,1498,0,0.11407834534003355,-0.0634522679413133
development,67#21,PC_ON,positive,1862,0,0.10316050640604911,-0.06660553826208035
development,67#26,PC_ON,negative,1519,0,0.08869436125559689,-0.08794271706917078
development,67#26,PC_ON,positive,1841,0,0.10986824010177397,-0.09002148463799453
development,67#33,MC_OFF,negative,1491,0,0.10073791639865096,0.017411150841315504
development,67#33,MC_OFF,positive,1869,0,0.1415209696162285,0.0013146471079123416
development,67#34,PC_ON,negative,1652,0,0.18431042945970855,-0.0562931222006543
development,67#34,PC_ON,positive,1708,0,0.10893220497795127,-0.07177047277590734
development,68#3,MC_OFF,negative,1337,0,0.12927456635130893,0.0333895059803839
development,68#3,MC_OFF,positive,2023,0,0.11213033652323459,0.0056223364161493905
development,68#4,PC_ON,negative,1326,0,0.24201395566395173,-0.09788295827380185
development,68#4,PC_ON,positive,1554,0,0.26202180756100873,-0.06977630361019244
development,68#7,PC_ON,negative,1463,0,0.10033948249682971,-0.0832542724002118
development,68#7,PC_ON,positive,1897,0,0.13705291034081277,-0.07677207504096194
development,68#10,MC_ON,negative,219,0,0.05896492609125746,-0.0970028610337244
development,68#10,MC_ON,positive,261,0,0.060707122807707785,-0.07425908609378234
development,68#11,PC_OFF,negative,1519,0,0.0484845408706664,-0.0028897104828662363
development,68#11,PC_OFF,positive,1841,0,0.028406649129087094,-0.0010961890426902468
development,69#3,PC_OFF,negative,1540,0,0.05368946320893569,0.0017306461351744924
development,69#3,PC_OFF,positive,1820,0,0.018209464901820682,-2.0737351214020704e-05
development,69#4,MC_ON,negative,1350,0,0.20668697496051483,-0.08677044662728842
development,69#4,MC_ON,positive,1530,0,0.3513582953396999,-0.0779385774257948
development,69#6,MC_OFF,negative,1631,0,0.09771182327978901,0.006439523832140942
development,69#6,MC_OFF,positive,1729,0,0.16898702378715494,0.05287365717467357
development,69#7,MC_ON,negative,1470,0,0.23864896412511954,-0.055805212935663345
development,69#7,MC_ON,positive,1890,0,0.257459162173128,-0.06278029536598922
development,69#21,PC_OFF,negative,1146,0,0.05612578573045803,-0.0036571912214894598
development,69#21,PC_OFF,positive,1734,0,0.029652847283642574,-0.007482882977058791
development,70#1,PC_ON,negative,1332,0,0.12269148543349395,-0.033705245481759384
development,70#1,PC_ON,positive,1548,0,0.14151202412135475,-0.03450664650394841
development,70#7,PC_ON,negative,1596,0,0.11214011432055682,-0.09327667013489849
development,70#7,PC_ON,positive,1764,0,0.12717599899474588,-0.08510752391307674
development,70#15,PC_ON,negative,1374,0,0.13268341582240425,-0.07700108186718524
development,70#15,PC_ON,positive,1506,0,0.17100136880870417,-0.08614414824573881
development,70#34,MC_ON,negative,1442,0,0.08904222667129699,-0.08395083206790109
development,70#34,MC_ON,positive,1918,0,0.2966612520108517,-0.08015119784717105
