split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
consumed,67#4,PC_OFF,BC,1,1168,0.2618177452002837,-0.125764508662345,0.5138333746054785,0.7756511198057623,0.22945205479452055,-0.027979536343054112,0.14033644146308988,0.052513493342025395,0.22423939801012782,0.32180528456824914
consumed,67#4,PC_OFF,BC,2,853,0.2932239184405894,-0.13830244381053486,0.515452669390015,0.8086765878306044,0.24384525205158264,-0.16593289539012515,0.38835445356028375,-0.07797815415924829,0.376512661469654,0.3157958226379459
consumed,67#4,PC_OFF,BC,3,482,0.43577872924016736,-0.09844918389152368,0.5622582282842803,0.9980369575244477,0.3091286307053942,-0.20741921599062654,0.5672709642688712,-0.11056341776144837,0.5703034799307749,0.2973681529481467
consumed,67#4,PC_OFF,BC,4,1369,0.5962458054792991,-0.024305846237473748,0.5648754162518863,1.1611212217311853,0.3360116873630387,-0.37470293616873623,0.7743622631427626,-0.3384567674119616,0.759318507782846,0.19970269067436544
consumed,67#4,PC_OFF,BC,5,928,0.7714119205552393,0.14178669963631807,0.34953287689973156,1.1209447974549709,0.15086206896551724,3.673244741367947,3.673244741367947,3.4546583574185856,3.4546583574185856,1.259117634688545
consumed,67#4,PC_OFF,AC,1,1168,0.05887005119914269,-0.005450016972845498,0.5138333746054785,0.5727034258046212,0.22945205479452055,-0.027979536343054112,0.14033644146308988,0.052513493342025395,0.22423939801012782,0.32180528456824914
consumed,67#4,PC_OFF,AC,2,853,0.07766396958594175,-0.0041937252718300955,0.515452669390015,0.5931166389759568,0.24384525205158264,-0.16593289539012515,0.38835445356028375,-0.07797815415924829,0.376512661469654,0.3157958226379459
consumed,67#4,PC_OFF,AC,3,482,0.1077382181841222,-0.00992783762482127,0.5622582282842803,0.6699964464684025,0.3091286307053942,-0.20741921599062654,0.5672709642688712,-0.11056341776144837,0.5703034799307749,0.2973681529481467
consumed,67#4,PC_OFF,AC,4,1369,0.060642354618340756,-0.010779885320593305,0.5648754162518863,0.6255177708702271,0.3360116873630387,-0.37470293616873623,0.7743622631427626,-0.3384567674119616,0.759318507782846,0.19970269067436544
consumed,67#4,PC_OFF,AC,5,928,0.05679713800445823,-0.012755636665934524,0.34953287689973156,0.40633001490418985,0.15086206896551724,3.673244741367947,3.673244741367947,3.4546583574185856,3.4546583574185856,1.259117634688545
consumed,67#6,MC_OFF,BC,1,5376,0.21676175254901475,-0.10499493707386082,0.4406986067640504,0.6574603593130652,0.22544642857142858,-0.006757262686432833,0.09372074732517888,0.056733782985083234,0.1825687381398678,0.35544212909845296
consumed,67#6,MC_OFF,BC,2,7602,0.23097508236720016,-0.11621784688012493,0.4280593669483053,0.6590344493155055,0.21928439884240988,-0.11984140140013073,0.3029210597054811,-0.061952586214238985,0.2916766833843195,0.30625698809665314
consumed,67#6,MC_OFF,BC,3,4074,0.26113382750096853,-0.10897012720368282,0.46926162313839637,0.7303954506393648,0.2422680412371134,-0.22504770756563428,0.5131896270790625,-0.16375467133575192,0.4956547840393002,0.2914491758853497
consumed,67#6,MC_OFF,BC,4,9100,0.3985976211562777,-0.13448951519501645,0.5253658731381553,0.9239634942944328,0.29,-0.45725051233831737,0.7342767800324432,-0.4218207617480672,0.7046473223443727,0.19050837354076913
consumed,67#6,MC_OFF,BC,5,7448,0.8597944004383302,0.08311543770595589,0.33526221331593525,1.1950566137542655,0.1628625134264232,3.413470434592613,3.413470434592613,3.166900570952135,3.1673633946646147,1.3236627981092197
consumed,67#6,MC_OFF,AC,1,5376,0.14194970763830236,0.06702791907596325,0.4406986067640504,0.5826483144023529,0.22544642857142858,-0.006757262686432833,0.09372074732517888,0.056733782985083234,0.1825687381398678,0.35544212909845296
consumed,67#6,MC_OFF,AC,2,7602,0.15419098881071372,0.07248946486068249,0.4280593669483053,0.5822503557590192,0.21928439884240988,-0.11984140140013073,0.3029210597054811,-0.061952586214238985,0.2916766833843195,0.30625698809665314
consumed,67#6,MC_OFF,AC,3,4074,0.10980599480507741,0.09035537534201815,0.46926162313839637,0.5790676179434738,0.2422680412371134,-0.22504770756563428,0.5131896270790625,-0.16375467133575192,0.4956547840393002,0.2914491758853497
consumed,67#6,MC_OFF,AC,4,9100,0.16759708421158395,0.13762206329244073,0.5253658731381553,0.6929629573497392,0.29,-0.45725051233831737,0.7342767800324432,-0.4218207617480672,0.7046473223443727,0.19050837354076913
consumed,67#6,MC_OFF,AC,5,7448,0.1904388852444435,-0.0010066024285756818,0.33526221331593525,0.5257010985603788,0.1628625134264232,3.413470434592613,3.413470434592613,3.166900570952135,3.1673633946646147,1.3236627981092197
consumed,67#7,MC_ON,BC,1,6944,0.19022463187373495,0.12035243440222165,0.4223348886130225,0.6125595204867574,0.22595046082949308,-0.03227822479833768,0.12403520156430074,0.02015220094278681,0.1853791944595622,0.334114866940682
consumed,67#7,MC_ON,BC,2,7658,0.22090113053000074,0.13054694879907408,0.41825027776759344,0.6391514082975942,0.21415513188822147,-0.12121065298345021,0.3701000024212306,-0.05677115348574315,0.35973420938571815,0.3183556866170683
consumed,67#7,MC_ON,BC,3,3619,0.2820621526347115,0.20454074749381412,0.39018574847865645,0.6722479011133679,0.18541033434650456,-0.26407687763277454,0.5767983437573561,-0.21042662207060428,0.542507974566631,0.2693165915341916
consumed,67#7,MC_ON,BC,4,8582,0.3325464596542988,0.3147588921181923,0.3496586908129833,0.6822051504672821,0.1433232346772314,-0.33408905009957984,0.781981206413964,-0.3067806992380598,0.7708847094035065,0.23011664690511383
consumed,67#7,MC_ON,BC,5,6797,0.47861501732652656,0.0003520932267201261,0.5606638490402717,1.0392788663667982,0.32587906429307045,3.595364339537953,3.595364339537953,3.365280220999453,3.365280220999453,1.4127257388074914
consumed,67#7,MC_ON,AC,1,6944,0.2761665414867451,-0.10138283155517132,0.4223348886130225,0.6985014300997677,0.22595046082949308,-0.03227822479833768,0.12403520156430074,0.02015220094278681,0.1853791944595622,0.334114866940682
