split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
development,67#4,PC_OFF,BC,1,96,0.38798188142915024,-0.004908642127334259,0.504934827738888,0.892916709168038,0.2708333333333333,-0.12113598016973508,0.7209497972774747,-0.12209309477330883,0.7217733542396533,0.11223806708574695
development,67#4,PC_OFF,BC,2,96,0.4079648569541316,-0.1277022250156747,0.5119505431003951,0.9199154000545265,0.21875,0.003277828372119984,0.7046000789478057,0.008698466183464223,0.7014880282629731,0.18364163634607597
development,67#4,PC_OFF,BC,3,96,0.37829444955294883,-0.09617988783054167,0.4967230506094453,0.8750175001623942,0.22916666666666666,0.04191608028304472,0.5194744122933722,0.04987710697389794,0.5009728498567035,0.2667044993986197
development,67#4,PC_OFF,BC,4,96,0.3503352726472075,0.016403599687628667,0.45210648564429107,0.8024417582914986,0.21875,0.7593919955561432,1.058872662973954,0.7655782762631134,1.0168391449955474,0.4220621452492444
development,67#4,PC_OFF,BC,5,96,0.31300404229291817,0.03983687646118231,0.34337107524528854,0.6563751175382068,0.14583333333333334,2.5187900560304115,2.624215360147597,2.394734644314154,2.4142522042364782,1.179769976286333
development,67#4,PC_OFF,AC,1,96,0.1456711838141828,-0.01547860771368655,0.504934827738888,0.6506060115530707,0.2708333333333333,-0.12113598016973508,0.7209497972774747,-0.12209309477330883,0.7217733542396533,0.11223806708574695
development,67#4,PC_OFF,AC,2,96,0.00306205698877395,-3.8716507881625834e-05,0.5119505431003951,0.515012600089169,0.21875,0.003277828372119984,0.7046000789478057,0.008698466183464223,0.7014880282629731,0.18364163634607597
development,67#4,PC_OFF,AC,3,96,0.041202927942150976,-0.014866187650791007,0.4967230506094453,0.5379259785515963,0.22916666666666666,0.04191608028304472,0.5194744122933722,0.04987710697389794,0.5009728498567035,0.2667044993986197
development,67#4,PC_OFF,AC,4,96,0.07761977458282084,-0.03352332020067573,0.45210648564429107,0.5297262602271119,0.21875,0.7593919955561432,1.058872662973954,0.7655782762631134,1.0168391449955474,0.4220621452492444
development,67#4,PC_OFF,AC,5,96,0.06791652069574841,-0.02775838504061265,0.34337107524528854,0.41128759594103687,0.14583333333333334,2.5187900560304115,2.624215360147597,2.394734644314154,2.4142522042364782,1.179769976286333
development,67#6,MC_OFF,BC,1,672,0.3633447886933773,-0.052115435126298876,0.41123683318070287,0.7745816218740801,0.2261904761904762,-0.033757753477978755,0.5790343637091611,-0.0316682185585662,0.5794442545746797,0.17010532330607425
development,67#6,MC_OFF,BC,2,672,0.343176842216413,-0.08873214406296243,0.4992941120979338,0.8424709543143466,0.2604166666666667,-0.020301766517332013,0.5200545999286381,-0.012422931842290083,0.5144512175779926,0.23903866724146217
development,67#6,MC_OFF,BC,3,672,0.24914785674195553,-0.12809965194844614,0.47085559528474824,0.7200034520267037,0.23958333333333334,0.10552271458230585,0.543646556350359,0.11026647164093192,0.5222849031556818,0.33055126976969346
development,67#6,MC_OFF,BC,4,672,0.2251962421164727,-0.08825256254479731,0.3796765323625556,0.6048727744790283,0.17559523809523808,0.5675733942333561,0.8490310330386516,0.5784917204252447,0.7677242260449502,0.520467158451419
development,67#6,MC_OFF,BC,5,672,0.38212590973357324,0.03903524689864826,0.3385382325782818,0.720664142311855,0.17113095238095238,2.4595258014634362,2.644951622431715,2.380133189967074,2.3840387304378616,1.2932792190315856
development,67#6,MC_OFF,AC,1,672,0.08654975205654492,0.0005558780130018018,0.41123683318070287,0.4977865852372477,0.2261904761904762,-0.033757753477978755,0.5790343637091611,-0.0316682185585662,0.5794442545746797,0.17010532330607425
development,67#6,MC_OFF,AC,2,672,0.1461359306155138,0.02135843967513367,0.4992941120979338,0.6454300427134475,0.2604166666666667,-0.020301766517332013,0.5200545999286381,-0.012422931842290083,0.5144512175779926,0.23903866724146217
development,67#6,MC_OFF,AC,3,672,0.07803085111399653,0.04972699960533283,0.47085559528474824,0.5488864463987447,0.23958333333333334,0.10552271458230585,0.543646556350359,0.11026647164093192,0.5222849031556818,0.33055126976969346
development,67#6,MC_OFF,AC,4,672,0.08748863754617857,0.03150514965847869,0.3796765323625556,0.46716516990873413,0.17559523809523808,0.5675733942333561,0.8490310330386516,0.5784917204252447,0.7677242260449502,0.520467158451419
development,67#6,MC_OFF,AC,5,672,0.1624401279360294,-0.00015267665492082455,0.3385382325782818,0.5009783605143112,0.17113095238095238,2.4595258014634362,2.644951622431715,2.380133189967074,2.3840387304378616,1.2932792190315856
development,67#7,MC_ON,BC,1,672,0.2184600727753006,0.15426283038679783,0.35637348420976706,0.5748335569850677,0.1056547619047619,-0.25466394700404427,0.5564355895010825,-0.25360330755790983,0.5545821555007756,0.125786651186117
development,67#7,MC_ON,BC,2,672,0.35000011620085886,0.3064527381461268,0.3609737635365479,0.7109738797374069,0.16964285714285715,-0.23970898674451746,0.48366532124580564,-0.23062540226597625,0.47530416658351743,0.19363181081065753
