group,probe,mode,channel,n_cells,current_peak_response,previous_peak_response,delta_peak_response,current_peak_absolute_response,previous_peak_absolute_response,delta_peak_absolute_response,current_peak_latency_ms_from_trial_start,previous_peak_latency_ms_from_trial_start,delta_peak_latency_ms_from_trial_start,current_peak_latency_ms_from_onset,previous_peak_latency_ms_from_onset,delta_peak_latency_ms_from_onset,current_response_integral_seconds,previous_response_integral_seconds,delta_response_integral_seconds,current_peak_change_vs_center_only,previous_peak_change_vs_center_only,delta_peak_change_vs_center_only,current_integral_change_vs_center_only,previous_integral_change_vs_center_only,delta_integral_change_vs_center_only,current_center_onset_50ms,previous_center_onset_50ms,delta_center_onset_50ms,current_center_offset_50ms,previous_center_offset_50ms,delta_center_offset_50ms,current_surround_first_onset_50ms,previous_surround_first_onset_50ms,delta_surround_first_onset_50ms,current_surround_first_offset_50ms,previous_surround_first_offset_50ms,delta_surround_first_offset_50ms,current_off_minus_normal_mean_abs_active,previous_off_minus_normal_mean_abs_active,delta_off_minus_normal_mean_abs_active,current_off_minus_normal_peak_signed,previous_off_minus_normal_peak_signed,delta_off_minus_normal_peak_signed,current_off_minus_normal_peak_absolute,previous_off_minus_normal_peak_absolute,delta_off_minus_normal_peak_absolute,current_off_minus_normal_integral_seconds,previous_off_minus_normal_integral_seconds,delta_off_minus_normal_integral_seconds
PC_OFF,transient_50ms,normal,logit,4,0.4396265968680382,0.5097578540444374,-0.07013125717639923,0.4396265968680382,0.5097578540444374,-0.07013125717639923,1380.0,1373.3333333333335,6.666666666666686,1080.0,1073.3333333333335,6.666666666666686,0.69809690117836,0.7841897755861282,-0.08609287440776825,0.06589539349079132,0.08663790673017502,-0.020742513239383698,-1.1682510375976562e-05,-2.1412968635559082e-05,9.73045825958252e-06,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.21408651024103165,0.24908746033906937,-0.03500095009803772,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.2814972400665283,0.2918112874031067,-0.01031404733657837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,transient_50ms,normal,logit,22,0.3709064762700688,0.3683421950448643,0.0025642812252044678,0.3709064762700688,0.3912463743578304,-0.02033989808776162,1377.5757575757577,1327.2727272727275,50.303030303030276,1077.5757575757577,1027.2727272727275,50.303030303030276,0.4676068282940171,0.49143059619448404,-0.02382376790046692,0.09915973110632463,0.06999210742386905,0.029167623682455582,-1.6049227931282736e-05,-1.8087469718673013e-05,2.0382417873902754e-06,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.1282940615307201,0.1317495656284419,-0.0034555040977217936,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.12512204034084623,0.13659732026809995,-0.011475279927253723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,large_field_50ms,normal,logit,4,0.04879330098628998,0.2787742540240288,-0.2299809530377388,0.2801017612218857,0.2787742540240288,0.001327507197856903,603.3333333333334,351.6666666666667,251.6666666666667,303.33333333333337,51.666666666666686,251.6666666666667,1.9868216794005633e-10,-2.4835269257783565e-10,4.47034860517892e-10,-0.2986408546566963,-0.10058879852294922,-0.1980520561337471,1.539786700921475e-09,8.940696863413145e-10,6.457170145801605e-10,0.1216591876000166,0.11772353947162628,0.003935648128390312,0.14524542074650526,0.14903468266129494,-0.0037892619147896767,0.1216591876000166,0.11772353947162628,0.003935648128390312,0.14524542074650526,0.14903468266129494,-0.0037892619147896767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,large_field_50ms,normal,logit,22,0.015130809762261131,0.0628644349900159,-0.04773362522775477,0.2100422355261716,0.2090144929560748,0.0010277425700967963,534.5454545454545,443.33333333333337,91.21212121212123,234.5454545454546,143.33333333333334,91.21212121212123,2.52868198602485e-10,1.354651050424558e-10,1.174030935600292e-10,-0.2029031582854011,-0.145135375586423,-0.05776778269897808,9.301937175066787e-10,7.224805539183456e-10,2.0771316358833306e-10,0.08689225735989484,0.08595015819777142,0.00094209916212342,0.018430392638864843,0.018191872164607048,0.0002385204742577943,0.08689225735989484,0.08595015819777142,0.00094209916212342,0.018430392638864843,0.018191872164607048,0.0002385204742577943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,slow_step,normal,probability,4,0.09631631150841713,0.11715356260538101,-0.020837251096963882,0.09631631150841713,0.11715356260538101,-0.020837251096963882,1533.3333333333335,1513.3333333333335,20.000000000000057,1233.3333333333335,1213.3333333333335,20.000000000000057,0.1348316501826048,0.1541496366262436,-0.0193179864436388,0.02404491975903511,0.03403828665614128,-0.00999336689710617,0.0010979920625686646,0.0018108487129211426,-0.000712856650352478,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.0661046365275979,0.08153890445828438,-0.015434267930686474,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.04373542871326208,0.047790829092264175,-0.004055400379002094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,slow_step,normal,probability,22,0.07325333932583983,0.0764070109210231,-0.0031536715951832857,0.07325333932583983,0.07928617264736783,-0.006032833321528001,1524.2424242424242,1511.2121212121215,13.030303030303033,1224.2424242424242,1211.2121212121212,13.030303030303033,0.08179651471701535,0.08690657911144874,-0.00511006439443339,0.026935163208029488,0.02528877759521658,0.0016463856128129091,0.002770397219468247,0.0031190572137182408,-0.0003486599942499941,0.014737118628214706,0.014484284064647827,0.0002528345635668798,0.05031426132402637,0.05263379825787111,-0.00231953693384474,0.014737118628214706,0.014484284064647827,0.0002528345635668798,0.01476481290195476,0.01745589936829426,-0.0026910864663395014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,slow_1Hz,normal,probability,4,0.09631633386015892,0.11715361475944519,-0.02083728089928627,0.09631633386015892,0.11715361475944519,-0.02083728089928627,1033.3333333333335,1013.3333333333334,20.000000000000085,733.3333333333335,713.3333333333334,20.000000000000085,0.13475303910672665,0.1540295109152794,-0.019276471808552742,0.0240449421107769,0.03403833881020546,-0.009993396699428558,0.0010193809866905212,0.0016907230019569397,-0.0006713420152664185,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.06610662396997213,0.08154147490859032,-0.015434850938618183,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.04373578727245331,0.04779114667326212,-0.004055359400808811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,slow_1Hz,normal,probability,22,0.07325330816886642,0.07640537043864076,-0.00315206226977435,0.07325330816886642,0.07928453216498549,-0.006031223996119065,1024.2424242424242,1034.848484848485,-10.606060606060597,724.2424242424242,734.8484848484849,-10.606060606060597,0.08163685266944495,0.08672248335047202,-0.005085630681027065,0.02693513205105608,0.025287137112834236,0.0016479949382218447,0.002610735171897845,0.0029349614527415147,-0.0003242262808436697,0.014737118628214706,0.014484284064647827,0.0002528345635668798,0.05031642893498594,0.05263448752124201,-0.0023180585862560706,0.014737118628214706,0.014484284064647827,0.0002528345635668798,0.014764551496641203,0.017457618547434158,-0.002693067050792954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,slow_2Hz,normal,probability,4,0.09631675854325294,0.11715394258499146,-0.02083718404173851,0.09631675854325294,0.11715394258499146,-0.02083718404173851,785.0,760.0,25.0,485.00000000000006,460.00000000000006,25.0,0.13459265790879726,0.15378443337976933,-0.01919177547097206,0.024045366793870926,0.034038666635751724,-0.009993299841880798,0.0008589997887611389,0.0014456454664468765,-0.0005866456776857376,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.06614349130541086,0.0815939549356699,-0.015450463630259037,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.04321403009817004,0.04706571716815233,-0.0038516870699822903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,slow_2Hz,normal,probability,22,0.07325079732320526,0.07636133852330121,-0.003110541200095957,0.07325079732320526,0.07924050024964592,-0.005989702926440673,769.0909090909091,867.878787878788,-98.78787878787877,469.0909090909092,567.8787878787879,-98.78787878787877,0.08131039633669636,0.08634967780248685,-0.005039281465790488,0.026932621205394917,0.02524310519749468,0.001689516007900238,0.002284278839149258,0.002562155904756351,-0.0002778770656070926,0.014737118628214706,0.014484284064647827,0.0002528345635668798,0.05035413403741338,0.05263779024508866,-0.0022836562076752834,0.014737118628214706,0.014484284064647827,0.0002528345635668798,0.014059308138464323,0.01675276413086315,-0.002693455992398826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,rapid_10Hz,normal,probability,4,0.07937739044427872,0.09180940687656403,-0.012432016432285309,0.07937739044427872,0.09180940687656403,-0.012432016432285309,426.6666666666667,423.33333333333337,3.333333333333343,126.66666666666669,123.33333333333334,3.333333333333343,0.13376329839229584,0.15239608101546764,-0.018632782623171806,0.007105998694896698,0.008694130927324295,-0.001588132232427597,2.964027225971222e-05,5.729310214519501e-05,-2.7652829885482788e-05,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.048857320100069046,0.060527440160512924,-0.011670120060443878,0.022595375776290894,0.021828320808708668,0.0007670549675822258,0.0549596231430769,0.059258791618049145,-0.004299168474972248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
