cell_id,group,probe,mode,channel,current_peak_response,previous_peak_response,delta_peak_response,current_peak_absolute_response,previous_peak_absolute_response,delta_peak_absolute_response,current_peak_latency_ms_from_trial_start,previous_peak_latency_ms_from_trial_start,delta_peak_latency_ms_from_trial_start,current_peak_latency_ms_from_onset,previous_peak_latency_ms_from_onset,delta_peak_latency_ms_from_onset,current_response_integral_seconds,previous_response_integral_seconds,delta_response_integral_seconds,current_peak_change_vs_center_only,previous_peak_change_vs_center_only,delta_peak_change_vs_center_only,current_integral_change_vs_center_only,previous_integral_change_vs_center_only,delta_integral_change_vs_center_only,current_center_onset_50ms,previous_center_onset_50ms,delta_center_onset_50ms,current_center_offset_50ms,previous_center_offset_50ms,delta_center_offset_50ms,current_surround_first_onset_50ms,previous_surround_first_onset_50ms,delta_surround_first_onset_50ms,current_surround_first_offset_50ms,previous_surround_first_offset_50ms,delta_surround_first_offset_50ms,current_off_minus_normal_mean_abs_active,previous_off_minus_normal_mean_abs_active,delta_off_minus_normal_mean_abs_active,current_off_minus_normal_peak_signed,previous_off_minus_normal_peak_signed,delta_off_minus_normal_peak_signed,current_off_minus_normal_peak_absolute,previous_off_minus_normal_peak_absolute,delta_off_minus_normal_peak_absolute,current_off_minus_normal_integral_seconds,previous_off_minus_normal_integral_seconds,delta_off_minus_normal_integral_seconds
67#4,PC_OFF,slow_step,normal,logit,0.4873245358467102,0.632400631904602,-0.14507609605789185,0.4873245358467102,0.632400631904602,-0.14507609605789185,1533.3333333333335,1520.0,13.333333333333485,1233.3333333333335,1220.0,13.333333333333485,0.7185412049293518,0.8633154630661011,-0.14477425813674927,0.11433732509613037,0.17903292179107666,-0.06469559669494629,-0.00027680397033691406,-0.0007055401802062988,0.00042873620986938477,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.35011589527130127,0.46929407119750977,-0.1191781759262085,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.25788092613220215,0.279296875,-0.02141594886779785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_1Hz,normal,logit,0.4873247742652893,0.6324008703231812,-0.14507609605789185,0.4873247742652893,0.6324008703231812,-0.14507609605789185,1033.3333333333335,1020.0,13.333333333333485,733.3333333333335,720.0,13.333333333333485,0.7185760140419006,0.8634005188941956,-0.14482450485229492,0.11433756351470947,0.17903316020965576,-0.06469559669494629,-0.00024199485778808594,-0.0006204843521118164,0.00037848949432373047,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.3501245379447937,0.4693073630332947,-0.11918282508850098,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.25788414478302,0.2792997658252716,-0.021415621042251587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_2Hz,normal,logit,0.4873291850090027,0.6324055194854736,-0.14507633447647095,0.4873291850090027,0.6324055194854736,-0.14507633447647095,786.6666666666667,766.6666666666667,20.0,486.66666666666674,466.66666666666674,20.0,0.7186449766159058,0.8635691404342651,-0.14492416381835938,0.11434197425842285,0.17903780937194824,-0.06469583511352539,-0.00017303228378295898,-0.00045186281204223633,0.00027883052825927734,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.350286066532135,0.4695778787136078,-0.11929181218147278,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.25522151589393616,0.27585849165916443,-0.02063697576522827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_10Hz,normal,logit,0.41239994764328003,0.49909675121307373,-0.0866968035697937,0.41239994764328003,0.49909675121307373,-0.0866968035697937,420.0,420.0,0.0,120.0,120.0,0.0,0.71882164478302,0.8640249967575073,-0.1452033519744873,0.039412736892700195,0.04572904109954834,-0.0063163042068481445,3.635883331298828e-06,3.993511199951172e-06,-3.5762786865234375e-07,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.2783146798610687,0.3538569509983063,-0.07554227113723755,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.28385812044143677,0.30438032746315,-0.020522207021713257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_20Hz,normal,logit,0.3779730796813965,0.45325803756713867,-0.07528495788574219,0.3779730796813965,0.45325803756713867,-0.07528495788574219,426.6666666666667,420.0,6.666666666666686,126.66666666666669,120.0,6.666666666666686,0.7188224792480469,0.8640275001525879,-0.14520502090454102,0.00498586893081665,-0.00010967254638671875,0.005095541477203369,4.470348358154297e-06,6.496906280517578e-06,-2.0265579223632812e-06,0.1119629442691803,0.11933731287717819,-0.007374368607997894,0.24728305637836456,0.3127273917198181,-0.06544433534145355,0.1119629442691803,0.11933731287717819,-0.007374368607997894,0.25984498858451843,0.2763162851333618,-0.016471296548843384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,transient_50ms,normal,logit,0.44397586584091187,0.5572232007980347,-0.1132473349571228,0.44397586584091187,0.5572232007980347,-0.1132473349571228,1373.3333333333335,1373.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.7188052535057068,0.8639914393424988,-0.145186185836792,0.07098865509033203,0.10385549068450928,-0.032866835594177246,-1.2755393981933594e-05,-2.956390380859375e-05,1.6808509826660156e-05,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.23544415831565857,0.29293274879455566,-0.057488590478897095,0.11103956401348114,0.11550827324390411,-0.004468709230422974,0.27196308970451355,0.2820865511894226,-0.010123461484909058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,large_field_50ms,normal,logit,0.25656139850616455,0.24896693229675293,0.007594466209411621,0.25656139850616455,0.24896693229675293,0.007594466209411621,353.33333333333337,353.33333333333337,0.0,53.33333333333337,53.33333333333337,0.0,1.9868215961338365e-09,-7.947286162490741e-10,2.7815502123829106e-09,-0.06989318132400513,-0.0970621109008789,0.02716892957687378,2.7815502123829106e-09,-7.947286162490741e-10,3.5762788286319847e-09,0.11089387536048889,0.11532112956047058,-0.0044272541999816895,0.15040042996406555,0.1443958580493927,0.0060045719146728516,0.11089387536048889,0.11532112956047058,-0.0044272541999816895,0.15040042996406555,0.1443958580493927,0.0060045719146728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_step,normal,probability,0.10605213046073914,0.13992154598236084,-0.033869415521621704,0.10605213046073914,0.13992154598236084,-0.033869415521621704,1533.3333333333335,1520.0,13.333333333333485,1233.3333333333335,1220.0,13.333333333333485,0.15383952856063843,0.18711033463478088,-0.033270806074142456,0.026461035013198853,0.04242047667503357,-0.015959441661834717,0.0009020864963531494,0.0021239370107650757,-0.0012218505144119263,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.07497738301753998,0.10180587321519852,-0.02682849019765854,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.05388868972659111,0.05826231464743614,-0.004373624920845032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_1Hz,normal,probability,0.10605219006538391,0.139921635389328,-0.03386944532394409,0.10605219006538391,0.139921635389328,-0.03386944532394409,1033.3333333333335,1020.0,13.333333333333485,733.3333333333335,720.0,13.333333333333485,0.15377451479434967,0.18696463108062744,-0.03319011628627777,0.026461094617843628,0.04242056608200073,-0.015959471464157104,0.0008370727300643921,0.0019782334566116333,-0.0011411607265472412,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.07497936487197876,0.10180899500846863,-0.026829630136489868,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.05388939753174782,0.05826293304562569,-0.004373535513877869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_2Hz,normal,probability,0.10605320334434509,0.13992273807525635,-0.033869534730911255,0.10605320334434509,0.13992273807525635,-0.033869534730911255,786.6666666666667,766.6666666666667,20.0,486.66666666666674,466.66666666666674,20.0,0.1536419689655304,0.18666771054267883,-0.03302574157714844,0.02646210789680481,0.04242166876792908,-0.015959560871124268,0.0007045269012451172,0.001681312918663025,-0.0009767860174179077,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.07501598447561264,0.10187214612960815,-0.026856161653995514,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.05329480767250061,0.057483576238155365,-0.004188768565654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
