cell_id,pathway,window_bins,contexts,retained_energy_pooled,retained_energy_min_context,retained_energy_max_context,retained_norm_fraction_pooled,oldest_100_energy_fraction
67#4,global,150,4,0.9969552668938055,0.9968046492441344,0.9970197638078011,0.9984764728794593,
67#4,H1,150,4,0.9862905359695734,0.9801434669839614,0.9881571649865676,0.993121611873175,
67#4,direct_BC,150,4,0.9998373216319114,0.999829987793161,0.9998463051196953,0.9999186575076552,
67#4,AC,150,4,0.963019295646275,0.9626753377415992,0.9639233920803162,0.9813354653971673,
67#6,global,150,28,0.9998984469808793,0.9998918601286716,0.9999085070769185,0.9999492222012472,
67#6,H1,150,28,0.993788132814827,0.9933974433888385,0.9939729964422915,0.9968892279560588,
67#6,direct_BC,150,28,0.9999833315134847,0.9999767422700837,0.9999885759633863,0.9999916657220123,
67#6,AC,150,28,0.998759249862113,0.9986969186668628,0.9988569356579945,0.9993794323789703,
67#7,global,150,28,0.9992812924870178,0.99927654205891,0.9992899845624729,0.9996405816527347,
67#7,H1,150,28,0.9441523489550053,0.9412061622661864,0.9459415356380471,0.9716750222965522,
67#7,direct_BC,150,28,0.9999527298319794,0.999948446440694,0.9999559146421364,0.9999763646366745,
67#7,AC,150,28,0.9971464461093402,0.9970110740178615,0.9974869991916336,0.9985722037536096,
67#14,global,150,28,0.9983326808555154,0.9983182255341402,0.9983598463463038,0.9991659926436225,
67#14,H1,150,28,0.9501121700904143,0.9418853727792048,0.9538849054772119,0.9747369748247033,
67#14,direct_BC,150,28,0.9999190311339752,0.9999064363751449,0.9999330458969858,0.9999595147474597,
67#14,AC,150,28,0.9885145670228654,0.9882142759206115,0.9892968214900784,0.9942406987359075,
67#21,global,150,28,0.9967574384360616,0.996749030272842,0.9967620943290176,0.9983774028072058,
67#21,H1,150,28,0.9526978147689801,0.9526274429480843,0.9527382511292168,0.9760624031121063,
67#21,direct_BC,150,28,0.9997713799934644,0.9997579987873423,0.9998067660692245,0.9998856834625969,
67#21,AC,150,28,0.9809887355630259,0.9807905473602405,0.9813691395455008,0.9904487546375259,
67#26,global,150,28,0.9992048915298546,0.9991994430714772,0.9992072131384936,0.9996023667088102,
67#26,H1,150,28,0.9870293260220093,0.9868381279481833,0.9871450253572219,0.9934934957119796,
67#26,direct_BC,150,28,0.9998397549794333,0.9998280715152338,0.9998681628912864,0.9999198742796511,
67#26,AC,150,28,0.995369987146617,0.9951641874906922,0.9959306051670946,0.9976823077245667,
67#33,global,150,28,0.9998086869002388,0.9998012167254507,0.9998160138410771,0.999904338874594,
67#33,H1,150,28,0.9804196566532218,0.9802454322686474,0.9807725452018659,0.9901614295927821,
67#33,direct_BC,150,28,0.9999970610975065,0.9999954844935188,0.9999981078200928,0.9999985305476736,
67#33,AC,150,28,0.997293757116356,0.9971911011501016,0.9973344200343222,0.9986459618485202,
67#34,global,150,28,0.9978468272502374,0.9978300466218694,0.9978657034417763,0.9989228334812642,
67#34,H1,150,28,0.9387150310211708,0.9380554118539758,0.9390195637103566,0.9688730727093053,
67#34,direct_BC,150,28,0.9997955029411197,0.9997779835386965,0.9998308237712868,0.9998977462426444,
67#34,AC,150,28,0.9863464177687986,0.9859748112117361,0.9871642655720645,0.9931497458937392,
68#3,global,150,28,0.9997169086560631,0.9996917999752947,0.9997405305061139,0.9998584443090247,
68#3,H1,150,28,0.9737894612342922,0.9693878610338452,0.9756706715273017,0.9868077123909664,
68#3,direct_BC,150,28,0.9999942018437009,0.9999891244103508,0.9999961449794358,0.9999971009176482,
68#3,AC,150,28,0.9967617291684105,0.9963935709762757,0.9969494249218188,0.9983795516577904,
68#4,global,150,24,0.9944369733353671,0.9943615231137807,0.9944718099011869,0.9972146074618878,
68#4,H1,150,24,0.9808824479929651,0.980754612333444,0.9810407779709065,0.990395096914845,
68#4,direct_BC,150,24,0.9945853975159289,0.994172070520008,0.9953175194560542,0.9972890240626981,
68#4,AC,150,24,0.9989067952384922,0.9987033645607427,0.9992928365735722,0.9994532481504537,
68#7,global,150,28,0.9956470966326296,0.9956093893400839,0.995669189796984,0.9978211746764195,
68#7,H1,150,28,0.9482752432667508,0.9467645789593995,0.951298955290336,0.9737942509928629,
68#7,direct_BC,150,28,0.9995445828914258,0.9995284405224231,0.9995817284081524,0.9997722655142148,
68#7,AC,150,28,0.9747852651749274,0.9746324176008532,0.9750751237334442,0.9873121417135147,
68#10,global,150,4,0.9993562083567125,0.9992254902491028,0.9994289857269946,0.9996780523532126,
68#10,H1,150,4,0.9549709640475947,0.9546596002758321,0.9557632112027061,0.9772261580860363,
68#10,direct_BC,150,4,0.9999454378439636,0.9999441606058798,0.9999469519908574,0.999972718549843,
68#10,AC,150,4,0.9948557102223787,0.9942300805705387,0.9952571293870992,0.997424538610505,
68#11,global,150,28,0.9991261875382405,0.9991145038725161,0.9991366810971478,0.9995629982838703,
68#11,H1,150,28,0.9386601106643326,0.9381066373728721,0.9389323346996956,0.9688447299048143,
68#11,direct_BC,150,28,0.9999840274462067,0.9999788404079182,0.9999864284890143,0.9999920136912128,
68#11,AC,150,28,0.9430901553960609,0.9423491204390829,0.9436657342367677,0.9711282898752671,
69#3,global,150,28,0.9958922658395305,0.9958668596559266,0.995949512720803,0.9979440193916342,
69#3,H1,150,28,0.9762277491144298,0.9758315902249813,0.9766950813169769,0.98804238224604,
69#3,direct_BC,150,28,0.9999918246834109,0.9999771893308913,0.9999975995802449,0.999995912333351,
69#3,AC,150,28,0.9210140356406434,0.9200737217329311,0.9216398634680961,0.9596947617032425,
69#4,global,150,24,0.995809543066394,0.9957274099360665,0.9960079366620872,0.9979025719309446,
69#4,H1,150,24,0.7511665156525786,0.7441199803477888,0.7549701840214519,0.8666986302357808,
69#4,direct_BC,150,24,0.9999118742055845,0.9998961468084131,0.9999247816351362,0.99995593613198,
69#4,AC,150,24,0.9910975770494371,0.9907625442358954,0.9914636056027238,0.9955388375394689,
69#6,global,150,28,0.9992741965482458,0.9992680980789573,0.9992845967040821,0.999637032401384,
69#6,H1,150,28,0.964594952107623,0.9633888817852446,0.9651537365343319,0.9821379496321395,
69#6,direct_BC,150,28,0.9999366663988103,0.9999324361904668,0.9999439441366577,0.9999683326979961,
69#6,AC,150,28,0.9962329090718809,0.9960811323484126,0.9965926582370968,0.9981146773151274,
69#7,global,150,28,0.999773845900536,0.9997682213105707,0.9997793072993116,0.9998869165563353,
69#7,H1,150,28,0.9815570120123825,0.9796915602544419,0.9823199548528627,0.9907355913725834,
69#7,direct_BC,150,28,0.9999855177303922,0.9999829312083356,0.9999872310627536,0.9999927588389789,
69#7,AC,150,28,0.998895848002629,0.9987938880867308,0.9990549096609779,0.9994477715231692,
69#21,global,150,24,0.9995139929238792,0.9995090374016323,0.9995203456477614,0.9997569669294029,
69#21,H1,150,24,0.9864361195063415,0.9863160705205736,0.9865395941828348,0.9931949050948365,
69#21,direct_BC,150,24,0.9999913319832405,0.99998422653983,0.9999946139727426,0.9999956659822284,
69#21,AC,150,24,0.9924187048115733,0.9920919355874764,0.9927319238032924,0.9962021405375384,
70#1,global,150,24,0.9916604696290267,0.991549983621444,0.9917423373073668,0.9958215049038792,
70#1,H1,150,24,0.7929276934636991,0.7917741642117764,0.7956707645026787,0.8904648749185445,
70#1,direct_BC,150,24,0.9995879199585894,0.9995214100916203,0.999664508768682,0.9997939387486751,
70#1,AC,150,24,0.9731937325320793,0.9711689965089481,0.9742602508501097,0.986505819816629,
70#7,global,150,28,0.9988175957912205,0.9988086740104238,0.998825157865549,0.9994086230322513,
70#7,H1,150,28,0.9372960508284093,0.9367717381970846,0.9375908220847922,0.9681405119239713,
70#7,direct_BC,150,28,0.9998719574323671,0.9998612780312814,0.9998897565544702,0.99993597666669,
70#7,AC,150,28,0.9902579558760625,0.9899397654406332,0.9907250322966936,0.9951170563687783,
70#15,global,150,24,0.9959139769970019,0.9959078046996263,0.9959221961374054,0.9979548972759249,
70#15,H1,150,24,0.919217262523136,0.9190592804387763,0.9194255697864135,0.9587581877215631,
70#15,direct_BC,150,24,0.9998580433227691,0.9998473154960488,0.9998807060741607,0.9999290191422434,
70#15,AC,150,24,0.9816311052970694,0.9813567744031153,0.9819137549980933,0.9907729837339477,
70#34,global,150,28,0.9985871667977981,0.9985319988334983,0.998629466758583,0.9992933337102765,
70#34,H1,150,28,0.9286242586430137,0.9255427991976107,0.9300621397875938,0.9636515234476691,
70#34,direct_BC,150,28,0.9999383666791347,0.9999363399613929,0.9999424847803402,0.9999691828647195,
70#34,AC,150,28,0.9947936581687349,0.9946629087115244,0.9949109647876095,0.9973934319859615,
67#4,global,600,1,0.9968046492441333,0.9968046492441333,0.9968046492441333,0.9984010462955922,5.690371574986213e-41
67#4,H1,600,1,0.9801434669839582,0.9801434669839582,0.9801434669839582,0.9900219527788049,5.440512007623057e-41
67#4,direct_BC,600,1,0.9998463051196933,0.9998463051196933,0.9998463051196933,0.9999231496068552,8.955627512468266e-41
67#4,AC,600,1,0.963923392080309,0.963923392080309,0.963923392080309,0.9817960032920836,2.9254524879466934e-40
67#6,global,600,1,0.9998952196966269,0.9998952196966269,0.9998952196966269,0.9999476084758775,1.3109381704684968e-41
67#6,H1,600,1,0.9933974433461462,0.9933974433461462,0.9933974433461462,0.9966932543898078,1.0270193614459617e-42
67#6,direct_BC,600,1,0.9999885759633858,0.9999885759633858,0.9999885759633858,0.9999942879653793,3.2595584171338903e-41
67#6,AC,600,1,0.9988569356552632,0.9988569356552632,0.9988569356552632,0.9994283044097076,9.983288539956045e-41
68#4,global,600,1,0.9944683534272973,0.9944683534272973,0.9944683534272973,0.9972303412087387,1.0894886741206243e-40
68#4,H1,600,1,0.9807668450404247,0.9807668450404247,0.9807668450404247,0.9903367331571745,2.2761371660608316e-40
68#4,direct_BC,600,1,0.9953175194560498,0.9953175194560498,0.9953175194560498,0.9976560125895347,1.7744815562009402e-40
68#4,AC,600,1,0.9992928365735702,0.9992928365735702,0.9992928365735702,0.999646355754659,7.387137937768576e-41
69#4,global,600,1,0.9957274099360659,0.9957274099360659,0.9957274099360659,0.9978614182019795,3.365790821714991e-41
69#4,H1,600,1,0.7441199803477887,0.7441199803477887,0.7441199803477887,0.8626238927526809,5.460786823145894e-40
69#4,direct_BC,600,1,0.9999247816351349,0.9999247816351349,0.9999247816351349,0.9999623901103155,6.01335636991848e-41
69#4,AC,600,1,0.9914636056027202,0.9914636056027202,0.9914636056027202,0.995722654961069,1.7213760384358366e-40
