cohort,cell_id,fit,quantity,mode,effective_value,lower_bound,upper_bound,u,active_lower_bound,active_u,boundary,unit,median_zero,median_aligned,median_abs_change,median_relative_change,increase_count,decrease_count,rank_correlation,minimum,maximum,range,sample_SD,CV,NLL_spread
alignment_value,67#4,aligned,BC_effective_weights,9,0.14466620981693268,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,BC_effective_weights,10,0.17660553753376007,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,BC_effective_weights,11,0.0646180585026741,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,AC_effective_gates,0,0.5460439920425415,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,AC_effective_gates,1,0.4539560079574585,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,cell_BC_gains,0,0.7846670150756836,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,cell_AC_gains,0,1.0272436141967773,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,history_gate,0,0.05174835026264191,,,,,,,,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_H1,0,29.604156494140625,10.0,200.0,0.10317977102179277,10.0,0.10317977102179277,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_BC_sustained_basis,0,27.442434310913086,20.0,200.0,0.04134685728285048,20.0,0.04134685728285048,lower,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_BC_sustained_basis,1,40.90776062011719,20.0,200.0,0.11615422566731771,20.0,0.11615422566731771,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_BC_sustained_basis,2,64.72549438476562,20.0,200.0,0.24847496880425346,20.0,0.24847496880425346,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_BC_transient_basis,0,11.644044876098633,5.0,120.0,0.05777430327042289,5.0,0.05777430327042289,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_BC_transient_basis,1,13.106303215026855,5.0,120.0,0.07048959317414658,5.0,0.07048959317414658,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_BC_transient_basis,2,19.072999954223633,5.0,120.0,0.1223739126454229,5.0,0.1223739126454229,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_AC_local_state,0,26.70372200012207,20.0,250.0,0.02914661739183509,20.0,0.02914661739183509,lower,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,tau_AC_transient_state,0,17.95047950744629,15.0,180.0,0.017881693984522964,15.0,0.017881693984522964,lower,ms,,,,,,,,,,,,,
