cohort,cell_id,fit_A,fit_B,pathway,cosine,relative_l2,norm_A,norm_B,rmse,magnitude_ratio_B_over_A,signed_mean_same_sign,nonzero_bin_sign_agreement,mean_abs_A,signed_mean_A,rms_A,positive_fraction_A,mean_abs_B,signed_mean_B,rms_B,positive_fraction_B,magnitude_min,magnitude_max,magnitude_range,magnitude_sample_SD,magnitude_CV
alignment_nuisance,67#4,zero,aligned,H1,0.9879106905569672,0.7035361563300033,0.22985052833357664,0.3848053113727359,0.007380933787481438,1.6688754983502365,True,0.9354166666666667,0.006554497592151165,-0.004302325782676538,0.01049119326856502,0.3729166666666667,0.010938640435536702,-0.006570195655028025,0.017563879107220556,0.3875,,,,,
alignment_nuisance,67#4,zero,aligned,direct_BC,0.9797230076934323,0.28482296980712285,59.13150677797933,69.90298385151662,0.7687291284107484,1.1829578582533211,True,0.9291666666666667,1.6626544244587422,1.0743458544214566,2.69897167679741,0.5916666666666667,1.966850116973122,1.3029069854567448,3.1906200910329185,0.5958333333333333,,,,,
alignment_nuisance,67#4,zero,aligned,AC,0.9909844997756837,0.3727380815610007,27.314055955835247,36.56838534557378,0.4646964360479086,1.3379945237517503,True,0.9625,0.8084447490051389,-0.5574414687231183,1.246710381997442,0.38125,1.0816946469247342,-0.7603044760723908,1.6691107954426758,0.35625,,,,,
alignment_nuisance,67#6,zero,aligned,H1,0.8690561190260097,1.4168972397123976,8.782143556809187,19.292455915269723,0.21466895765567975,2.207389076388479,True,0.8125,0.08676516252259413,-0.02493473527332147,0.1515063701438596,0.5229166666666667,0.19152447196344535,-0.045955055579543116,0.3328264845564583,0.47708333333333336,,,,,
alignment_nuisance,67#6,zero,aligned,direct_BC,0.9752859067183,0.5328073963780757,121.51094901127098,177.42084549692603,1.116904444416378,1.3822337476731017,True,0.90625,1.2253307069341342,0.7384860582649708,2.096263024892076,0.5666666666666667,1.6936934551844993,1.0531108561903237,3.06080037467074,0.5645833333333333,,,,,
alignment_nuisance,67#6,zero,aligned,AC,0.9878132427664175,0.39197837787319806,92.74016287209935,124.97349096120315,0.6271339715162108,1.2902037890507079,True,0.9229166666666667,0.9610932952413956,-0.6035001803189516,1.5999198091459064,0.40625,1.2400062111516794,-0.8488548785448075,2.1559975485777385,0.39166666666666666,,,,,
alignment_nuisance,67#7,zero,aligned,H1,0.9893365326520659,0.526648248791475,4.46557139208648,6.678013640231502,0.04057215188532837,1.4902867769936938,True,0.9104166666666667,0.04428749941289425,-0.007972995067636173,0.07703842551158431,0.4041666666666667,0.06600107476115227,-0.006911024947961171,0.11520668044855556,0.43125,,,,,
alignment_nuisance,67#7,zero,aligned,direct_BC,0.9873566700298702,0.2297971641290294,131.96131425250616,152.24766584786028,0.5231444934647006,1.1493661394199075,True,0.9416666666666667,1.3451614778488874,-0.8292337140689293,2.2765489532801966,0.41875,1.5460830546915532,-0.941354933877786,2.6265217672967913,0.4270833333333333,,,,,
alignment_nuisance,67#7,zero,aligned,AC,0.9920381973655505,0.15568638538367333,136.21817893400734,147.6019059049258,0.36586095774783095,1.0958356080353184,True,0.9416666666666667,1.4347749551137288,0.9335853626330693,2.3499868459673157,0.6041666666666666,1.5722774853308996,1.0112967083851496,2.5463747939570047,0.6083333333333333,,,,,
alignment_nuisance,67#14,zero,aligned,H1,0.9789797566641875,0.5422677762801604,1.3015269728388903,1.928120401542665,0.012175795124427709,1.4695147329059919,True,0.9541666666666667,0.013376068075497944,0.0024042936662832894,0.022453473462780746,0.45208333333333334,0.019656329105297726,0.0019947377343972525,0.033263237084248595,0.45208333333333334,,,,,
