cell_id,group,condition,center_strength,surround_strength,surround_center_ratio,spatial_extent_equivalent_radius_deg
67#4,PC_OFF,normal,0.3284691870212555,0.027895960956811905,0.08492717752245886,0.06800628369901197
67#4,PC_OFF,AC_off,0.20126691460609436,0.00015915771897804612,0.0007907793453759579,0.06800628369901197
67#4,PC_OFF,H1_off,0.3280054271221161,0.027866569658120472,0.08495764811765073,0.06800628369901197
67#6,MC_OFF,normal,0.09073141134447521,2.1679342637526133e-05,0.00023893977087182416,0.09124000394887596
67#6,MC_OFF,AC_off,0.11224278807640076,0.0002801468290272169,0.0024959004834816485,0.09124000394887596
67#6,MC_OFF,H1_off,0.09207495550314586,0.0,0.0,0.09124000394887596
67#7,MC_ON,normal,0.047705291282562984,1.9867610847411144e-05,0.0004164655599676227,0.13937140816793128
67#7,MC_ON,AC_off,0.1121157126294242,0.00024869656529820833,0.0022182133036091427,0.09124000394887596
67#7,MC_ON,H1_off,0.047619043716362545,0.0,0.0,0.13937140816793128
67#14,PC_ON,normal,0.21262884140014648,0.0027242223732173443,0.012812101854473385,0.06800628369901197
67#14,PC_ON,AC_off,0.20163800120353698,0.00020576323246738562,0.0010204586002600005,0.06800628369901197
67#14,PC_ON,H1_off,0.21386456489562988,0.0030604747589677572,0.014310340567458332,0.06800628369901197
67#21,PC_ON,normal,0.303815895318985,0.022512645771106083,0.07409963111860692,0.06800628369901197
67#21,PC_ON,AC_off,0.20200349688529967,0.00025164097314700484,0.0012457258266667037,0.06800628369901197
67#21,PC_ON,H1_off,0.3052211403846741,0.02291278727352619,0.07506946355238997,0.06800628369901197
67#26,PC_ON,normal,0.20391804575920106,0.0008318028800810376,0.00407910382322554,0.06800628369901197
67#26,PC_ON,AC_off,0.20193833112716675,0.0002434724459211187,0.0012056772211700444,0.06800628369901197
67#26,PC_ON,H1_off,0.20590056777000426,0.0013417320248360436,0.00651640760085125,0.06800628369901197
67#33,MC_OFF,normal,0.10558607346481746,4.427010935614817e-05,0.0004192798150685989,0.09124000394887596
67#33,MC_OFF,AC_off,0.1122571114036772,0.0002837023639585823,0.0025272551592601293,0.09124000394887596
67#33,MC_OFF,H1_off,0.10663747787475586,0.0,0.0,0.09124000394887596
67#34,PC_ON,normal,0.26608142256736755,0.014382721856236458,0.054053837045293845,0.06800628369901197
67#34,PC_ON,AC_off,0.20174335837364196,0.00021898730362105803,0.0010854746614036193,0.06800628369901197
67#34,PC_ON,H1_off,0.2669671714305878,0.014664010455211004,0.054928141076790366,0.06800628369901197
68#3,MC_OFF,normal,0.08993340366416508,4.679626158576866e-05,0.0005203434950657286,0.09124000394887596
68#3,MC_OFF,AC_off,0.11228377951516046,0.00029029451980022714,0.002585364698745573,0.09124000394887596
68#3,MC_OFF,H1_off,0.09099845836559932,0.0,0.0,0.09124000394887596
68#4,PC_ON,normal,0.06595499534159899,1.419738355577595e-05,0.00021525865451500393,0.12165333859850129
68#4,PC_ON,AC_off,0.20160982608795167,0.00020224007312208414,0.0010031260730013105,0.06800628369901197
68#4,PC_ON,H1_off,0.06619468983262777,0.0,0.0,0.12165333859850129
68#7,PC_ON,normal,0.3515805661678314,0.03267840792735418,0.09294713949506166,0.06800628369901197
68#7,PC_ON,AC_off,0.20136239528656005,0.00017113159871466146,0.0008498687079636842,0.06800628369901197
