pathway,cells,x,y,pearson,spearman,descriptive_only,protocol_sha256
H1,22,mean_abs_delta_logit,delta_nll,0.7770269612424848,0.8881987577639752,True,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
direct-BC,22,mean_abs_delta_logit,delta_nll,0.6165194739103017,0.531338226990401,True,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
AC,22,mean_abs_delta_logit,delta_nll,0.8840184827213585,0.7763975155279503,True,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
