cell_id,group,pathway,normal_nll,off_nll,delta_nll,signed_mean_delta_logit,mean_abs_delta_logit,rms_delta_logit,full_delta_logit_vector_norm,valid_bins,protocol_sha256
67#4,PC_OFF,H1,0.5017766356468201,0.5016911029815674,-8.553266525268555e-05,-0.006144115428129832,0.010885041058063507,0.018167216045882232,1.2586616489419435,4800,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#4,PC_OFF,direct-BC,0.5017766356468201,1.007726788520813,0.5059501528739929,1.1664438270156583,1.9127137635772427,3.2531822986994974,225.38708110524973,4800,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#4,PC_OFF,AC,0.5017766356468201,0.5681898593902588,0.06641322374343872,-0.6868128476788601,1.0867438657333452,1.7474698482337565,121.06826247342163,4800,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#6,MC_OFF,H1,0.44086122512817383,0.44749757647514343,0.0066363513469696045,-0.04797895946850379,0.19036082611729702,0.3188215338206699,58.440952476604544,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#6,MC_OFF,direct-BC,0.44086122512817383,0.9023081660270691,0.46144694089889526,1.0444478776554267,1.8496594570328793,3.2882906831918546,602.7536385097907,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#6,MC_OFF,AC,0.44086122512817383,0.5889397263526917,0.14807850122451782,-0.7989597321425875,1.3583576464032134,2.3298762140848286,427.07336443683585,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#7,MC_ON,H1,0.42736130952835083,0.431254118680954,0.0038928091526031494,-0.002760056716700395,0.06478655230253935,0.10611995557725118,19.45210916712407,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#7,MC_ON,direct-BC,0.42736130952835083,0.7122406363487244,0.28487932682037354,-0.9649410327896476,1.6360872937118014,2.8417248791917666,520.8967745254237,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#7,MC_ON,AC,0.42736130952835083,0.8677909970283508,0.4404296875,1.0073878325646122,1.6510800475254654,2.803076156673262,513.8123466672465,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#14,PC_ON,H1,0.3748959004878998,0.37485432624816895,-4.157423973083496e-05,0.0029973405972123146,0.01905704872061809,0.03125058456907625,5.728326771976433,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#14,PC_ON,direct-BC,0.3748959004878998,0.8299623131752014,0.45506641268730164,-0.9559194063022732,1.587582201200227,2.758402734998724,505.6235732121977,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#14,PC_ON,AC,0.3748959004878998,0.566731333732605,0.1918354332447052,0.8421587676058213,1.3516688564171393,2.2752677888414214,417.06347474642723,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#21,PC_ON,H1,0.2780579924583435,0.2785921096801758,0.0005341172218322754,0.011442101299762726,0.029830664694309235,0.04994054111209586,9.154252395729335,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#21,PC_ON,direct-BC,0.2780579924583435,0.5287226438522339,0.2506646513938904,-0.8606286866466204,1.4074264966944854,2.4452285160887506,448.2177906576533,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#21,PC_ON,AC,0.2780579924583435,0.5056084990501404,0.22755050659179688,0.6968824654072523,1.1088380091637373,1.8620791666188283,341.32474924124523,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#26,PC_ON,H1,0.49794456362724304,0.49815744161605835,0.00021287798881530762,0.008443157000555878,0.01874241256820304,0.03190229382945225,5.847787052647503,33600,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
