group,model,cells,Rel6_mean,Rel6_median,count_Rel6_mean,count_Rel6_median,extra_count_Rel6_mean,extra_count_Rel6_median,raw_Pearson_mean,raw_Pearson_median,NCorr_mean,NCorr_median,FEV_mean,FEV_median,artifact_class,protocol_sha256
MC_ON,aligned,4,0.8881256952405571,0.8877938532878542,0.915042969143989,0.9154643922055336,0.8677981531693312,0.8678463052812981,0.6014600964385254,0.6017982584619482,0.6382557822732029,0.6385308556684687,0.40425523966101184,0.40386662968340276,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
MC_ON,LN,4,0.8881256952405571,0.8877938532878542,0.915042969143989,0.9154643922055336,0.8677981531693312,0.8678463052812981,0.5849421898683547,0.5829872424303406,0.6207288955313289,0.6180119306885099,0.3641998440612527,0.34989846294629684,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
MC_ON,CNN,4,0.8881256952405571,0.8877938532878542,0.915042969143989,0.9154643922055336,0.8677981531693312,0.8678463052812981,0.6839498916187698,0.7006973808953709,0.7257473755754511,0.7433806148121698,0.507855107286602,0.5155238771019783,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
MC_OFF,aligned,4,0.8313847520178638,0.8314471501105278,0.8551798303100154,0.8531474914347423,0.7337860425670599,0.7242817922904388,0.6633779460596029,0.6789508450429103,0.7273723741201513,0.7444939939870187,0.5281797469440316,0.5489878185101149,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
MC_OFF,LN,4,0.8313847520178638,0.8314471501105278,0.8551798303100154,0.8531474914347423,0.7337860425670599,0.7242817922904388,0.6277264753757671,0.639062632205061,0.6882854239648513,0.7007959882836152,0.45148352224688626,0.4669571811304669,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
MC_OFF,CNN,4,0.8313847520178638,0.8314471501105278,0.8551798303100154,0.8531474914347423,0.7337860425670599,0.7242817922904388,0.7263580731834548,0.7367235431748236,0.7965079404542387,0.807904425657331,0.587484500580979,0.6028178778931873,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
PC_ON,aligned,9,0.7142505244725186,0.7057687374251206,0.7352004968936909,0.7329367896703063,0.4785268083088446,0.4969667062667208,0.6336271906721156,0.6493447094407404,0.7482836588433629,0.7765071370660609,0.5577664768311708,0.6006735788860154,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
PC_ON,LN,9,0.7142505244725186,0.7057687374251206,0.7352004968936909,0.7329367896703063,0.4785268083088446,0.4969667062667208,0.6183776999611874,0.6259315922716616,0.7305569236027843,0.7640171505319195,0.5177018881566984,0.5617875892182789,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
PC_ON,CNN,9,0.7142505244725186,0.7057687374251206,0.7352004968936909,0.7329367896703063,0.4785268083088446,0.4969667062667208,0.6508274494050567,0.6807523722725966,0.7660872995768031,0.7986433338853403,0.5584348256074126,0.5896989378723337,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
PC_OFF,aligned,3,0.6450972851349775,0.6796539732990736,0.6493757072095935,0.6942800866203728,0.30153906481440956,0.26416340365053015,0.6368640947679288,0.6479511342544237,0.7936366346326061,0.7870653508744848,0.6295588374076789,0.6204508482746333,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
PC_OFF,LN,3,0.6450972851349775,0.6796539732990736,0.6493757072095935,0.6942800866203728,0.30153906481440956,0.26416340365053015,0.5968923127556436,0.6096250275546988,0.7427606069889273,0.7320390524534468,0.45205705189367945,0.46812582899530475,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
PC_OFF,CNN,3,0.6450972851349775,0.6796539732990736,0.6493757072095935,0.6942800866203728,0.30153906481440956,0.26416340365053015,0.6004538086970752,0.6341232643998762,0.7469660055046242,0.7686913707663353,0.5254018695688285,0.5513478130750081,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
