cell_id,group,recording_id,r3,raw_split_r_mean,Rel6,ceiling,status,multi_spike_bin_fraction,multi_spike_fraction_among_occupied,beyond_first_spike_fraction,event_rate_hz,firing_rate_hz,count_minus_occupancy_Rel6,artifact_class,protocol_sha256
67#6,MC_OFF,lSS01078,0.5269565239972929,0.5268796868745602,0.6902050133265315,0.8307857806477742,DEFINED,0.0349537037037037,0.15211040596353378,0.13460029639961643,34.46875,39.829861111111114,0.019906724327670045,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,0.7866849531821852,0.7865416428071507,0.8806084718865019,0.9384074125274704,DEFINED,0.06983796296296296,0.31248058001035733,0.27466005559311846,33.52430555555556,46.21875,0.032086263868316034,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,0.6774335963787248,0.6772324186350305,0.8077024304761526,0.8987226660522992,DEFINED,0.04465277777777778,0.20112605567719738,0.16917879417879417,33.302083333333336,40.083333333333336,0.02727945717955127,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,0.3608913098270129,0.36077982270072556,0.5303749200557197,0.7282684395576399,DEFINED,0.0075,0.06364172068355922,0.06000738552437223,17.677083333333336,18.805555555555557,0.015550361113050304,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#26,PC_ON,lSS01141,0.33064251360150515,0.3304616357196827,0.4969667062667208,0.7049586557144474,DEFINED,0.01787037037037037,0.06502147730144024,0.061719614351193296,41.22569444444445,43.9375,0.03506117108750484,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#33,MC_OFF,lSS01159,0.5293123108087483,0.5291802755920582,0.6922226507531759,0.8319991891541577,DEFINED,0.035416666666666666,0.17187148955290946,0.14919239223931952,30.90972222222222,36.32986111111111,0.015900416288076924,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#34,PC_ON,lSS01167,0.23206105483527015,0.23181973105167683,0.3767038231174304,0.6137620248251193,DEFINED,0.009930555555555555,0.04972183588317107,0.04736667770785028,29.958333333333332,31.447916666666664,0.007946296245663897,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#3,MC_OFF,lSS01181,0.6616478978603558,0.661556305991591,0.7963755723608306,0.8923987742936621,DEFINED,0.07328703703703704,0.24112718964204113,0.21461897356143078,45.59027777777778,58.048611111111114,0.03157275094700873,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#4,PC_ON,lSS01184,0.10130859426731766,0.10126967052138496,0.18397857747531077,0.4289272403045892,DEFINED,0.010069444444444445,0.05530832803560076,0.052523792314179016,27.30902777777778,28.822916666666668,0.0034249664200288743,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#7,PC_ON,lSS01194,0.4740897346505639,0.4739357479717035,0.6432304947336844,0.8020165177436712,DEFINED,0.026504629629629628,0.12973034217085883,0.1153653402826501,30.645833333333332,34.642361111111114,0.02444832770758787,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#11,PC_OFF,lSS01225,0.14111370046782107,0.14106223436917495,0.24732627504159987,0.49731908775111366,DEFINED,0.012546296296296297,0.07498616491422247,0.06975546975546976,25.09722222222222,26.979166666666668,0.0008580965917074357,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#3,PC_OFF,lSS01251,0.24465383507693697,0.24460371747116483,0.3931275157510987,0.6269988163873188,DEFINED,0.028819444444444446,0.0909688733011837,0.0841196546878137,47.520833333333336,51.885416666666664,0.01462611332129915,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
