model,cells,raw_Pearson_n,raw_Pearson_mean,raw_Pearson_median,NCorr_n,NCorr_mean,NCorr_median,FEV_n,FEV_mean,FEV_median,NCorr_gap_n,NCorr_gap_mean,NCorr_gap_median,FEV_gap_n,FEV_gap_mean,FEV_gap_median,artifact_class,protocol_sha256
aligned,20,20,0.633629458517267,0.6460078192263805,20,0.728898772953075,0.757733859528646,20,0.5319157375061874,0.5662391251579164,20,0.27110122704692496,0.24226614047135403,20,0.46808426249381263,0.43376087484208353,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,20,20,0.6103375449447053,0.6174142435970623,20,0.7019675705688281,0.7050558051142846,20,0.463911080716194,0.4658530243812677,20,0.2980324294311719,0.29494419488571544,20,0.536088919283806,0.5341469756187323,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,20,20,0.6650020164972817,0.6844533999003892,20,0.761235248841193,0.7689372557087246,20,0.5491738735321761,0.5554732944573038,20,0.238764751158807,0.23106274429127532,20,0.45082612646782394,0.4445267055426963,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
