cell_id,group,recording_id,model,left_out_repeat,raw_Pearson,six_repeat_raw_Pearson,min,max,range,std,artifact_class,protocol_sha256
67#7,MC_ON,lSS01086,aligned,1,0.6269572757717982,0.6349293289850824,0.6248928693324609,0.6295509851850538,0.004658115852592903,0.0015874476671906361,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,aligned,2,0.628258632939842,0.6349293289850824,0.6248928693324609,0.6295509851850538,0.004658115852592903,0.0015874476671906361,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,aligned,3,0.6295509851850538,0.6349293289850824,0.6248928693324609,0.6295509851850538,0.004658115852592903,0.0015874476671906361,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,aligned,4,0.6292813340919606,0.6349293289850824,0.6248928693324609,0.6295509851850538,0.004658115852592903,0.0015874476671906361,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,aligned,5,0.6285537762457575,0.6349293289850824,0.6248928693324609,0.6295509851850538,0.004658115852592903,0.0015874476671906361,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,aligned,6,0.6248928693324609,0.6349293289850824,0.6248928693324609,0.6295509851850538,0.004658115852592903,0.0015874476671906361,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,1,0.5959744591184608,0.6028607432830231,0.59221633283633,0.5980420764296129,0.005825743593282917,0.0019394401971855747,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,2,0.5967677467294493,0.6028607432830231,0.59221633283633,0.5980420764296129,0.005825743593282917,0.0019394401971855747,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,3,0.5980420764296129,0.6028607432830231,0.59221633283633,0.5980420764296129,0.005825743593282917,0.0019394401971855747,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,4,0.5979097586190172,0.6028607432830231,0.59221633283633,0.5980420764296129,0.005825743593282917,0.0019394401971855747,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,5,0.5962961643299014,0.6028607432830231,0.59221633283633,0.5980420764296129,0.005825743593282917,0.0019394401971855747,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,6,0.59221633283633,0.6028607432830231,0.59221633283633,0.5980420764296129,0.005825743593282917,0.0019394401971855747,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,1,0.7213943653168838,0.7297436291042888,0.7203713857733169,0.7236945742785132,0.003323188505196306,0.0010547428073840513,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,2,0.7222562831956982,0.7297436291042888,0.7203713857733169,0.7236945742785132,0.003323188505196306,0.0010547428073840513,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,3,0.7212653347494391,0.7297436291042888,0.7203713857733169,0.7236945742785132,0.003323188505196306,0.0010547428073840513,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,4,0.7211157932228613,0.7297436291042888,0.7203713857733169,0.7236945742785132,0.003323188505196306,0.0010547428073840513,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,5,0.7236945742785132,0.7297436291042888,0.7203713857733169,0.7236945742785132,0.003323188505196306,0.0010547428073840513,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,6,0.7203713857733169,0.7297436291042888,0.7203713857733169,0.7236945742785132,0.003323188505196306,0.0010547428073840513,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,1,0.7400392077515384,0.7477433476918615,0.7359965929869328,0.7400392077515384,0.0040426147646056565,0.001281273696023158,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,2,0.7382576650423543,0.7477433476918615,0.7359965929869328,0.7400392077515384,0.0040426147646056565,0.001281273696023158,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,3,0.7369561813901873,0.7477433476918615,0.7359965929869328,0.7400392077515384,0.0040426147646056565,0.001281273696023158,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,4,0.7359965929869328,0.7477433476918615,0.7359965929869328,0.7400392077515384,0.0040426147646056565,0.001281273696023158,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,5,0.7386750973084262,0.7477433476918615,0.7359965929869328,0.7400392077515384,0.0040426147646056565,0.001281273696023158,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,6,0.7382693293369273,0.7477433476918615,0.7359965929869328,0.7400392077515384,0.0040426147646056565,0.001281273696023158,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,LN,1,0.722502289245606,0.7319570505398569,0.7211735982982581,0.7248313082413302,0.0036577099430721294,0.0011919813970627294,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,LN,2,0.7219849506708484,0.7319570505398569,0.7211735982982581,0.7248313082413302,0.0036577099430721294,0.0011919813970627294,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,LN,3,0.7214898490716938,0.7319570505398569,0.7211735982982581,0.7248313082413302,0.0036577099430721294,0.0011919813970627294,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,LN,4,0.7211735982982581,0.7319570505398569,0.7211735982982581,0.7248313082413302,0.0036577099430721294,0.0011919813970627294,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,LN,5,0.7248313082413302,0.7319570505398569,0.7211735982982581,0.7248313082413302,0.0036577099430721294,0.0011919813970627294,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
