cell_id,recording_id,repeat,start_bin,stop_bin,reference,source_image_id,exact,reference_kind
67#6,lSS01078,2,1050,1200,production_20s,lSS01078-live-frames-001050-001199-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1050,1200,production_20s,lSS01078-live-frames-001050-001199-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1050,1200,production_20s,lSS01078-live-frames-001050-001199-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1050,1200,production_20s,lSS01078-live-frames-001050-001199-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1050,1200,production_20s,lSS01078-live-frames-001050-001199-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1200,1350,production_20s,lSS01078-live-frames-001200-001349-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1200,1350,production_20s,lSS01078-live-frames-001200-001349-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1200,1350,production_20s,lSS01078-live-frames-001200-001349-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1200,1350,production_20s,lSS01078-live-frames-001200-001349-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1200,1350,production_20s,lSS01078-live-frames-001200-001349-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1200,1350,production_20s,lSS01078-live-frames-001200-001349-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1350,1500,production_20s,lSS01078-live-frames-001350-001499-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1350,1500,production_20s,lSS01078-live-frames-001350-001499-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1350,1500,production_20s,lSS01078-live-frames-001350-001499-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1350,1500,production_20s,lSS01078-live-frames-001350-001499-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1350,1500,production_20s,lSS01078-live-frames-001350-001499-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1350,1500,production_20s,lSS01078-live-frames-001350-001499-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1500,1650,production_20s,lSS01078-live-frames-001500-001649-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1500,1650,production_20s,lSS01078-live-frames-001500-001649-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1500,1650,production_20s,lSS01078-live-frames-001500-001649-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1500,1650,production_20s,lSS01078-live-frames-001500-001649-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1500,1650,production_20s,lSS01078-live-frames-001500-001649-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1500,1650,production_20s,lSS01078-live-frames-001500-001649-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1650,1800,production_20s,lSS01078-live-frames-001650-001799-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1650,1800,production_20s,lSS01078-live-frames-001650-001799-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1650,1800,production_20s,lSS01078-live-frames-001650-001799-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1650,1800,production_20s,lSS01078-live-frames-001650-001799-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1650,1800,production_20s,lSS01078-live-frames-001650-001799-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1650,1800,production_20s,lSS01078-live-frames-001650-001799-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1800,1950,production_20s,lSS01078-live-frames-001800-001949-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1800,1950,production_20s,lSS01078-live-frames-001800-001949-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1800,1950,production_20s,lSS01078-live-frames-001800-001949-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1800,1950,production_20s,lSS01078-live-frames-001800-001949-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1800,1950,production_20s,lSS01078-live-frames-001800-001949-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1800,1950,production_20s,lSS01078-live-frames-001800-001949-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1950,2100,production_20s,lSS01078-live-frames-001950-002099-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1950,2100,production_20s,lSS01078-live-frames-001950-002099-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1950,2100,production_20s,lSS01078-live-frames-001950-002099-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1950,2100,production_20s,lSS01078-live-frames-001950-002099-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1950,2100,production_20s,lSS01078-live-frames-001950-002099-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1950,2100,production_20s,lSS01078-live-frames-001950-002099-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,2100,2250,production_20s,lSS01078-live-frames-002100-002249-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,2100,2250,production_20s,lSS01078-live-frames-002100-002249-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,2100,2250,production_20s,lSS01078-live-frames-002100-002249-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,2100,2250,production_20s,lSS01078-live-frames-002100-002249-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,2100,2250,production_20s,lSS01078-live-frames-002100-002249-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,2100,2250,production_20s,lSS01078-live-frames-002100-002249-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,2250,2400,production_20s,lSS01078-live-frames-002250-002399-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,2250,2400,production_20s,lSS01078-live-frames-002250-002399-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,2250,2400,production_20s,lSS01078-live-frames-002250-002399-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,2250,2400,production_20s,lSS01078-live-frames-002250-002399-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,2250,2400,production_20s,lSS01078-live-frames-002250-002399-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,2250,2400,production_20s,lSS01078-live-frames-002250-002399-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,2400,2550,production_20s,lSS01078-live-frames-002400-002549-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,2400,2550,production_20s,lSS01078-live-frames-002400-002549-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,2400,2550,production_20s,lSS01078-live-frames-002400-002549-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,2400,2550,production_20s,lSS01078-live-frames-002400-002549-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,2400,2550,production_20s,lSS01078-live-frames-002400-002549-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,2400,2550,production_20s,lSS01078-live-frames-002400-002549-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,2550,2700,production_20s,lSS01078-live-frames-002550-002699-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,2550,2700,production_20s,lSS01078-live-frames-002550-002699-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,2550,2700,production_20s,lSS01078-live-frames-002550-002699-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,2550,2700,production_20s,lSS01078-live-frames-002550-002699-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,2550,2700,production_20s,lSS01078-live-frames-002550-002699-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,2550,2700,production_20s,lSS01078-live-frames-002550-002699-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,2700,2850,production_20s,lSS01078-live-frames-002700-002849-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,2700,2850,production_20s,lSS01078-live-frames-002700-002849-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,2700,2850,production_20s,lSS01078-live-frames-002700-002849-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,2700,2850,production_20s,lSS01078-live-frames-002700-002849-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,2700,2850,production_20s,lSS01078-live-frames-002700-002849-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,2700,2850,production_20s,lSS01078-live-frames-002700-002849-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,2850,3000,production_20s,lSS01078-live-frames-002850-002999-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,2850,3000,production_20s,lSS01078-live-frames-002850-002999-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,2850,3000,production_20s,lSS01078-live-frames-002850-002999-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,2850,3000,production_20s,lSS01078-live-frames-002850-002999-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
