split,cell_id,group,quantile,bins,event_rate,local_mean,LSC,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,67#4,PC_OFF,1,1167,0.3341902313624679,-0.5977241846201544,0.009938944100257417,0.5650181456117177,0.5803922885389882,0.6049432818388082,-0.015374142927270499,-0.03992513622709062
consumed,67#4,PC_OFF,2,870,0.2517241379310345,-0.15551537978901941,0.0434854914626552,0.5160014329234619,0.5119826742454876,0.5414003231727476,0.004018758677974232,-0.025398890249285665
consumed,67#4,PC_OFF,3,1094,0.26142595978062155,0.2557755902951486,0.11123716748203916,0.5215210806531373,0.5339559934706505,0.5702007254800757,-0.012434912817513109,-0.048679644826938324
consumed,67#4,PC_OFF,4,822,0.23722627737226276,1.227599786289212,0.26200940857855337,0.5066278835446756,0.5020890378027137,0.5224166966972493,0.004538845741961941,-0.01578881315257371
consumed,67#4,PC_OFF,5,847,0.15938606847697756,2.556721208743862,0.9527812223796317,0.36982092572980624,0.3649420592982251,0.38580461502785757,0.0048788664315810885,-0.015983689298051374
consumed,67#6,MC_OFF,1,9450,0.2866666666666667,-0.5407456784822344,0.02882560859600877,0.5372339679480211,0.5587441672986775,0.5707003752049447,-0.021510199350656328,-0.03346640725692347
consumed,67#6,MC_OFF,2,5824,0.24244505494505494,-0.07599318680621538,0.10290785123705617,0.45477537031081067,0.4672549801365907,0.4489957894833546,-0.01247960982578008,0.005779580827455916
consumed,67#6,MC_OFF,3,5887,0.21657890266689314,0.16751115652777712,0.19775832532279392,0.4269295823723732,0.4369480441242382,0.3996775217790547,-0.010018461751864936,0.02725206059331862
consumed,67#6,MC_OFF,4,5355,0.19757236227824462,0.7959841599524772,0.37058420661274527,0.39398376908240834,0.410262437300082,0.39323073102171935,-0.016278668217673615,0.0007530380606890422
consumed,67#6,MC_OFF,5,7084,0.17843026538678713,2.7812450625198504,1.2240567338808896,0.3478750694301607,0.3603239505950023,0.39994990440222783,-0.01244888116484158,-0.05207483497206716
consumed,67#7,MC_ON,1,7833,0.12230307672666922,-0.5992461151356276,0.02173174178886779,0.3233222664658712,0.3060385918631829,0.2681516556847005,0.017283674602688336,0.055170610781170734
