split,cell_id,model,float64_nll,native_float32_nll,delta
consumed,67#4,aligned,0.5017766519111849,0.5017766356468201,1.6264364854912117e-08
consumed,67#4,LN,0.5059820203072692,0.5059820413589478,-2.10516785115189e-08
consumed,67#4,CNN,0.5327061913239827,0.5327062010765076,-9.752524898765103e-09
consumed,67#6,aligned,0.4408612285864487,0.44086122512817383,3.4582748886791137e-09
consumed,67#6,LN,0.45604847436917656,0.45604845881462097,1.5554555587993235e-08
consumed,67#6,CNN,0.45535616909993365,0.4553561508655548,1.8234378840187304e-08
consumed,67#7,aligned,0.4273612911875317,0.42736130952835083,-1.834081914120489e-08
consumed,67#7,LN,0.4187671041144877,0.41876715421676636,-5.0102278659203137e-08
consumed,67#7,CNN,0.40054223724153176,0.4005422294139862,7.8275455561716e-09
consumed,67#14,aligned,0.3748958973116121,0.3748959004878998,-3.1762876773200333e-09
consumed,67#14,LN,0.3705947242087938,0.37059471011161804,1.4097175760063863e-08
consumed,67#14,CNN,0.363684576165978,0.36368459463119507,-1.846521707760118e-08
consumed,67#21,aligned,0.2780579610585812,0.2780579924583435,-3.139976229027397e-08
consumed,67#21,LN,0.280440873676428,0.2804408669471741,6.729253931858636e-09
consumed,67#21,CNN,0.2797421014063536,0.27974215149879456,-5.009244097298193e-08
consumed,67#26,aligned,0.49794457252849367,0.49794456362724304,8.901250625470425e-09
consumed,67#26,LN,0.5024530456697193,0.5024530291557312,1.6513988065902652e-08
consumed,67#26,CNN,0.501436658097008,0.5014366507530212,7.343986752061937e-09
consumed,67#33,aligned,0.3874940097823781,0.3874940276145935,-1.783221542650537e-08
consumed,67#33,LN,0.3947668117149797,0.39476677775382996,3.396114972575859e-08
consumed,67#33,CNN,0.4036476160694936,0.40364760160446167,1.4465031950017249e-08
consumed,67#34,aligned,0.3889506151589035,0.3889506161212921,-9.623886132459347e-10
consumed,67#34,LN,0.38597690383181066,0.3859769105911255,-6.759314830073748e-09
consumed,67#34,CNN,0.3651356052546109,0.3651356101036072,-4.848996260076177e-09
consumed,68#3,aligned,0.49072156381472604,0.49072161316871643,-4.9353990394518377e-08
consumed,68#3,LN,0.503541264534359,0.5035412907600403,-2.6225681293290393e-08
consumed,68#3,CNN,0.5035980206766193,0.5035979747772217,4.5899397616011584e-08
consumed,68#4,aligned,0.4461562384514944,0.44615620374679565,3.470469872590698e-08
consumed,68#4,LN,0.44484709279252016,0.44484710693359375,-1.4141073589879483e-08
consumed,68#4,CNN,0.4615051160160859,0.46150511503219604,9.838898584746403e-10
consumed,68#7,aligned,0.3966519584215811,0.396651953458786,4.962795063789827e-09
consumed,68#7,LN,0.4003279684792303,0.4003279507160187,1.776321162383354e-08
consumed,68#7,CNN,0.3930257131520885,0.3930257260799408,-1.2927852288679986e-08
consumed,68#10,aligned,0.3737663758149011,0.37376639246940613,-1.665450505283772e-08
consumed,68#10,LN,0.36142715470284226,0.3614271283149719,2.6387870333266505e-08
consumed,68#10,CNN,0.3736611616807395,0.3736611306667328,3.101400669613952e-08
consumed,68#11,aligned,0.40560593034751,0.4056059420108795,-1.1663369492431741e-08
consumed,68#11,LN,0.40039997537258565,0.40039995312690735,2.2245678299448457e-08
consumed,68#11,CNN,0.4440787625877714,0.4440787732601166,-1.0672345174267406e-08
consumed,69#3,aligned,0.5366386341832902,0.5366386771202087,-4.2936918576153005e-08
consumed,69#3,LN,0.5421134470924295,0.5421134233474731,2.3744956334503797e-08
consumed,69#3,CNN,0.5626758970841975,0.562675952911377,-5.582717943486415e-08
consumed,69#4,aligned,0.4324997876464231,0.43249979615211487,-8.505691762028533e-09
consumed,69#4,LN,0.42445419226417647,0.4244542121887207,-1.9924544236715747e-08
consumed,69#4,CNN,0.40320892707008593,0.4032088816165924,4.5453493524583166e-08
consumed,69#6,aligned,0.4448351203118231,0.4448351562023163,-3.589049318852844e-08
consumed,69#6,LN,0.4492023897215809,0.44920238852500916,1.1965717305884027e-09
consumed,69#6,CNN,0.4544037174057419,0.45440372824668884,-1.0840946917944905e-08
consumed,69#7,aligned,0.44630594972646,0.4463059902191162,-4.0492656228074964e-08
consumed,69#7,LN,0.4381874016194342,0.4381873905658722,1.1053562010143736e-08
consumed,69#7,CNN,0.4261562878511566,0.42615628242492676,5.426229854332831e-09
consumed,69#21,aligned,0.5127022021583731,0.5127021670341492,3.5124223973781454e-08
consumed,69#21,LN,0.512562555678711,0.5125625133514404,4.232727057740249e-08
consumed,69#21,CNN,0.540108264656366,0.5401082634925842,1.1637817376453086e-09
consumed,70#1,aligned,0.46307812381585145,0.4630781412124634,-1.7396611928788275e-08
consumed,70#1,LN,0.4697753067783818,0.46977531909942627,-1.2321044462471065e-08
consumed,70#1,CNN,0.4824253442751884,0.482425332069397,1.220579143312861e-08
consumed,70#7,aligned,0.4592358789885469,0.45923587679862976,2.1899171365191705e-09
consumed,70#7,LN,0.463837738053523,0.46383777260780334,-3.4554280325949094e-08
consumed,70#7,CNN,0.4953047108686007,0.4953047037124634,7.156137293851117e-09
consumed,70#15,aligned,0.38183978275168157,0.381839781999588,7.520935541016627e-10
consumed,70#15,LN,0.3901729804475681,0.3901729881763458,-7.728777728921443e-09
consumed,70#15,CNN,0.3830032920020807,0.383003294467926,-2.465845305721359e-09
consumed,70#34,aligned,0.3698519450732532,0.3698519468307495,-1.757496315146767e-09
consumed,70#34,LN,0.3721064709387244,0.3721064627170563,8.221668124086534e-09
consumed,70#34,CNN,0.3818562682166268,0.3818562626838684,5.532758418080874e-09
