comparator,estimate,development_mean,development_median,consumed_descriptive_mean,consumed_descriptive_median,mean_direction_consistent,independent_confirmation,verdict_unchanged
LN,raw,0.008306183803189425,0.01006852798979549,0.0032340702866265753,0.004765097655848759,True,False,True
LN,matched,0.01665513988952944,0.015300496604101467,0.0035686743316529035,0.005953742154861866,True,False,True
CNN,raw,-0.020020377036232946,-0.010291158718347905,-0.023324473538816736,-0.0213465012304053,True,False,True
CNN,matched,0.016565760790986237,-0.002062952390489285,-0.0030081720004854835,0.0004480340743356916,False,False,True
