split,comparator,cells,mean,median,positive,negative,zero
development,LN,22,0.0015648284123788625,0.006353482454761248,12,10,0
development,CNN,22,-0.07219589307080344,-0.0645524318327605,3,19,0
consumed,LN,22,-0.0036357047479078698,-0.0033945354568297665,10,12,0
consumed,CNN,22,-0.0877107688346499,-0.0994109729699151,2,20,0
