split,cell_id,group,quantile,bins,event_rate,local_mean,LSC,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
development,67#4,PC_OFF,1,96,0.2604166666666667,-0.3630469106489424,0.012511815504484367,0.4718792375647938,0.4932518129233445,0.48556884983909115,-0.021372575358550767,-0.013689612274297375
development,67#4,PC_OFF,2,96,0.34375,-0.34567624886646325,0.04266547571853078,0.640635410482501,0.632504985848276,0.6238300863476178,0.00813042463422512,0.016805324134883063
development,67#4,PC_OFF,3,96,0.19791666666666666,0.013317837932542412,0.11100753357183564,0.4778987722250559,0.4915813187870827,0.5049107386137988,-0.013682546562026754,-0.027011966388742804
development,67#4,PC_OFF,4,96,0.1875,1.1017614803240576,0.2521440374356475,0.4437714563176931,0.49408500303117925,0.5995849330880062,-0.0503135467134862,-0.15581347677031313
development,67#4,PC_OFF,5,96,0.09375,2.79588382133079,0.7812997257338591,0.2749011057482641,0.2870552811589564,0.27638700764909735,-0.012154175410692317,-0.00148590190083329
development,67#6,MC_OFF,1,672,0.25297619047619047,-0.2919336701407095,0.03711250356895279,0.47269621894671204,0.4834428890241754,0.45303062647895104,-0.010746670077463346,0.019665592467760985
development,67#6,MC_OFF,2,672,0.22172619047619047,-0.2928664939579903,0.10005974024316279,0.41962192626028233,0.43243264102364015,0.3894627618377418,-0.012810714763357758,0.030159164422540557
development,67#6,MC_OFF,3,672,0.17708333333333334,0.17092255645881477,0.19897887095420938,0.4154979356232691,0.4139306827351466,0.38012412917870025,0.0015672528881224385,0.035373806444568924
development,67#6,MC_OFF,4,672,0.20535714285714285,1.0344592199535934,0.3891063320775074,0.4242805718839007,0.44993437505197675,0.39050985996901777,-0.025653803168076132,0.03377071191488286
development,67#6,MC_OFF,5,672,0.21577380952380953,2.4579807779700786,1.1231101913955026,0.3675046527900581,0.37388966727767103,0.3952246999391504,-0.006385014487612917,-0.02772004714909228
development,67#7,MC_ON,1,672,0.14434523809523808,-0.4704047818732861,0.030704514710912158,0.38733148135151874,0.36379382475653793,0.3063915795940855,0.02353765659498076,0.08093990175743322
