family,variant,target,ring,n_pixels,original_mean_LM,variant_mean_LM,mean_delta,original_std_LM,variant_std_LM,std_delta,min_LM,max_LM,fraction_dark,fraction_target_gray,fraction_bright,sorted_histogram_max_abs_error,pixelwise_changed_count
Hermann,contour_rearrangement,B,annulus_4_6px,64,0.84375,0.84375,0.0,0.19515618744994995,0.19515618744994995,0.0,0.75,1.25,0.8125,0.0,0.1875,0.0,16
Hermann,contour_rearrangement,B,annulus_6_8px,84,0.8690476190476191,0.8690476190476191,0.0,0.2129588549999798,0.2129588549999799,1.1102230246251565e-16,0.75,1.25,0.7619047619047619,0.0,0.23809523809523808,0.0,28
Hermann,contour_rearrangement,B,annulus_8_11.313708498984761px,92,1.0326086956521738,1.0326086956521738,0.0,0.2478642228476387,0.24786422284763865,-5.551115123125783e-17,0.75,1.25,0.43478260869565216,0.0,0.5652173913043478,0.0,36
Hermann,contour_rearrangement,control_A,disk_0_2px,13,1.1730769230769231,1.1730769230769231,0.0,0.18040060614705503,0.18040060614705503,0.0,0.75,1.25,0.15384615384615385,0.0,0.8461538461538461,0.0,0
Hermann,contour_rearrangement,control_A,annulus_2_4px,36,0.9166666666666666,0.9166666666666666,0.0,0.2357022603955158,0.2357022603955158,0.0,0.75,1.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0
Hermann,contour_rearrangement,control_A,annulus_4_6px,64,0.84375,0.84375,0.0,0.19515618744994995,0.19515618744994995,0.0,0.75,1.25,0.8125,0.0,0.1875,0.0,16
Hermann,contour_rearrangement,control_A,annulus_6_8px,84,0.8214285714285714,0.8214285714285714,0.0,0.1749635530559415,0.17496355305594122,-2.7755575615628914e-16,0.75,1.25,0.8571428571428571,0.0,0.14285714285714285,0.0,20
Hermann,contour_rearrangement,control_A,annulus_8_11.313708498984761px,92,0.7717391304347826,0.7717391304347826,0.0,0.1019655599961614,0.10196555999616143,2.7755575615628914e-17,0.75,1.25,0.9565217391304348,0.0,0.043478260869565216,0.0,8
Hermann,contour_rearrangement,control_B,disk_0_2px,13,1.1730769230769231,1.1730769230769231,0.0,0.18040060614705503,0.18040060614705503,0.0,0.75,1.25,0.15384615384615385,0.0,0.8461538461538461,0.0,0
Hermann,contour_rearrangement,control_B,annulus_2_4px,36,0.9166666666666666,0.9166666666666666,0.0,0.2357022603955158,0.2357022603955158,0.0,0.75,1.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0
Hermann,contour_rearrangement,control_B,annulus_4_6px,64,0.84375,0.84375,0.0,0.19515618744994995,0.19515618744994995,0.0,0.75,1.25,0.8125,0.0,0.1875,0.0,16
Hermann,contour_rearrangement,control_B,annulus_6_8px,84,0.8214285714285714,0.8214285714285714,0.0,0.1749635530559415,0.17496355305594122,-2.7755575615628914e-16,0.75,1.25,0.8571428571428571,0.0,0.14285714285714285,0.0,20
Hermann,contour_rearrangement,control_B,annulus_8_11.313708498984761px,92,0.7717391304347826,0.7717391304347826,0.0,0.1019655599961614,0.10196555999616143,2.7755575615628914e-17,0.75,1.25,0.9565217391304348,0.0,0.043478260869565216,0.0,8
