group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-08,model_minus_LN,4,0.001614765715686417,0.0027829110622406006,0.0028062909841537476,76.6666488647461,0.00019732863952716192,0.0011390477884560823,0.0005413678009063005,4,0,0
all,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-08,model_minus_LN,22,0.0003782774719667259,0.0007010766051032326,0.0007784529165788131,156.3636211048473,4.353405851306337e-05,0.00024372068318453702,0.00019614931873299858,19,3,0
PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-07,model_minus_LN,4,0.020100366604310693,0.03434668481349945,0.034640178084373474,76.6666488647461,0.002295871029297511,0.014434297569096088,0.006058547645807266,4,0,0
all,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-07,model_minus_LN,22,0.004835421660490366,0.009051341902125965,0.010653363032774492,152.42422901500356,0.0005358291123852586,0.002996413714506409,0.0025157020850615068,22,0,0
PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-07,model_minus_LN,4,0.003322712644148851,0.005744453519582748,0.005806323140859604,76.6666488647461,0.000392058938741684,0.00234400131739676,0.0011140403803437948,4,0,0
all,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-07,model_minus_LN,22,0.00074793897457229,0.001471780917861245,0.0016332593831149015,152.12119917436078,8.683853190053593e-05,0.0004740153354677287,0.0004082797518508001,22,0,0
PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-06,model_minus_LN,4,0.03436177325784229,0.05834713578224182,0.05900198221206665,78.33332061767578,0.003900143255790075,0.024421890266239643,0.011102000251412392,4,0,0
all,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-06,model_minus_LN,22,0.007582030423029871,0.017861832271922718,0.019534170627593994,150.90907565030184,0.0009424790559392986,0.004189903932538899,0.005270853977311741,19,3,0
PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-06,model_minus_LN,4,0.005611326603684574,0.009609270840883255,0.009747866541147232,78.33332061767578,0.0006555407494306565,0.003912942251190543,0.0019994108006358147,4,0,0
all,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-06,model_minus_LN,22,0.0012014972425566323,0.0027509104799140582,0.0029817619784311814,137.5757460160689,0.0001513826677745039,0.000710603336549618,0.0008249180814759297,19,3,0
PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-05,model_minus_LN,4,0.05478286219295114,0.09290285408496857,0.09290285408496857,64.99998474121094,0.006599080512921016,0.037517715245485306,0.02383589930832386,4,0,0
