group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
all,R4_normal,logit,Mach,Mach_x-05,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-04,response_minus_blank,4,0.18643217347562313,0.2820146679878235,0.2820146679878235,69.99999237060547,0.022848778565724693,0.11460170336067677,0.12466004677116871,4,0,0
all,R4_normal,logit,Mach,Mach_x-04,response_minus_blank,22,0.010644132356074724,0.05665500326590105,0.2004899951544675,61.21211242675781,0.003548143776980314,-0.00027532435276291585,0.03400109742175449,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-04,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-04,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-03,response_minus_blank,4,0.14334773644804955,0.2167118787765503,0.2167118787765503,68.33332824707031,0.01702528576056163,0.08912139758467674,0.09013970382511616,4,0,0
all,R4_normal,logit,Mach,Mach_x-03,response_minus_blank,22,0.010164727414534851,0.05047762935811823,0.1584871302951466,65.15150729092684,0.0032235898935433593,0.0003751729699698362,0.030344360254027626,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-03,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-03,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-02,response_minus_blank,4,0.09394622314721346,0.1422138661146164,0.1422138661146164,64.99999237060547,0.010915859043598177,0.058870453387498856,0.05649850144982338,4,0,0
all,R4_normal,logit,Mach,Mach_x-02,response_minus_blank,22,0.007892677962610667,0.051341642032970085,0.10701937025243585,72.72726301713423,0.0024095770806977245,0.0006155906753106551,0.022418043152852493,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-02,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-02,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-01,response_minus_blank,4,0.04695307835936546,0.07108384370803833,0.07108384370803833,64.99999237060547,0.00545706460873286,0.029423845931887627,0.02823963761329651,4,0,0
all,R4_normal,logit,Mach,Mach_x-01,response_minus_blank,22,0.003957283069294962,0.025661668994209984,0.053487533872777764,72.72726301713423,0.001202511570670388,0.00030792707746679133,0.011204142462123524,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-01,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-01,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+00,response_minus_blank,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+00,response_minus_blank,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+00,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+00,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+01,response_minus_blank,4,-0.04695308022201061,-0.07108382880687714,0.07108382880687714,64.99999237060547,-0.005457064807415009,-0.029423845931887627,-0.02823963575065136,0,4,0
all,R4_normal,logit,Mach,Mach_x+01,response_minus_blank,22,-0.003957282222638076,-0.02566167170351202,0.0534875365820798,72.72726301713423,-0.0012025113900502524,-0.00030792707746679133,-0.011204141107472506,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+01,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+01,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+02,response_minus_blank,4,-0.0939462287351489,-0.1422138661146164,0.1422138661146164,64.99999237060547,-0.010915859838326773,-0.058870455250144005,-0.05649850331246853,0,4,0
all,R4_normal,logit,Mach,Mach_x+02,response_minus_blank,22,-0.007892678639936175,-0.05134163661436601,0.10701936483383179,72.72726301713423,-0.0024095771168217515,-0.0006155913526361638,-0.02241804281418974,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+02,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+02,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+03,response_minus_blank,4,-0.1433477308601141,-0.2167118787765503,0.2167118787765503,68.33332824707031,-0.01702528417110443,-0.0891213919967413,-0.09013970196247101,0,4,0
all,R4_normal,logit,Mach,Mach_x+03,response_minus_blank,22,-0.010164726398546587,-0.050477632067420265,0.15848713300444864,65.15150729092684,-0.0032235897129232233,-0.00037517229264432734,-0.030344359576702118,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+03,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+03,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+04,response_minus_blank,4,-0.18643217347562313,-0.2820146828889847,0.2820146828889847,69.99999237060547,-0.02284877936045329,-0.11460169963538647,-0.12466004677116871,0,4,0
all,R4_normal,logit,Mach,Mach_x+04,response_minus_blank,22,-0.010644131001423706,-0.05665500597520308,0.20048999786376953,61.21211242675781,-0.003548144029848503,0.0002753223207863894,-0.03400110148570754,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+04,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+04,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+05,response_minus_blank,4,-0.19012520648539066,-0.28743936121463776,0.28743936121463776,68.33332824707031,-0.022467957337697346,-0.11847956292331219,-0.11828428320586681,0,4,0
all,R4_normal,logit,Mach,Mach_x+05,response_minus_blank,22,-0.014083867045966062,-0.08804761279713023,0.2111054008657282,69.69696183638139,-0.0043953228358066445,-0.000675334171815352,-0.04133376783945344,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+05,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+05,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+06,response_minus_blank,4,-0.18754757195711136,-0.2838490456342697,0.2838490456342697,64.99999237060547,-0.0218080472946167,-0.11760077811777592,-0.11283732205629349,0,4,0
all,R4_normal,logit,Mach,Mach_x+06,response_minus_blank,22,-0.015739081977781923,-0.1020495132966475,0.21325978365811435,72.72726301713423,-0.004754968303622622,-0.001217527145689184,-0.044411446221850136,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+06,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+06,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+07,response_minus_blank,4,-0.18741965293884277,-0.283647745847702,0.283647745847702,64.99999237060547,-0.021803709864616397,-0.11753989942371845,-0.11280539818108082,0,4,0
all,R4_normal,logit,Mach,Mach_x+07,response_minus_blank,22,-0.015740883663635363,-0.1017853319644928,0.21292766386812384,72.72726301713423,-0.004725448543375189,-0.0012136535211042924,-0.04423117434436625,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+07,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+07,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+08,response_minus_blank,4,-0.18738186173141003,-0.28357994556427,0.28357994556427,64.99999237060547,-0.021806071599324545,-0.11751946061849594,-0.11282585747539997,0,4,0
all,R4_normal,logit,Mach,Mach_x+08,response_minus_blank,22,-0.015732088888233357,-0.10161538286642595,0.21273252909833734,72.72726301713423,-0.0047074626611940795,-0.0012117857960137453,-0.04411053725264289,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+08,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+08,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+09,response_minus_blank,4,-0.187377218157053,-0.28356581926345825,0.28356581926345825,64.99999237060547,-0.02180890142917633,-0.11751524172723293,-0.11284923367202282,0,4,0
all,R4_normal,logit,Mach,Mach_x+09,response_minus_blank,22,-0.01572437419302084,-0.10152860934084112,0.21263909068974582,72.72726301713423,-0.004698734680811564,-0.0012110492045229132,-0.044048225676471535,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+09,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+09,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+10,response_minus_blank,4,-0.18737892992794514,-0.28356532752513885,0.28356532752513885,64.99999237060547,-0.02181032141049703,-0.11751514673233032,-0.11286087147891521,0,4,0
all,R4_normal,logit,Mach,Mach_x+10,response_minus_blank,22,-0.01572070363909006,-0.10149545019323175,0.2126049345189875,72.72726301713423,-0.004695582462079597,-0.0012108206071636894,-0.04402472891590812,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+10,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+10,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x+11,response_minus_blank,4,-0.1873798780143261,-0.283565953373909,0.283565953373909,64.99999237060547,-0.02181071897347768,-0.1175153348594904,-0.11286409571766853,0,4,0
all,R4_normal,logit,Mach,Mach_x+11,response_minus_blank,22,-0.015719667669724335,-0.1014868833801963,0.21259634603153577,72.72726301713423,-0.004694826891928009,-0.0012107701464132829,-0.04401890628717162,13,9,0
PC_OFF,R4_normal,logit,Mach,Mach_x+11,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x+11,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
