cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,model,control,x_pixels
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+03,response_minus_blank,-0.1415492445230484,-0.20563459396362305,0.20563459396362305,100.0,-0.019168691635131838,-0.08816935122013092,-0.1104494035243988,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+04,response_minus_blank,-0.1825982630252838,-0.2686178684234619,0.2686178684234619,100.0,-0.025216374397277832,-0.11275465786457062,-0.14771276712417603,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+05,response_minus_blank,-0.1882067620754242,-0.2728281021118164,0.2728281021118164,100.0,-0.025408304532368982,-0.1174115315079689,-0.1459996998310089,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+06,response_minus_blank,-0.18685130774974823,-0.26927053928375244,0.26927053928375244,100.0,-0.02499452908833822,-0.11703835427761078,-0.14247366786003113,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+07,response_minus_blank,-0.18684431910514832,-0.26925551891326904,0.26925551891326904,100.0,-0.024993038177490233,-0.11703608185052872,-0.14246052503585815,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+08,response_minus_blank,-0.18684174120426178,-0.2692502737045288,0.2692502737045288,100.0,-0.024992567698160807,-0.11703522503376007,-0.14245614409446716,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+09,response_minus_blank,-0.18684105575084686,-0.2692490816116333,0.2692490816116333,100.0,-0.02499248504638672,-0.11703495681285858,-0.14245527982711792,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+10,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.02499249458312988,-0.117034912109375,-0.14245527982711792,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+11,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.02499250094095866,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+12,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_x+12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-12,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-11,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-10,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-09,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-08,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-07,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-06,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-05,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-04,response_minus_blank,0.1868409812450409,0.26924896240234375,0.26924896240234375,100.0,0.024992504119873048,0.11703493446111679,0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-03,response_minus_blank,0.1401824653148651,0.20205187797546387,0.20205187797546387,100.0,0.018752622604370116,0.08779262006282806,0.10690228641033173,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-02,response_minus_blank,0.09348949044942856,0.13477808237075806,0.13477808237075806,100.0,0.012507251103719075,0.058539360761642456,0.07130876183509827,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-01,response_minus_blank,0.04676201567053795,0.06742751598358154,0.06742751598358154,100.0,0.0062563792864481615,0.02927517145872116,0.03567469120025635,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+00,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+00,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+01,response_minus_blank,-0.04676201194524765,-0.06742751598358154,0.06742751598358154,100.0,-0.0062563792864481615,-0.029275164008140564,-0.035674698650836945,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+02,response_minus_blank,-0.09348949044942856,-0.13477814197540283,0.13477814197540283,100.0,-0.012507251103719075,-0.05853936821222305,-0.07130877673625946,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+03,response_minus_blank,-0.14018245041370392,-0.20205187797546387,0.20205187797546387,100.0,-0.018752621014912926,-0.08779261261224747,-0.10690227895975113,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+04,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+05,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+06,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+07,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+08,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+09,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+10,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+11,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+12,response_minus_blank,-0.1868409812450409,-0.26924896240234375,0.26924896240234375,100.0,-0.024992504119873048,-0.117034912109375,-0.1424553096294403,R4,,
67#4,PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_bright_surround,response_minus_blank,0.021694568917155266,0.06106388568878174,0.06106388568878174,113.33331298828125,0.006623742977778117,0.00596223771572113,0.05646727979183197,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_bright_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_dark_surround,response_minus_blank,-0.021694568917155266,-0.06106388568878174,0.06106388568878174,113.33331298828125,-0.00662374218304952,-0.00596223771572113,-0.056467264890670776,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_dark_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_control_bright_surround,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_control_bright_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_control_dark_surround,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,SBC,SBC_control_dark_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_intersection,response_minus_blank,-0.18694791197776794,-0.2694779634475708,0.2694779634475708,100.0,-0.0250152587890625,-0.11706975102424622,-0.1426558494567871,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_corridor,response_minus_blank,-0.2085239738225937,-0.32615160942077637,0.32615160942077637,100.0,-0.03161110560099284,-0.12300537526607513,-0.19884856045246124,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_control_intersection,response_minus_blank,-0.2085239291191101,-0.32615137100219727,0.32615137100219727,100.0,-0.03161104838053386,-0.12300536036491394,-0.1988482028245926,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_control_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_control_corridor,response_minus_blank,-0.2085239291191101,-0.32615137100219727,0.32615137100219727,100.0,-0.03161104838053386,-0.12300536036491394,-0.1988482028245926,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_control_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
